"","x"
"1",3.16529747003275
"2",0
"3",0
"4",0
"5",0
"6",0
"7",5.42889911292474
"8",37.7025344326628
"9",77.7353936492979
"10",118.427521660101
"11",151.843612898181
"12",171.170379990217
"13",172.407038578941
"14",155.354843516159
"15",123.65481579615
"16",83.8691447019303
"17",43.8503236843067
"18",10.8263770892277
"19",0
"20",0
"21",0
"22",0
"23",7.92906424459636
"24",15.1353452116325
"25",14.862743361349
"26",7.0349410593194
"27",0
"28",0
"29",0
"30",0
"31",4.67179090679331
"32",37.2610796945556
"33",77.5566908265821
"34",118.409052073012
"35",151.894681997248
"36",171.233276867354
"37",172.45509667264
"38",155.382056445601
"39",123.665269262334
"40",83.8696747598995
"41",43.8467368916088
"42",10.8222654632028
"43",0
"44",0
"45",0
"46",0
"47",7.92931297225566
"48",15.1356129673276
"49",1.97167904944303
"50",0
"51",0
"52",0
"53",0
"54",0
"55",5.57243207346426
"56",57.6744589984065
"57",120.856076097876
"58",183.825502658212
"59",234.283284694616
"60",261.954543319035
"61",261.154593083577
"62",232.210952474106
"63",181.375695735612
"64",119.254782743151
"65",58.171306605547
"66",9.1567324176779
"67",0
"68",0
"69",0
"70",0
"71",15.2255250081985
"72",25.5853146001321
"73",23.549238349628
"74",9.53274429800567
"75",0
"76",0
"77",0
"78",0
"79",5.59615511923405
"80",57.3455287829766
"81",120.460818475587
"82",183.491484230593
"83",234.046444590894
"84",261.807729703381
"85",261.075176792902
"86",232.175311351033
"87",181.364979192129
"88",119.2561559351
"89",58.1770996979587
"90",9.16297927152263
"91",0
"92",0
"93",0
"94",0
"95",15.2259907436504
"96",25.5854314993922
"97",7.31418541956145
"98",0.964546598950239
"99",0
"100",0
"101",0
"102",0
"103",1.30915728971626
"104",55.6853469191353
"105",125.195016078958
"106",197.912828126242
"107",259.933545715306
"108",298.753643821303
"109",306.370999251095
"110",281.276966093537
"111",228.830233197326
"112",159.915252272287
"113",88.2415694758403
"114",26.993732129457
"115",0
"116",0
"117",0
"118",0
"119",10.518516330656
"120",25.3431572076411
"121",27.581590177585
"122",16.0935142045896
"123",0
"124",0
"125",0
"126",0
"127",1.50150814484885
"128",55.5862026481375
"129",125.019136310437
"130",197.754426200659
"131",259.819343984667
"132",298.682347679573
"133",306.33157835708
"134",281.257976288265
"135",228.822794978814
"136",159.913548404873
"137",88.2422262053837
"138",26.9950308422717
"139",0
"140",0
"141",0
"142",0
"143",10.5186661903311
"144",25.3432170580345
"145",4.57944844208684
"146",0
"147",0
"148",0
"149",0
"150",0
"151",3.2933851808178
"152",48.1433884258909
"153",103.402270171774
"154",159.250908584122
"155",204.81417059398
"156",230.819766235474
"157",231.905648979064
"158",207.956514949972
"159",164.12871098888
"160",109.556843128756
"161",55.0851084852958
"162",10.6194017435762
"163",0
"164",0
"165",0
"166",0
"167",12.0012816544079
"168",22.0658326848758
"169",21.4425733931685
"170",10.1274599162109
"171",0
"172",0
"173",0
"174",0
"175",3.88310848673288
"176",48.3876926715618
"177",103.480942948161
"178",159.260734832195
"179",204.800263852152
"180",230.801962238362
"181",231.890823372236
"182",207.946129620823
"183",164.122142314902
"184",109.553004361086
"185",55.0830162042271
"186",10.6183416649274
"187",0
"188",0
"189",0
"190",0
"191",12.0012940078464
"192",22.0658480181019
"193",3.78314353643808
"194",0
"195",0
"196",0
"197",0
"198",0
"199",3.4206232491313
"200",47.9509299276675
"201",103.092887858359
"202",159.090116585301
"203",205.082243874244
"204",231.747503289326
"205",233.60688330848
"206",210.386061226183
"207",167.078237493138
"208",112.692731466721
"209",58.0194788953456
"210",12.9967034741924
"211",0
"212",0
"213",0
"214",0
"215",11.1814228001019
"216",21.3628670770259
"217",21.0989497828413
"218",10.2512370384859
"219",0
"220",0
"221",0
"222",0
"223",4.26507730885713
"224",48.4763055066761
"225",103.41791959794
"226",159.291163852842
"227",205.206821746705
"228",231.824793135853
"229",233.654845616036
"230",210.415816200822
"231",167.096692258527
"232",112.704176684827
"233",58.0265772026722
"234",13.0011060500238
"235",0
"236",0
"237",0
"238",0
"239",11.1818269022656
"240",21.363117714224
"241",12.5915887085493
"242",7.82103549901328
"243",0
"244",0
"245",0
"246",0
"247",0
"248",64.2914985811117
"249",144.020078433549
"250",223.555031143799
"251",286.642279717856
"252",319.944650635002
"253",316.347320011768
"254",276.724793325211
"255",209.705984529309
"256",129.496338441
"257",52.3279422022612
"258",0
"259",0
"260",0
"261",0
"262",0
"263",25.0758751544919
"264",40.2449202643794
"265",37.5858281102268
"266",17.9058666669532
"267",0
"268",0
"269",0
"270",0
"271",0
"272",64.2451909323947
"273",144.071949149198
"274",223.609939344754
"275",286.673801885062
"276",319.956121243795
"277",316.348450912299
"278",276.722699826691
"279",209.703963043624
"280",129.495226401868
"281",52.327559804537
"282",0
"283",0
"284",0
"285",0
"286",0
"287",25.0758752503151
"288",40.2449170131293
"289",23.7274883604195
"290",19.1601696905088
"291",0
"292",0
"293",0
"294",0
"295",7.98763065332085
"296",97.8050280477855
"297",205.879235149734
"298",311.682539960936
"299",393.748045192478
"300",434.826987597879
"301",426.167661766056
"302",369.726420270788
"303",277.685949937023
"304",169.397566388483
"305",66.557402697032
"306",0
"307",0
"308",0
"309",0
"310",0
"311",34.5073679010795
"312",53.2113087948302
"313",48.1725204911592
"314",21.1016431193758
"315",0
"316",0
"317",0
"318",0
