"","x"
"1",0
"2",2.30990332507194
"3",7.37839470083596
"4",7.6675152944252
"5",1.19129381986236
"6",0
"7",0
"8",4.43175393062047
"9",37.6521014360734
"10",83.7301399806792
"11",128.557391157398
"12",156.158345386707
"13",142.029155368532
"14",114.453786347681
"15",84.0129167885669
"16",38.4666033926217
"17",5.74622269502601
"18",0
"19",0
"20",1.312323098885
"21",6.5963917026063
"22",5.15914078462443
"23",0
"24",0
"25",0
"26",0
"27",5.75024744750102
"28",6.60930789418449
"29",0.503516409293077
"30",0
"31",0
"32",4.24292034143552
"33",37.5293698458685
"34",83.6503711042879
"35",128.50554571459
"36",156.124648661097
"37",142.007254324673
"38",114.439551857135
"39",84.0036651418234
"40",38.4605903240689
"41",5.74231452662926
"42",0
"43",0
"44",1.31125008681139
"45",6.59569430296108
"46",5.15868751268359
"47",0
"48",0
"49",0.385210301096945
"50",8.89981129730132
"51",16.3213216769858
"52",13.7485473799038
"53",0
"54",0
"55",0
"56",11.5385972483916
"57",70.1794946800734
"58",146.327589177885
"59",215.344359963204
"60",252.094600505587
"61",264.183838378111
"62",212.837314166483
"63",117.928273861992
"64",48.3151741675307
"65",2.66734595868878
"66",0
"67",0
"68",5.76279035679948
"69",11.3053054452835
"70",5.97721060619096
"71",0
"72",0
"73",0
"74",3.02585019983153
"75",12.0416056265517
"76",10.630384156073
"77",0
"78",0
"79",0
"80",10.6599098391069
"81",69.5392908131376
"82",145.861142308488
"83",215.004510903854
"84",251.846989489803
"85",264.003431184237
"86",212.705871082264
"87",117.832505594563
"88",48.2453982557671
"89",2.61650784713971
"90",0
"91",0
"92",5.7431277507276
"93",11.2909794445827
"94",5.96677280891573
"95",0
"96",0
"97",0
"98",1.43498576627298
"99",10.8364869327533
"100",13.2422597280752
"101",3.93332243411666
"102",0
"103",0
"104",7.60648502876789
"105",64.8488746375535
"106",147.205278241533
"107",230.427203149637
"108",285.273010865126
"109",283.637437013531
"110",237.855871399093
"111",165.199354176766
"112",79.5992506629108
"113",15.0032351407289
"114",0
"115",0
"116",0
"117",11.1604868347412
"118",10.989744416702
"119",0.996082289629517
"120",0
"121",0
"122",0
"123",8.05120047408573
"124",11.3736838163413
"125",2.67974367669772
"126",0
"127",0
"128",7.22797772967757
"129",64.5949439801539
"130",147.034922798131
"131",230.31291613367
"132",285.196338692181
"133",283.585999655977
"134",237.821363419855
"135",165.176203675112
"136",79.5837195962229
"137",14.9928157538804
"138",0
"139",0
"140",0
"141",11.1583762359963
"142",10.9883284711493
"143",0.99513236875373
"144",0
"145",0
"146",2.50781293604019
"147",12.3474506153936
"148",14.7396746975589
"149",5.11223684678144
"150",0
"151",0
"152",0
"153",46.8257104316796
"154",115.647879741274
"155",184.268796745719
"156",227.349398539084
"157",201.533285440869
"158",159.353030610798
"159",117.37104236876
"160",48.067751801475
"161",0
"162",0
"163",0
"164",3.7676016191252
"165",13.2465491447788
"166",10.2239122406042
"167",0
"168",0
"169",0
"170",0
"171",9.51165403683396
"172",12.9436824989968
"173",3.97478291172722
"174",0
"175",0
"176",0
"177",46.6427103413444
"178",115.531980477885
"179",184.195394381656
"180",227.302910693585
"181",201.503843340376
"182",159.334384074867
"183",117.359232976889
"184",48.0602725711838
"185",0
"186",0
"187",0
"188",3.76639831780744
"189",13.245787059164
"190",10.2234295896873
"191",0
"192",0
"193",0
"194",2.25327796593034
"195",12.9211819152242
"196",16.8321706121786
"197",8.36291902352975
"198",0
"199",0
"200",0
"201",46.5707704560834
"202",117.857825689308
"203",191.552241588301
"204",240.730923100746
"205",174.478130378167
"206",133.49614706886
"207",133.675628409339
"208",58.35673464789
"209",3.43263448498385
"210",0
"211",0
"212",1.60542002756816
"213",13.3947694475912
"214",12.1339562822125
"215",0.777144186511889
"216",0
"217",0
"218",0
"219",8.2297157172437
"220",13.2473559179492
"221",5.62371216374374
"222",0
"223",0
"224",0
"225",45.6369630615773
"226",117.144290447203
"227",191.007019367186
"228",240.314311204296
"229",174.159791422889
"230",133.252899837298
"231",133.48975981022
"232",58.2147098613519
"233",3.32411136657246
"234",0
"235",0
"236",1.55700316726475
"237",13.3577734499777
"238",12.1056871249223
"239",0.755543329515191
"240",0
"241",0
"242",7.68589381784687
"243",28.4980308145602
"244",32.980821948237
"245",12.1654397190847
"246",0
"247",0
"248",0
"249",62.381804061535
"250",179.963127474365
"251",295.883315407382
"252",365.106127242434
"253",298.863966580037
"254",220.795729108428
"255",163.028658683838
"256",50.0601970600716
"257",0
"258",0
"259",0
"260",15.947417434662
"261",30.026469309452
"262",18.4995946968437
"263",0
"264",0
"265",0
"266",0
"267",22.632615799898
"268",29.4261781162373
"269",10.0112029360458
"270",0
"271",0
"272",0
"273",62.0912126208475
"274",179.787019037078
"275",295.776587619356
"276",365.041446521214
"277",298.824767831754
"278",220.77197331477
"279",163.014261853403
"280",50.0514720841951
"281",0
"282",0
"283",0
"284",15.946240496579
"285",30.0257560443741
"286",18.4991624336017
"287",0
"288",0
"289",0
"290",7.26924578725749
"291",28.1106840740565
"292",29.2179635980223
"293",3.61806289690828
"294",0
"295",0
"296",3.9780809721694
"297",115.735438775933
"298",268.728453784442
"299",412.635985137112
"300",493.525808793438
"301",419.939089344616
"302",317.246240739382
"303",226.09032279241
"304",82.4066112720393
"305",0
"306",0
"307",0
"308",14.513371449573
"309",29.6498623250623
"310",17.7943911959175
"311",0
"312",0
"313",0
"314",1.5339742413289
"315",25.4668853539377
"316",27.9992468177395
"317",3.05626877119053
"318",0
"319",0
"320",3.92305085944265
"321",115.710071443205
"322",268.71676015821
"323",412.630594704625
"324",493.523323955816
"325",419.937943904427
"326",317.245712723702
"327",226.090079392046
"328",82.406499071324
"329",0
"330",0
"331",0
"332",14.5133663832458
"333",29.649859989628
"334",17.794390119348
"335",0
"336",0
"337",0.0157766006263307
"338",8.78791836938064
"339",14.3453402208448
"340",7.7822889103227
"341",0
"342",0
"343",0
"344",35.5047721792327
"345",120.088545451666
"346",220.840158767491
"347",305.646856584801
"348",344.568170306455
"349",317.997269817951
"350",245.787960414022
"351",154.689727078506
"352",65.6690371382994
"353",7.82243736408263
"354",0
"355",0
"356",4.91527125388582
"357",10.281307300671
"358",4.51895634309531
"359",0
"360",0
"361",0
"362",6.4309801916998
"363",13.2270658533404
"364",7.25171175184672
"365",0
"366",0
"367",0
"368",35.4778847508719
"369",120.075788425525
"370",220.83410606086
"371",305.643984813813
"372",344.566807764188
"373",317.996623345292
"374",245.787653688198
"375",154.689581549179
"376",65.6689680903636
"377",7.82240460355567
"378",0
"379",0
"380",4.9152677548256
"381",10.2813056405047
"382",4.51895555541176
"383",0
"384",0
"385",7.79123329239693
"386",11.7660783579677
"387",7.0437502530295
"388",0
"389",0
"390",0
"391",4.27085302168573
"392",49.0360215510857
"393",107.211106448613
"394",161.654686709268
"395",194.790156306842
"396",196.329705532096
"397",192.860056847181
"398",145.723450225282
"399",71.2723086510978
"400",33.4227912114459
"401",12.358065966356
"402",5.03485086928229
"403",3.83307048659023
"404",2.06178116202881
"405",0
"406",0
"407",0
"408",0
"409",7.40884816008195
"410",11.545367772648
"411",6.91635732282514
"412",0
"413",0
"414",0
"415",4.25671352386403
"416",49.0278603110776
"417",107.206395825979
"418",161.651967763915
"419",194.788586946609
"420",196.328799706042
"421",192.859534009388
"422",145.723148446197
"423",71.2721344658776
"424",33.4226906726994
"425",12.3580079359471
"426",5.03481737445093
"427",3.83305115355866
"428",2.06177000310982
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0.686756375829238
"437",3.71596635389416
"438",2.95581765406233
"439",0
"440",0
"441",0
"442",12.3024509306917
"443",33.4311870821072
"444",56.620697046438
"445",85.2551587625247
"446",88.6747217407322
"447",65.1498921982686
"448",42.8325261996206
"449",18.1424598270672
"450",0
"451",0
"452",0
"453",0
"454",4.5809961181278
"455",5.23345646907513
"456",1.59802988134203
"457",0
"458",0
"459",0
"460",1.02403546019886
"461",3.94457388781686
"462",3.11076768502526
"463",0
"464",0
"465",0
"466",12.3351545773359
"467",33.4533535915532
"468",56.6357214914598
"469",85.2653423211388
"470",88.6816241498326
"471",65.1545706464609
"472",42.8356972486224
"473",18.1446091619233
"474",0
"475",0
"476",0
"477",0
"478",4.58130359306726
"479",5.2336648753799
"480",1.59817113899363
"481",0
"482",0
"483",0.146698402477903
"484",4.21361506360797
"485",3.8799467506715
"486",0
"487",0
"488",0
"489",20.0995054062413
"490",56.5690191430813
"491",100.654492947627
"492",138.333989029714
"493",194.462777992399
"494",184.970580103068
"495",113.074628070823
"496",67.8367889601064
"497",25.8042408723654
"498",0
"499",0
"500",0
"501",1.60339431628182
"502",6.23146414261718
"503",4.47271570301926
"504",0
"505",0
"506",0
"507",0
"508",4.13013483232029
"509",3.83499487100895
"510",0
"511",0
"512",0
"513",20.0957261641945
"514",56.5669841219622
"515",100.653397142991
"516",138.333398968122
"517",194.462460259959
"518",184.970409012617
"519",113.074535943174
"520",67.8367393518232
"521",25.8042141596271
"522",0
"523",0
"524",0
"525",1.60339207046018
"526",6.23146293330208
"527",4.47271505183531
"528",0
"529",0
"530",0
"531",0
"532",3.86570962128372
"533",2.99180389320871
"534",0
"535",0
"536",7.27013070614124
"537",41.0322888894833
"538",95.5525921990148
"539",158.433683898137
"540",210.086399897492
"541",270.002953505971
"542",253.591502466341
"543",166.127178586211
"544",100.471246431483
"545",39.7017086673996
"546",0
"547",0
"548",0
"549",0.556040110648013
"550",7.50783124242064
"551",6.26978263168124
"552",0
"553",0
"554",0
"555",0
"556",3.86515085288097
"557",2.99164531941262
"558",0
"559",0
"560",7.27012708179088
"561",41.032287860923
"562",95.552591907118
"563",158.433683815299
"564",210.086399873983
"565",270.0029534993
"566",253.591502464448
"567",166.127178585673
"568",100.47124643133
"569",39.7017086673563
"570",0
"571",0
"572",0
"573",0.556040110647732
"574",7.50783124242056
"575",6.26978263168121
"576",0
"577",0
"578",0.985733727576733
"579",9.48312546945927
"580",9.9884607672274
"581",0
"582",0
"583",0
"584",7.9654211734965
"585",64.2648967202905
"586",142.246343040721
"587",218.827806594848
"588",267.54300482167
"589",278.020653566689
"590",234.764881210198
"591",154.33528163096
"592",77.350017876662
"593",19.5842189314797
"594",0
"595",0
"596",0.507350614732394
"597",8.41778339568831
"598",6.84367973688337
"599",0
"600",0
"601",0
"602",0.56300330264853
"603",9.39005870561738
"604",9.96797153337708
"605",0
"606",0
"607",0
"608",7.96537303969692
"609",64.2648861233316
"610",142.246340707734
"611",218.827806081226
"612",267.543004708593
"613",278.020653541794
"614",234.764881204718
"615",154.335281629753
"616",77.3500178763964
"617",19.5842189314212
"618",0
"619",0
"620",0.50735061473177
"621",8.41778339568817
"622",6.84367973688334
"623",0
"624",0
"625",0
"626",2.72332931388866
"627",6.34056874793268
"628",4.55800277231736
"629",0
"630",0
"631",0
"632",14.227549773341
"633",59.3274141727659
"634",118.411535090945
"635",174.636982781572
"636",209.458630552136
"637",224.486667918288
"638",192.424949865744
"639",125.114393515242
"640",67.9309249156651
"641",23.4978295525627
"642",0
"643",0
"644",0
"645",3.29534295741727
"646",2.95675562068431
"647",0
"648",0
"649",0
"650",1.84123558511363
"651",5.94081167420707
"652",4.37683640327902
"653",0
"654",0
"655",0
"656",14.219907839532
"657",59.3239509159742
"658",118.409965573608
"659",174.636271490201
"660",209.458308201179
"661",224.486521831686
"662",192.424883660589
"663",125.114363511651
"664",67.9309113183032
"665",23.4978233903587
"666",0
"667",0
"668",0
"669",3.29534269748406
"670",2.95675550288487
"671",0
"672",0
"673",0
"674",0
"675",5.28463869270356
"676",7.36765696963205
"677",2.25466983889428
"678",0
"679",0
"680",1.6660249809527
"681",36.011479191017
"682",87.9067726108034
"683",143.075131573045
"684",182.921271038981
"685",243.950813428279
"686",220.401508058329
"687",121.237033202392
"688",65.8333796213343
"689",20.6576667916521
"690",0
"691",0
"692",0
"693",5.2234458866267
"694",6.27684844623282
"695",1.19317483069518
"696",0
"697",0
"698",0
"699",4.48326089176596
"700",6.92808854643619
"701",2.0135595929593
"702",0
"703",0
"704",1.62623413215843
"705",35.9896532798903
"706",87.8948007526767
"707",143.068564819145
"708",182.917669070404
"709",243.948837691434
"710",220.40042433536
"711",121.23643876317
"712",65.833053562001
"713",20.6574879429408
"714",0
"715",0
"716",0
"717",5.22342969678763
"718",6.27683956584953
"719",1.19316995966422
"720",0
"721",0.665348940356199
"722",6.13200913692969
"723",9.69619154226314
"724",5.91673928015426
"725",0
"726",0
"727",0
"728",12.6674975889294
"729",59.5344134734895
"730",118.081567157145
"731",170.132101152746
"732",197.726172022759
"733",251.746811852546
"734",214.505317159915
"735",100.203317860477
"736",48.0923748414903
"737",11.9798843722648
"738",0
"739",0
"740",2.2516042355092
"741",4.83660349951545
"742",1.72436715872656
"743",0
"744",0
"745",0
"746",4.34391429117791
"747",8.73305125287926
"748",5.39795291977837
"749",0
"750",0
"751",0
"752",12.6238274528298
"753",59.510890969848
"754",118.068896984185
"755",170.125276484536
"756",197.72249598011
"757",251.74483178712
"758",214.504250616498
"759",100.202743377005
"760",48.0920654014296
"761",11.9797176953179
"762",0
"763",0
"764",2.25157818762013
"765",4.83658946906764
"766",1.72435960135924
"767",0
"768",0
"769",11.3434450913082
"770",17.1015083992546
"771",9.7551318400861
"772",0
"773",0
"774",0
"775",12.0516534707402
"776",94.6583623452234
"777",206.377729911572
"778",317.958649378133
"779",396.051855607755
"780",417.142381875977
"781",459.935599948492
"782",375.612709219422
"783",192.749829159309
"784",104.492050650474
"785",44.5605398008514
"786",14.0470147524142
"787",2.96602891337263
"788",0
"789",0
"790",0
"791",0
"792",0.0221429157205606
"793",11.3528352249844
"794",17.1054904679022
"795",9.75682051367275
"796",0
"797",0
"798",0
"799",12.0517080834318
"800",94.6583855047965
"801",206.377739732839
"802",317.958653543032
"803",396.051857373961
"804",417.142382624972
"805",459.935600266118
"806",375.612709354117
"807",192.749829216429
"808",104.492050674697
"809",44.5605398111236
"810",14.0470147567703
"811",2.96602891521993
"812",0
"813",0
"814",0
"815",0
"816",0.0221429157458957
"817",6.06639723020838
"818",24.6965113225673
"819",29.3405551559278
"820",7.39527359178548
"821",0
"822",0
"823",0
"824",108.892934509024
"825",289.459139586901
"826",484.739391956246
"827",630.673306999122
"828",676.31327224984
"829",506.655768288416
"830",351.129815242509
"831",266.573742358839
"832",110.475321674917
"833",18.5800004747476
"834",0
"835",2.41409783108827
"836",17.5431781736511
"837",15.7854136896545
"838",0
"839",0
"840",0
"841",0
"842",22.0620857713466
"843",28.3836335351766
"844",7.04768396723266
"845",0
"846",0
"847",0
"848",108.886883489512
"849",289.456941630919
"850",484.738593576652
"851",630.673016997875
"852",676.31316691057
"853",506.655730025265
"854",351.129801343905
"855",266.573737310348
"856",110.475319841116
"857",18.5799998086429
"858",0
"859",2.41409774320153
"860",17.5431781417273
"861",15.7854136780586
"862",0
"863",0
"864",0
"865",0
"866",11.2128743278097
"867",35.1979812292135
"868",30.3889627624841
"869",0
"870",0
"871",0
"872",40.784719233674
"873",208.630374668223
"874",421.710276589616
"875",610.550150729392
"876",706.255395007872
"877",547.692096166379
"878",399.896630334978
"879",320.063324924248
"880",129.737963673346
"881",8.12752167340187
"882",0
"883",0
"884",21.4282891691466
"885",33.2042008641264
"886",14.8739387956917
"887",0
"888",0
"889",0
"890",9.14948169372718
"891",34.6865847123898
"892",30.2622169395615
"893",0
"894",0
"895",0
"896",40.7842410032355
"897",208.630256142366
"898",421.710247213864
"899",610.55014344883
"900",706.255393203439
"901",547.692095719163
"902",399.896630224139
"903",320.063324896778
"904",129.737963666537
"905",8.12752167171446
"906",0
"907",0
"908",21.428289169121
"909",33.2042008641201
"910",14.8739387956901
"911",0
"912",0
"913",0
"914",8.25103389174603
"915",25.6340502146787
"916",24.8436235307955
"917",0.449582867291546
"918",0
"919",0
"920",16.1509391933716
"921",133.381193278681
"922",292.371255131733
"923",443.840167902591
"924",533.971579210944
"925",486.253482728292
"926",389.969537574415
"927",282.621135070672
"928",131.640551425767
"929",25.2147357169595
"930",0
"931",0
"932",9.52122640655429
"933",22.6090370784234
"934",13.9994237700755
"935",0
"936",0
"937",0
"938",2.76890159541957
"939",22.9255819037998
"940",23.5054944608438
"941",0
"942",0
"943",0
"944",16.071214107997
"945",133.341804797038
"946",292.351795102573
"947",443.830553601174
"948",533.966829228764
"949",486.25113598153
"950",389.968378155252
"951",282.620562255225
"952",131.640268424117
"953",25.2145958989179
"954",0
"955",0
"956",9.52120954545231
"957",22.6090287481319
"958",13.9994196544633
"959",0
"960",0
"961",25.8479336337667
"962",54.9093907571682
"963",54.9701643575376
"964",14.4754407679688
"965",0
"966",0
"967",0
"968",150.879849357143
"969",387.624762934438
"970",628.012570547553
"971",788.497936042263
"972",811.636956446005
"973",649.047942906044
"974",437.647560886652
"975",255.809328033624
"976",86.1327862530732
"977",4.54189314549932
"978",0
"979",22.0848017314967
"980",35.6998829494597
"981",19.9231139146636
"982",0
"983",0
"984",0
"985",6.90273378278578
"986",42.1974095933517
"987",46.4405913585567
"988",8.7522089123371
"989",0
"990",0
"991",0
"992",149.719743715052
"993",386.846347230919
"994",627.490263797633
"995",788.147475048505
"996",811.401801705684
"997",648.890157152763
"998",437.541688711145
"999",255.73828918941
"1000",86.0851201182925
"1001",4.50990979286906
"1002",0
"1003",22.0704020765362
"1004",35.6902209694298
"1005",19.91663085251
"1006",0
"1007",0
"1008",0
"1009",26.1130870289629
"1010",68.0581271722749
"1011",74.9987398855492
"1012",24.4967800109469
"1013",0
"1014",0
"1015",0
"1016",173.287648299029
"1017",490.289266115032
"1018",820.252240354281
"1019",1047.07903064783
"1020",1087.84603075278
"1021",785.526803408974
"1022",498.52736898528
"1023",335.300085364248
"1024",102.289271904506
"1025",0
"1026",0
"1027",31.0059709289978
"1028",55.6051731829481
"1029",35.0655416913208
"1030",0
"1031",0
"1032",0
"1033",1.54637513433593
"1034",55.1092673299085
"1035",68.1735297419842
"1036",20.899282310693
"1037",0
"1038",0
"1039",0
"1040",173.009972190254
"1041",490.142905909013
"1042",820.175095402919
"1043",1047.03836834157
"1044",1087.82459807156
"1045",785.515506464299
"1046",498.521414482542
"1047",335.296946807419
"1048",102.287617603651
"1049",0
"1050",0
"1051",31.0057286766546
"1052",55.6050454942427
"1053",35.0654743879243
"1054",0
"1055",0
"1056",0
