"","x"
"1",0
"2",2.47286287612845
"3",7.47171808753204
"4",7.74419030776047
"5",1.2114409482051
"6",0
"7",0
"8",4.16999229034126
"9",37.4456657994649
"10",83.6854408389078
"11",128.726527912378
"12",156.513654865125
"13",141.626922322709
"14",114.023798356036
"15",84.3111434117301
"16",38.610116815433
"17",5.7607881671821
"18",0
"19",0
"20",1.26122306788861
"21",6.56761050083475
"22",5.15042202150759
"23",0
"24",0
"25",0
"26",0.10996418465217
"27",6.13676690655237
"28",6.99673468381517
"29",0.793890378093263
"30",0
"31",0
"32",4.09735462331725
"33",37.4051203877976
"34",83.6628089705488
"35",128.71389513595
"36",156.506603436139
"37",141.622986319502
"38",114.021601337376
"39",84.3099170684764
"40",38.6094322888052
"41",5.76040607456436
"42",0
"43",0
"44",1.26115661657849
"45",6.56757340869837
"46",5.15040131722683
"47",0
"48",0
"49",0.821057933391945
"50",9.94866213417187
"51",17.7031407160167
"52",15.1576087990518
"53",1.16320917057072
"54",0
"55",0
"56",11.7787473420529
"57",70.3627945158861
"58",146.566162840311
"59",215.657788990682
"60",252.424421294718
"61",264.10797827375
"62",212.649834627524
"63",117.984706062304
"64",48.333270630255
"65",2.70211602019951
"66",0
"67",0
"68",5.75600264567472
"69",11.2329676897231
"70",5.91549939322621
"71",0
"72",0
"73",0
"74",4.22773675243954
"75",13.4423582808879
"76",11.9840333733545
"77",0
"78",0
"79",0
"80",10.8020052765287
"81",69.6352866753436
"82",146.024292394947
"83",215.254187045526
"84",252.123806024911
"85",263.884070679831
"86",212.48306129413
"87",117.860488101473
"88",48.2407492332242
"89",2.63320320878922
"90",0
"91",0
"92",5.72752701662884
"93",11.2117581563913
"94",5.89970187376047
"95",0
"96",0
"97",0
"98",1.91738122289217
"99",11.5338212788557
"100",13.9177126786296
"101",4.46167320825762
"102",0
"103",0
"104",7.85688744462851
"105",65.0720294613894
"106",147.341401640826
"107",230.392459404194
"108",285.02261593885
"109",284.092581360386
"110",238.257244979443
"111",164.817196026952
"112",79.4213609964492
"113",15.0367226655452
"114",0
"115",0
"116",0
"117",11.0061806844571
"118",10.7755543741989
"119",0.865375519649502
"120",0
"121",0
"122",0
"123",8.55158357738457
"124",11.7748673946503
"125",2.92251342159366
"126",0
"127",0
"128",7.28643812379132
"129",64.6622713867767
"130",147.047069303874
"131",230.18103825154
"132",284.870750519435
"133",283.983495276408
"134",238.178887616959
"135",164.760911338461
"136",79.3809312772998
"137",15.0076816912709
"138",0
"139",0
"140",0
"141",10.9984493757875
"142",10.7700009164726
"143",0.861386428793659
"144",0
"145",0
"146",3.24992931856409
"147",13.3395534888787
"148",15.6962805845172
"149",5.86422171388993
"150",0
"151",0
"152",0
"153",47.0133646651219
"154",115.803698474981
"155",184.352917949282
"156",227.318996909198
"157",201.744854506021
"158",159.501784929319
"159",117.186535391021
"160",47.9839597171654
"161",0
"162",0
"163",0
"164",3.74504094586549
"165",13.1166629961993
"166",10.0603628756742
"167",0
"168",0
"169",0
"170",0
"171",10.1151734025693
"172",13.4603053858031
"173",4.3146959478364
"174",0
"175",0
"176",0
"177",46.6558574806676
"178",115.555924895687
"179",184.181196236445
"180",227.199983627868
"181",201.662371278384
"182",159.444619184744
"183",117.146916156341
"184",47.9565012493675
"185",0
"186",0
"187",0
"188",3.73870579196168
"189",13.112272360669
"190",10.0573199061344
"191",0
"192",0
"193",0
"194",4.44245486122761
"195",13.5607855528345
"196",16.5234618380177
"197",7.44275771582543
"198",0
"199",0
"200",0
"201",43.9662138345689
"202",117.055719702094
"203",193.499485887142
"204",245.438344608711
"205",168.626121970309
"206",127.629220404373
"207",138.421437282701
"208",60.596416111238
"209",3.37952033058257
"210",0
"211",0
"212",1.10839745136777
"213",13.8044474899181
"214",12.9532498005853
"215",1.3890969676784
"216",0
"217",0
"218",0
"219",9.31711711109563
"220",15.0320763091472
"221",7.43728376777227
"222",0
"223",0
"224",0
"225",44.1691197404149
"226",117.124119269874
"227",193.496711873102
"228",245.410454725537
"229",168.598033028638
"230",127.610101836574
"231",138.411751899183
"232",60.5932960630178
"233",3.37980393815195
"234",0
"235",0
"236",1.10932822180054
"237",13.8049089932149
"238",12.9533912406322
"239",1.38907591103654
"240",0
"241",0
"242",7.04062605652402
"243",26.3772247271085
"244",30.8479037609276
"245",10.4682458207189
"246",0
"247",0
"248",0
"249",62.0152407450486
"250",179.846540690167
"251",295.862252003427
"252",365.014592881669
"253",298.989132959164
"254",220.817613897147
"255",162.722101959579
"256",49.934679717828
"257",0
"258",0
"259",0
"260",15.9111630239604
"261",29.7953892574393
"262",18.2494660814607
"263",0
"264",0
"265",0
"266",0
"267",24.1605113230599
"268",30.6721039282263
"269",10.757353289301
"270",0
"271",0
"272",0
"273",62.0221696914839
"274",179.843894621105
"275",295.859047819392
"276",365.012782364403
"277",298.988430397861
"278",220.817447621143
"279",162.722113997823
"280",49.9347195633224
"281",0
"282",0
"283",0
"284",15.9111632777104
"285",29.7953888097171
"286",18.2494657115635
"287",0
"288",0
"289",0
"290",4.32246656635034
"291",24.7651916222635
"292",27.4233035676991
"293",3.02714322723855
"294",0
"295",0
"296",3.84313381232632
"297",115.701646439909
"298",268.776365485779
"299",412.648259507873
"300",493.382365276257
"301",420.183585663784
"302",317.399886419718
"303",225.743342145584
"304",82.2635579901808
"305",0
"306",0
"307",0
"308",14.491039686621
"309",29.461165986405
"310",17.59103236873
"311",0
"312",0
"313",0
"314",2.56214346445421
"315",26.4738292946912
"316",28.7365969018336
"317",3.40513315398587
"318",0
"319",0
"320",3.79353010727377
"321",115.697092265498
"322",268.784062945105
"323",412.65347963999
"324",493.383680894757
"325",420.183240739031
"326",317.399423260362
"327",225.743155700074
"328",82.263549821558
"329",0
"330",0
"331",0
"332",14.4910379143407
"333",29.4611640868223
"334",17.5910316778054
"335",0
"336",0
"337",0
"338",7.3206174391688
"339",13.5291737137023
"340",8.1501726453092
"341",0
"342",0
"343",0
"344",33.9717158003649
"345",118.655037358469
"346",220.888791204763
"347",308.218746946636
"348",349.763575989888
"349",312.270758983894
"350",239.9962190325
"351",159.737571196886
"352",68.1234365602496
"353",7.88426385390047
"354",0
"355",0
"356",4.44392315025839
"357",10.7654348598145
"358",5.43741223783982
"359",0
"360",0
"361",0
"362",6.24952804128015
"363",13.7125093751044
"364",8.41855685861128
"365",0
"366",0
"367",0
"368",33.9648535177982
"369",118.652199738091
"370",220.888308716538
"371",308.218926608941
"372",349.763750164644
"373",312.270826433389
"374",239.996228768761
"375",159.737565975611
"376",68.1234321697144
"377",7.88426226211115
"378",0
"379",0
"380",4.44392326021552
"381",10.7654348970899
"382",5.4374122410745
"383",0
"384",0
"385",8.52923955435151
"386",12.6868759114355
"387",8.01008493752376
"388",0
"389",0
"390",0
"391",4.36137370670682
"392",49.0594889470563
"393",107.251501239236
"394",161.719765500368
"395",194.8242775837
"396",196.266567058583
"397",193.006965481355
"398",145.804370142895
"399",71.0579753755112
"400",33.3269827432787
"401",12.4009261587865
"402",5.15363935827062
"403",3.91793619858743
"404",2.0252475520463
"405",0
"406",0
"407",0
"408",0
"409",7.98015675051866
"410",12.3647989770405
"411",7.80621643285546
"412",0
"413",0
"414",0
"415",4.32979975732984
"416",49.0396769225033
"417",107.239069584494
"418",161.711964882453
"419",194.819382849941
"420",196.263495709773
"421",193.005038270606
"422",145.803160856193
"423",71.0572165719772
"424",33.3265066090399
"425",12.4006273939506
"426",5.15345188923377
"427",3.91781856546746
"428",2.02517373958562
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0.928617538248665
"437",3.93906792013963
"438",3.16604116057541
"439",0
"440",0
"441",0
"442",12.3397711463043
"443",33.5552829643519
"444",56.876600182958
"445",84.9568673823761
"446",88.4004733069518
"447",65.4549801336616
"448",42.9771462169364
"449",18.122637630751
"450",0
"451",0
"452",0
"453",0
"454",4.70114249020572
"455",5.3058939250506
"456",1.55027078339218
"457",0
"458",0
"459",0
"460",0.874967567957729
"461",3.90899941536725
"462",3.15145365794895
"463",0
"464",0
"465",0
"466",12.3394915243545
"467",33.555218080396
"468",56.8765972346419
"469",84.9568763335342
"470",88.4004809437622
"471",65.4549846525825
"472",42.9771484834495
"473",18.1226386476476
"474",0
"475",0
"476",0
"477",0
"478",4.70114249174361
"479",5.30589392405275
"480",1.55027078233031
"481",0
"482",0
"483",0
"484",3.78236361381365
"485",3.72410803679882
"486",0
"487",0
"488",0
"489",19.3121478724994
"490",56.4225632342364
"491",101.640584198256
"492",140.545978166003
"493",191.879994426003
"494",182.424552119358
"495",115.383108380543
"496",68.9492034213317
"497",25.793343848868
"498",0
"499",0
"500",0
"501",1.93670984513885
"502",6.73754889606634
"503",4.71988075733658
"504",0
"505",0
"506",0
"507",0
"508",3.87303090758092
"509",3.83590443986908
"510",0
"511",0
"512",0
"513",19.3460205141895
"514",56.4481344731926
"515",101.66030824091
"516",140.561027298856
"517",191.891539968793
"518",182.433385162109
"519",115.389875690069
"520",68.954384421496
"521",25.7973118050952
"522",0
"523",0
"524",0
"525",1.93807428519445
"526",6.73859374555771
"527",4.72068087821519
"528",0
"529",0
"530",0
"531",0
"532",3.75921378075085
"533",3.25008105351258
"534",0
"535",0
"536",6.6736155100951
"537",40.3968264718469
"538",95.5149567553793
"539",159.539641183637
"540",212.460242786456
"541",267.349768738126
"542",250.966641819097
"543",168.564456585401
"544",101.626453093906
"545",39.6582570246538
"546",0
"547",0
"548",0
"549",0.931925173271491
"550",8.06473375292323
"551",6.53955321988857
"552",0
"553",0
"554",0
"555",0
"556",3.81345573214914
"557",3.28267854321229
"558",0
"559",0
"560",6.67769303445383
"561",40.398931868975
"562",95.5160247212399
"563",159.540187935855
"564",212.460521356962
"565",267.349911025528
"566",250.966714401611
"567",168.564493635725
"568",101.626471999866
"569",39.6582666737196
"570",0
"571",0
"572",0
"573",0.931925827777168
"574",8.06473408694254
"575",6.53955339035204
"576",0
"577",0
"578",1.637140664742
"579",9.92029729192552
"580",11.1751799145723
"581",0.922433624288514
"582",0
"583",0
"584",6.51142582970911
"585",62.8152917297372
"586",142.268279610498
"587",221.481482415514
"588",273.00922999003
"589",271.941753203575
"590",228.675662628792
"591",159.777220749575
"592",79.9809450885952
"593",19.5979247966526
"594",0
"595",0
"596",0.032102439256614
"597",9.03796837448223
"598",7.92760194504187
"599",0
"600",0
"601",0
"602",0
"603",9.28155483734605
"604",10.7281071481495
"605",0.730158625969831
"606",0
"607",0
"608",6.48175430348434
"609",62.8004453832489
"610",142.260391583938
"611",221.477454587024
"612",273.007118720341
"613",271.940665518909
"614",228.675095841957
"615",159.776927618241
"616",79.9807927303835
"617",19.5978458665913
"618",0
"619",0
"620",0.0320914146035246
"621",9.03796265704937
"622",7.92759897873416
"623",0
"624",0
"625",0
"626",3.08505476603463
"627",6.87962223140551
"628",5.24492443474112
"629",0
"630",0
"631",0
"632",13.8102514630738
"633",58.9165188449304
"634",118.448545508009
"635",175.449218358314
"636",211.077263392789
"637",222.717547255746
"638",190.630535617344
"639",126.674309808937
"640",68.6901716574148
"641",23.5194498522998
"642",0
"643",0
"644",0
"645",3.42272117283879
"646",3.21787126619281
"647",0
"648",0
"649",0
"650",1.85347968482973
"651",6.1721552923631
"652",4.81525128430998
"653",0
"654",0
"655",0
"656",13.7551916342381
"657",58.8835494551347
"658",118.428802137729
"659",175.437395562841
"660",211.070183561447
"661",222.713307660874
"662",190.627996830517
"663",126.672789513578
"664",68.6892612626506
"665",23.5189046828423
"666",0
"667",0
"668",0
"669",3.42265106951709
"670",3.21782928639271
"671",0
"672",0
"673",0
"674",0.604957030636463
"675",5.85868214644836
"676",8.03320853747841
"677",2.57777842956276
"678",0
"679",0
"680",2.51136702369384
"681",36.798283098835
"682",88.2189775232448
"683",142.554197344983
"684",181.503119687318
"685",245.939625115465
"686",222.345195640815
"687",119.692303702632
"688",65.1273886897012
"689",20.7418405847262
"690",0
"691",0
"692",0
"693",5.03455038749651
"694",5.93457043977649
"695",0.983340774734135
"696",0
"697",0
"698",0
"699",4.62553739641462
"700",6.76546068866588
"701",1.67834530543741
"702",0
"703",0
"704",2.005137087782
"705",36.3947192561377
"706",87.8894824941847
"707",142.288881546706
"708",181.287758833499
"709",245.765626357809
"710",222.20423462682
"711",119.578286252305
"712",65.0350809264156
"713",20.6671482025487
"714",0
"715",0
"716",0
"717",5.00250305362693
"718",5.90863345579411
"719",0.962349522616058
"720",0
"721",0
"722",5.80881344108466
"723",10.8936312604925
"724",9.51330574994317
"725",0
"726",0
"727",0
"728",9.81705667484182
"729",56.5256205492075
"730",118.578905086443
"731",177.037159086576
"732",211.507701999962
"733",237.031657760806
"734",199.698584594039
"735",113.733975731731
"736",54.6413425903566
"737",12.0529774622314
"738",0
"739",0
"740",1.1281383102739
"741",6.3833196689613
"742",4.36440738561027
"743",0
"744",0
"745",0
"746",2.41059684250186
"747",8.63972027817244
"748",7.53592124007348
"749",0
"750",0
"751",0
"752",9.06580605878146
"753",55.9343988000831
"754",118.109496800792
"755",176.666310108363
"756",211.213901647174
"757",236.799261704914
"758",199.514597980322
"759",113.588386324962
"760",54.5261051988727
