"","x"
"1",20.8400338948806
"2",37.2535530360922
"3",118.209092285428
"4",208.480168640233
"5",263.920818583744
"6",249.596595156637
"7",204.869230022372
"8",181.770499380873
"9",137.460408579262
"10",204.709137951477
"11",146.93179602436
"12",75.9659926043968
"13",27.7255556379465
"14",43.7579538196488
"15",124.968679876278
"16",216.088547283038
"17",257.274258905816
"18",237.850965312172
"19",196.397224678633
"20",178.087521871424
"21",192.148402832551
"22",190.842442599419
"23",152.545166049761
"24",79.9919646853408
"25",27.2591405413537
"26",43.3173552952456
"27",124.510795373584
"28",215.573166925235
"29",257.724487064243
"30",238.646596969856
"31",196.971105836545
"32",178.337001340798
"33",188.443918688295
"34",191.781752109053
"35",152.164924635921
"36",79.7192512691202
"37",48.7247231101755
"38",46.3155395355888
"39",153.767898597227
"40",106.902519445799
"41",393.033086908799
"42",263.6753088822
"43",291.408786395336
"44",220.317960510036
"45",176.146904890491
"46",184.518137764021
"47",200.763713070267
"48",145.631151522118
"49",74.3773893946417
"50",63.1408154271326
"51",134.966269284226
"52",281.953244557047
"53",339.970573182857
"54",357.390861341192
"55",274.416339783699
"56",205.278027051131
"57",186.372450564828
"58",198.047666099767
"59",187.280230117731
"60",134.482516671357
"61",70.6647068798041
"62",60.7057115312199
"63",137.687408663141
"64",256.618343337687
"65",347.650253131873
"66",343.827511273619
"67",276.875638116268
"68",207.454740276883
"69",184.892518451386
"70",196.089552166147
"71",189.231679953077
"72",136.09604647819
"73",67.7919237614498
"74",125.2349873331
"75",218.887545152606
"76",271.06959421059
"77",255.048730024933
"78",202.405345572238
"79",151.685801540711
"80",155.218195618422
"81",202.337862151702
"82",168.308348334876
"83",120.534002540761
"84",65.3515123576949
"85",66.9254415780517
"86",137.508317087071
"87",238.909751353655
"88",295.977593913555
"89",274.066077315391
"90",206.521019508951
"91",156.837516247532
"92",160.06977928162
"93",189.490912606175
"94",183.768206674566
"95",131.6055781386
"96",71.3543347511758
"97",66.8458513976948
"98",138.635676134012
"99",240.748878611938
"100",298.265502685598
"101",275.812903885396
"102",206.899062170544
"103",157.310723787653
"104",160.515418471989
"105",188.310864071177
"106",185.188262316597
"107",132.622550807329
"108",71.9057202568302
"109",146.353185246105
"110",120.646688021671
"111",94.9004429462486
"112",205.59940266865
"113",167.93846960146
"114",88.936203053199
"115",100.419488904202
"116",208.835737294178
"117",158.089611385351
"118",155.023519619225
"119",159.96121563219
"120",61.6781641759039
"121",111.267317375688
"122",122.313869441907
"123",143.990304487491
"124",221.737372422829
"125",196.562304196358
"126",134.938468773162
"127",126.39552780346
"128",184.336564617492
"129",166.205065455606
"130",161.035787054516
"131",143.078799048361
"132",69.8911472080912
"133",93.1191464475532
"134",123.1762193058
"135",169.382043445732
"136",230.084739933121
"137",211.367987349628
"138",158.733148284889
"139",139.831638197557
"140",171.664363519988
"141",170.402785408562
"142",164.14563337453
"143",134.346366292959
"144",74.1393140326514
"145",105.328261724655
"146",89.6079488014561
"147",113.066376121452
"148",128.316532023393
"149",118.272509405138
"150",137.208413687425
"151",169.359803578865
"152",209.737947748631
"153",293.641028270145
"154",235.818093980073
"155",184.41927461085
"156",131.508348216527
"157",93.8262907979904
"158",93.2900879545413
"159",110.566074650339
"160",122.201260186979
"161",123.995116319365
"162",134.344204605435
"163",166.79327950587
"164",213.276963460366
"165",247.190311321618
"166",234.735073129113
"167",185.213774271203
"168",127.226393686568
"169",93.2697307663915
"170",93.4682601561973
"171",110.445089484002
"172",121.905352997837
"173",124.272023147361
"174",134.205610593388
"175",166.669089944945
"176",213.448210171813
"177",244.942643277815
"178",234.682667665487
"179",185.252218704674
"180",127.019197479614
"181",57.5413239848886
"182",85.0052483670035
"183",105.372919030834
"184",109.343123515634
"185",96.4731742226288
"186",84.1375844659453
"187",91.5184386314044
"188",119.287920627625
"189",146.968371490418
"190",151.507771498573
"191",129.10561882578
"192",98.8192616563595
"193",87.5366962250136
"194",96.9355677505786
"195",113.094988920488
"196",115.835959852209
"197",101.872390581434
"198",88.7583764223165
"199",96.5120518987329
"200",125.785567154808
"201",154.970950850548
"202",159.756917934874
"203",136.134908499902
"204",104.199549908185
"205",89.1698160820766
"206",97.5851221156551
"207",113.515421829142
"208",116.189466189959
"209",102.166354079592
"210",89.0099581338456
"211",96.7839320786045
"212",126.139335298817
"213",155.40665593741
"214",160.206047509482
"215",136.517622263725
"216",104.492482830675
"217",57.8220037675534
"218",119.587719610061
"219",161.135374738683
"220",504.597028306521
"221",143.403385033904
"222",117.767329736294
"223",117.021499910122
"224",179.063791459517
"225",250.627860905352
"226",201.018801817654
"227",113.797213117326
"228",45.1807194979126
"229",40.092030908638
"230",106.988607904026
"231",173.726977476935
"232",260.815023073924
"233",144.987026770098
"234",102.232645490655
"235",109.086342565388
"236",170.255880572268
"237",224.38867874261
"238",197.273616048114
"239",113.443720077647
"240",39.4863046961546
"241",36.1817042963788
"242",104.209887250575
"243",176.504042035016
"244",207.049161751816
"245",145.336297266459
"246",98.8064874440968
"247",107.336252073849
