"","x"
"1",0
"2",0
"3",0
"4",42.0005816645068
"5",125.507574013843
"6",174.614952735952
"7",151.444743131043
"8",75.1324726823167
"9",3.6221044916267
"10",0
"11",0
"12",16.8026877750308
"13",4.42447059067928
"14",0
"15",0
"16",41.6139484900875
"17",125.506067793904
"18",174.672570877888
"19",151.467267593679
"20",75.1325160267748
"21",3.61873059152984
"22",0
"23",0
"24",16.8028853326348
"25",0
"26",0
"27",0
"28",58.799878766859
"29",185.373604726182
"30",261.520788311025
"31",229.142956812476
"32",115.464373387537
"33",7.32351371015323
"34",0
"35",0
"36",25.6236475976977
"37",6.86872944182601
"38",0
"39",0
"40",58.001348986091
"41",184.907439286749
"42",261.386172134273
"43",229.145242459136
"44",115.489237752439
"45",7.33773624447149
"46",0
"47",0
"48",25.62287400236
"49",0.944823654196927
"50",0
"51",0
"52",49.3576970500126
"53",198.344095053436
"54",305.215397789976
"55",287.337061290821
"56",159.860642863654
"57",21.3184514266469
"58",0
"59",0
"60",29.0103937741885
"61",17.8345134661012
"62",0
"63",0
"64",48.1690072667317
"65",197.916148676265
"66",305.202107925725
"67",287.404999098907
"68",159.898060993792
"69",21.325905564984
"70",0
"71",0
"72",29.0094730793271
"73",0
"74",0
"75",0
"76",38.193233721353
"77",150.879998059278
"78",226.739718461989
"79",205.873215468442
"80",105.646752828712
"81",4.13544694494038
"82",0
"83",0
"84",25.1747682367012
"85",13.0471922356981
"86",0
"87",0
"88",36.988737478872
"89",150.661268947913
"90",226.869452268486
"91",205.978917077658
"92",105.672598204628
"93",4.12728593075208
"94",0
"95",0
"96",25.1751887658629
"97",0
"98",0
"99",0
"100",44.154703332967
"101",161.068552502311
"102",235.25747660976
"103",208.595168278699
"104",103.490573656732
"105",1.53750899682099
"106",0
"107",0
"108",26.3806650241151
"109",10.9261780444436
"110",0
"111",0
"112",43.4763094724766
"113",160.895040632551
"114",235.275557538817
"115",208.627944353305
"116",103.502780057684
"117",1.53835865113993
"118",0
"119",0
"120",26.3805280643341
"121",16.2932425268774
"122",0
"123",0
"124",47.6022311938121
"125",208.410277110972
"126",315.045011958417
"127",282.692713098101
"128",138.689131251973
"129",0
"130",0
"131",0
"132",40.8499483797854
"133",22.2371622716099
