timestamp,PV1,PV2,Ph1,Ph2,Ph3
1420066800,0,0,0,352.8,401.2
1420067100,0,0,0,354.8,484.6
1420067400,0,0,0,356.8,423.6
1420067700,0,0,0,388.2,418.6
1420068000,0,0,0,353,187.2
1420068300,0,0,0,352.4,247
1420068600,0,0,64.2,377.2,203.4
1420068900,0,0,0,209.6,217
1420069200,0,0,0,234.4,603.4
1420069500,0,0,46.8,232,948.2
1420069800,0,0,70.4,110.6,148
1420070100,0,0,0,0,109.2
1420070400,0,0,0,0,149.4
1420070700,0,0,0,0,128.8
1420071000,0,0,0,0,47
1420071300,0,0,0,0,0
1420071600,0,0,0,0,23.6
1420071900,0,0,0,0,146.4
1420072200,0,0,0,0,139.4
1420072500,0,0,0,0,109.8
1420072800,0,0,0,0,112.2
1420073100,0,0,0,0,176.2
1420073400,0,0,0,0,160.6
1420073700,0,0,0,0,115.2
1420074000,0,0,0,0,0
1420074300,0,0,0,0,167
1420074600,0,0,0,0,173.4
1420074900,0,0,0,0,129.6
1420075200,0,0,0,0,127.8
1420075500,0,0,0,0,193.6
1420075800,0,0,0,0,136.6
1420076100,0,0,0,0,0
1420076400,0,0,0,0,0
1420076700,0,0,0,0,94.4
1420077000,0,0,0,0,144.6
1420077300,0,0,0,0,160.2
1420077600,0,0,0,0,218.2
1420077900,0,0,0,0,272.8
1420078200,0,0,68,0,229.8
1420078500,0,0,257.2,0,98.4
1420078800,0,0,146.4,0,111.4
1420079100,0,0,0,0,150.4
1420079400,0,0,0,0,176.6
1420079700,0,0,0,0,121.4
1420080000,0,0,0,0,109.2
1420080300,0,0,0,0,157.8
1420080600,0,0,0,0,206.2
1420080900,0,0,0,0,90
1420081200,0,0,0,0,0
1420081500,0,0,0,0,48.8
1420081800,0,0,0,0,114.8
1420082100,0,0,0,0,241.2
1420082400,0,0,129.4,0,270.2
1420082700,0,0,183.6,0,275.8
1420083000,0,0,203.8,0,232.6
1420083300,0,0,173.2,0,162.2
1420083600,0,0,0,0,24
1420083900,0,0,0,0,0
1420084200,0,0,0,0,115.2
1420084500,0,0,0,0,67.8
1420084800,0,0,0,0,0
1420085100,0,0,0,0,0
1420085400,0,0,0,0,119.2
1420085700,0,0,0,0,91.8
