"","x"
"1",2.89948695838395
"2",4.49279907351167
"3",5.10752987316292
"4",4.99107090541447
"5",4.3305610184764
"6",3.26787296808188
"7",1.91087125674131
"8",0.341868315248159
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0.0193818863256669
"57",3.10918821046663
"58",6.32100157384173
"59",9.65154923529052
"60",13.0973469286079
"61",16.654704138215
"62",20.3197297606115
"63",24.0883381416323
"64",27.956255478767
"65",31.9190265770933
"66",35.9720219466815
"67",40.1104452286563
"68",44.3293409364844
"69",48.6236024984296
"70",52.9879805865541
"71",57.4170917170782
"72",61.9054271064129
"73",66.4473617666676
"74",71.0371638239958
"75",75.6690040426948
"76",80.3369655376068
"77",85.0350536569862
"78",89.7572060176794
"79",94.4973026741772
"80",99.2491764028256
"81",104.006623082281
"82",108.763412151086
"83",113.513297123119
"84",118.250026141518
"85",122.967352551648
"86",127.659045473604
"87",132.318900354758
"88",136.940749482888
"89",141.518472440474
"90",146.046006480908
"91",150.517356807443
"92",154.926606735927
"93",159.267927722573
"94",163.535589238253
"95",167.723968471121
"96",171.827559839647
"97",175.840984298533
"98",179.758998420356
"99",183.576503236191
"100",187.288552818944
"101",190.890362593576
"102",194.377317358934
"103",197.744979006425
"104",200.989093921372
"105",204.105600053422
"106",207.090633643081
"107",209.940535592009
"108",212.651857465446
"109",215.221367115791
"110",217.646053917074
"111",219.9231336008
"112",222.050052684379
"113",224.024492484134
"114",225.844372705649
"115",227.507854605014
"116",229.013343715322
"117",230.359492133615
"118",231.545200364264
"119",232.569618715621
"120",233.432148247626
"121",234.132441268875
"122",234.670401382506
"123",235.04618308112
"124",235.260190891775
"125",235.313078072964
"126",235.205744866292
"127",234.939336306435
"128",234.515239593767
"129",233.935081034881
"130",233.200722557011
"131",232.314257803192
"132",231.278007815751
"133",200.046491359598
"134",198.718519635908
"135",197.249041042399
"136",195.641235128996
"137",193.898481406508
"138",192.024352761726
"139",190.022608534651
"140",187.897187271072
"141",185.652199164349
"142",183.291918200805
"143",180.820774023701
"144",178.243343531282
"145",205.612367181772
"146",202.836640280316
"147",199.969153618376
"148",197.014984344654
"149",193.979311438829
"150",190.867406064606
"151",187.68462177726
"152",184.436384604189
"153",181.128183017243
"154",177.765557815752
"155",174.354091939386
"156",170.899400230034
"157",167.407119162028
"158",163.882896560054
"159",160.332381324109
"160",156.761213180837
"161",153.175012480519
"162",149.579370058875
"163",145.979837182716
"164",142.381915598307
"165",138.79104770109
"166",135.212606845165
"167",131.651887810674
"168",128.114097446889
"169",124.604345508473
"170",121.127635702009
"171",117.688856959469
"172",114.292774954848
"173",110.94402387973
"174",107.647098493035
"175",104.406346459662
"176",101.225960992186
"177",98.1099738091938
"178",95.0622484231891
"179",92.0864737704113
"180",89.1861581942096
"181",86.3646237929518
"182",83.6250011427391
"183",80.9702244044753
"184",78.403026824092
"185",75.9259366339843
"186",73.5412733629307
"187",71.2511445609856
"188",69.0574429450409
"189",66.9618439699341
"190",64.9658038291707
"191",63.070557888499
"192",61.2771195547471
"193",59.5862795814921
"194",57.9986058122971
"195",56.5144433614098
"196",55.1339152309781
"197",53.856923363004
"198",52.683150123416
"199",51.6120602148229
"200",50.6429030136816
"201",49.774715326805
"202",49.006324561329
"203",48.3363523014701
"204",47.7632182846235
"205",47.2851447685905
"206",46.9001612809743
"207",46.6061097410543
"208",46.4006499437361
"209",46.2812653944833
"210",46.2452694834681
"211",46.2898119865271
"212",46.4118858798896
"213",46.6083344550434
"214",46.8758587195339
"215",47.2110250689447
"216",47.6102732147942
"217",48.0699243525942
"218",48.5861895538604
"219",49.1551783654385
"220",49.7729075991168
"221",50.4353102941348
"222",51.1382448348709
"223",51.8775042056983
"224",52.648825364737
"225",53.4478987180131
"226",54.2703776753389
"227",55.1118882690844
"228",55.9680388168866
"229",56.8344296092695
"230",57.706662603101
"231",58.5803511018065
"232",59.4511294032916
"233",60.3146623965879
"234",61.1666550883452
"235",62.0028620404278
"236",62.8190967000487
"237",63.6112406040881
"238",64.375252439487
"239",65.1071769418881
"240",65.8031536150106
"241",66.4594252535962
"242",67.0723462531395
"243",67.6383906900395
"244",68.1541601562436
"245",68.6163913329379
"246",69.0219632883414
"247",69.3679044851943
"248",69.6513994840953
"249",69.8697953294273
"250",70.0206076052293
"251",70.1015261490063
"252",70.1104204121325
"253",70.0453444561861
"254",69.9045415752571
"255",69.6864485349917
"256",69.3896994198787
"257",69.0131290810391
"258",68.5557761775529
"259",68.0168858051412
"260",67.3959117068198
"261",66.6925180609493
"262",65.9065808429189
"263",65.0381887575314
"264",64.0876437399809
"265",63.0554610241519
"266",61.9423687778032
"267",60.7493073050378
"268",59.4774278172965
"269",58.1280907749503
"270",56.7028638023903
"271",55.2035191803477
"272",53.6320309199873
"273",51.9905714241354
"274",50.2815077417929
"275",48.507397422882
"276",46.670983980944
"277",44.7751919722673
"278",42.8231217006701
"279",40.8180435578883
"280",38.7633920102249
"281",36.6627592428087
"282",34.519888473475
"283",32.33866694892
"284",30.1231186364064
"285",27.8773966248879
"286",25.605775249986
"287",23.3126419578006
"288",21.0024889230349
"289",18.67990443741
"290",16.3495640847872
"291",14.0162217198432
"292",11.684700267524
"293",9.35988236086759
"294",7.04670083510017
"295",4.75012909620257
"296",2.47517138239822
"297",0.226852937224653
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0.0193842291693791
"345",3.10918997078428
"346",6.32100289647294
"347",9.65155022906146
"348",13.0973476752874
"349",16.6547046992396
"350",20.3197301821427
"351",24.0883384583536
"352",27.9562557167381
"353",31.9190267558955
"354",35.9720220810262
"355",40.1104453295975
"356",44.3293410123269
"357",48.623602555415
"358",52.9879806293706
"359",57.4170917492488
"360",61.9054271305845
"361",66.4473617848293
"362",71.0371638376417
"363",75.6690040529477
"364",80.3369655453105
"365",85.0350536627738
"366",89.7572060220284
"367",94.4973026774449
"368",99.2491764052808
"369",104.006623084125
"370",108.763412152472
"371",113.513297124161
"372",118.250026142301
"373",122.967352552236
"374",127.659045474045
"375",132.31890035509
"376",136.940749483137
"377",141.518472440661
"378",146.046006481049
"379",150.517356807548
"380",154.926606736007
"381",159.267927722632
"382",163.535589238298
"383",167.723968471154
"384",171.827559839672
"385",175.840984298552
"386",179.75899842037
"387",183.576503236201
"388",187.288552818952
"389",190.890362593582
"390",194.377317358938
"391",197.744979006429
"392",200.989093921374
"393",204.105600053424
"394",207.090633643083
"395",209.94053559201
"396",212.651857465447
"397",215.221367115791
"398",217.646053917075
"399",219.9231336008
"400",222.050052684379
"401",224.024492484134
"402",225.844372705649
"403",227.507854605014
"404",229.013343715322
"405",230.359492133615
"406",231.545200364264
"407",232.569618715621
"408",233.432148247626
"409",234.132441268875
"410",234.670401382506
"411",235.04618308112
"412",235.260190891775
"413",235.313078072964
"414",235.205744866292
"415",234.939336306435
"416",234.515239593767
"417",233.935081034881
"418",233.200722557011
"419",232.314257803192
"420",231.278007815751
"421",200.046491359598
"422",198.718519635908
"423",197.249041042399
"424",195.641235128996
"425",193.898481406508
"426",192.024352761726
"427",190.022608534651
"428",187.897187271072
"429",185.652199164349
"430",183.291918200805
"431",180.820774023701
"432",178.243343531282
"433",205.612367181772
"434",202.836640280316
"435",199.969153618376
"436",197.014984344654
"437",193.979311438829
"438",190.867406064606
"439",187.68462177726
"440",184.436384604189
"441",181.128183017243
"442",177.765557815752
"443",174.354091939386
"444",170.899400230034
"445",167.407119162028
"446",163.882896560055
"447",160.332381324109
"448",156.761213180837
"449",153.175012480519
"450",149.579370058875
"451",145.979837182716
"452",142.381915598307
"453",138.79104770109
"454",135.212606845165
"455",131.651887810674
"456",128.114097446889
"457",124.604345508473
"458",121.127635702009
"459",117.688856959469
"460",114.292774954848
"461",110.94402387973
"462",107.647098493035
"463",104.406346459662
"464",101.225960992186
"465",98.1099738091938
"466",95.0622484231891
"467",92.0864737704113
"468",89.1861581942096
"469",86.3646237929518
"470",83.6250011427391
"471",80.9702244044753
"472",78.403026824092
"473",75.9259366339846
"474",73.5412733629307
"475",71.2511445609856
"476",69.0574429450409
"477",66.9618439699341
"478",64.9658038291707
"479",63.070557888499
"480",61.2771195547471
"481",59.5862795814921
"482",57.9986058122973
"483",56.5144433614098
"484",55.1339152309781
"485",53.856923363004
"486",52.683150123416
"487",51.6120602148229
"488",50.6429030136816
"489",49.774715326805
"490",49.006324561329
"491",48.3363523014701
"492",47.7632182846235
"493",47.2851447685905
"494",46.9001612809743
"495",46.6061097410543
"496",46.4006499437361
"497",46.2812653944833
"498",46.2452694834681
"499",46.2898119865271
"500",46.4118858798895
"501",46.6083344550434
"502",46.8758587195339
"503",47.2110250689447
"504",47.6102732147942
"505",48.0699243525942
"506",48.5861895538604
"507",49.1551783654385
"508",49.7729075991168
"509",50.4353102941347
"510",51.1382448348709
"511",51.8775042056983
"512",52.648825364737
"513",53.4478987180131
"514",54.2703776753389
"515",55.1118882690844
"516",55.9680388168866
"517",56.8344296092695
"518",57.7066626031008
"519",58.5803511018065
"520",59.4511294032916
"521",60.3146623965879
"522",61.1666550883452
"523",62.0028620404278
"524",62.8190967000487
"525",63.6112406040881
"526",64.375252439487
"527",65.107176941888
"528",65.8031536150106
"529",66.4594252535962
"530",67.0723462531395
"531",67.6383906900395
"532",68.1541601562436
"533",68.6163913329379
"534",69.0219632883414
"535",69.3679044851943
"536",69.6513994840952
"537",69.8697953294273
"538",70.0206076052293
"539",70.1015261490063
"540",70.1104204121325
"541",70.0453444561861
"542",69.9045415752571
"543",69.6864485349917
"544",69.3896994198787
"545",69.0131290810392
"546",68.5557761775529
"547",68.0168858051412
"548",67.3959117068198
"549",66.6925180609493
"550",65.9065808429189
"551",65.0381887575314
"552",64.0876437399809
"553",63.0554610241519
"554",61.9423687778034
"555",60.7493073050378
"556",59.4774278172965
"557",58.1280907749503
"558",56.7028638023903
"559",55.2035191803477
"560",53.6320309199873
"561",51.9905714241354
"562",50.2815077417929
"563",48.5073974228822
"564",46.670983980944
"565",44.7751919722673
"566",42.8231217006701
"567",40.8180435578883
"568",38.7633920102249
"569",36.6627592428087
"570",34.519888473475
"571",32.33866694892
"572",30.1231186364067
"573",27.8773966248879
"574",25.605775249986
"575",23.3126419578006
"576",21.0024889230349
"577",5.03651696087275
"578",8.38123855088202
"579",10.4535089713413
"580",11.5683947921219
"581",11.9628516130296
"582",11.8153293724712
"583",11.2604611032345
"584",10.4000676066114
"585",9.31140155350268
"586",8.0533230119325
"587",6.67092492790191
"588",5.1989971015965
"589",3.66461980181761
"590",2.08910517922946
"591",0.489449952607338
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",2.52067605509219
"639",5.19340198173352
"640",7.98015330311735
"641",10.8787858941019
"642",13.886961709588
"643",17.0021517222255
"644",20.2216392152067
"645",23.542523424626
"646",26.9617235252253
"647",30.4759829526799
"648",34.0818740549502
"649",37.7758030645849
"650",41.554015383262
"651",45.4126011692451
"652",49.3475012178757
"653",53.3545131246468
"654",57.429297719874
"655",61.5673857634656
"656",65.7641848877844
"657",70.0149867761435
"658",74.3149745640048
"659",78.6592304495443
"660",83.0427434998291
"661",87.4604176384979
"662",91.9070798004713
"663",96.3774882389061
"664",100.866340969318
"665",105.368284335521
"666",109.877921681812
"667",114.389822115614
"668",118.898529344614
"669",123.398570572286
"670",127.884465435583
"671",132.350734968486
"672",136.791910575039
"673",141.202542995496
"674",145.577211249185
"675",149.910531537761
"676",154.197166092559
"677",158.431831949889
"678",162.609309638211
"679",166.724451761318
"680",170.772191461825
"681",174.747550749493
"682",178.645648679161
"683",182.461709363328
"684",186.191069804757
"685",189.829187534772
"686",193.371648043316
"687",196.814171987187
"688",200.152622163318
"689",203.383010234366
"690",206.50150319437
"691",209.504429562702
"692",212.388285295041
"693",215.149739400632
"694",217.785639255647
"695",220.293015603009
"696",222.669087229649
"697",224.911265312756
"698",227.017157427184
"699",228.984571206848
"700",230.811517653547
"701",232.496214087333
"702",234.037086733207
"703",235.432772939603
"704",236.682123024808
"705",237.784201748152
"706",238.738289403519
"707",239.543882533415
"708",240.200694262558
"709",263.303479425808
"710",263.662733439777
"711",263.873642546827
"712",263.936781929722
"713",263.852939327076
"714",263.623113101721
"715",263.248509941061
"716",262.73054219398
"717",262.070824849534
"718",261.271172163359
"719",260.33359393834
"720",259.26029146676
"721",235.458827966573
"722",234.121424571331
"723",232.656004255134
"724",231.065487205787
"725",229.352960028684
"726",227.521669843213
"727",225.575018107759
"728",223.516554185058
"729",221.349968660123
"730",219.079086423435
"731",216.707859532513
"732",214.240359865376
"733",211.680771579807
"734",209.033383392671
"735",206.302580693859
"736",203.492837509749
"737",200.608708331332
"738",197.654819822381
"739",194.635862423291
"740",191.55658186635
"741",188.42177061841
"742",185.236259266987
"743",182.00490786598
"744",178.732597257197
"745",175.424220383951
"746",172.084673612973
"747",168.718848080845
"748",165.331621081126
"749",161.927847508223
"750",158.512351373949
"751",155.089917412562
"752",151.665282789877
"753",148.243128931863
"754",144.828073487859
"755",141.424662443304
"756",138.037362396557
"757",134.670553014071
"758",131.328519677823
"759",128.015446338536
"760",124.735408587802
"761",121.492366961813
"762",118.290160488934
"763",115.132500492894
"764",112.022964662839
"765",108.964991401029
"766",105.96187445835
"767",103.016757867324
