"","x"
"1",2.24591837351619
"2",3.48973096094163
"3",3.97932961190939
"4",3.90319408280744
"5",3.4048586294602
"6",2.59385526848579
"7",1.55399135846825
"8",0.349610383002132
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",2.19924207696097
"56",4.65020431155139
"57",7.19889341450028
"58",9.8428752311453
"59",12.5795526617299
"60",15.4061694490276
"61",18.3198142599138
"62",21.3174250538566
"63",24.3957937307225
"64",27.5515710497147
"65",30.7812718107323
"66",34.0812802889204
"67",37.4478559126775
"68",40.8771391749303
"69",44.3651577670205
"70",47.907832924128
"71",51.5009859707407
"72",55.1403450543124
"73",58.8215520548712
"74",62.5401696580228
"75",66.2916885784614
"76",70.0715349208353
"77",73.8750776645326
"78",77.697636258725
"79",81.5344883137978
"80",85.3808773750979
"81",89.2320207647927
"82",93.0831174774803
"83",96.9293561151054
"84",100.765922846639
"85",104.588009377956
"86",108.390820917291
"87",112.16958412169
"88",115.919555009888
"89",119.636026827098
"90",123.314337847315
"91",125.983206681876
"92",129.886515844277
"93",133.105559148218
"94",137.370435247182
"95",140.436802814774
"96",143.84526927757
"97",147.090772388366
"98",149.689002274632
"99",153.261942615105
"100",156.565326386216
"101",159.610765753895
"102",162.300639189664
"103",165.044503856989
"104",167.830667343962
"105",170.457154227801
"106",172.969925721767
"107",175.109953916506
"108",178.034729104335
"109",180.328445923861
"110",177.282356343199
"111",171.838667462147
"112",173.728646206592
"113",184.737750891104
"114",188.841598399957
"115",190.140211155672
"116",191.78930202053
"117",181.263875016989
"118",182.470588345968
"119",183.546350159667
"120",191.651973229093
"121",195.018811320788
"122",197.960043403033
"123",197.921380666663
"124",198.824051331179
"125",199.069343250038
"126",199.190916011963
"127",199.189567160737
"128",199.066276607088
"129",198.822204298213
"130",198.458687569378
"131",197.977238182853
"132",197.379539060016
"133",196.667440713017
"134",195.842957382997
"135",194.908262892346
"136",193.865686219061
"137",192.717706801759
"138",191.466949584413
"139",190.116179810347
"140",188.668297575505
"141",187.126332151451
"142",185.394780438826
"143",183.772879113587
"144",181.847207772487
"145",180.082409209794
"146",178.119563988004
"147",172.151484463708
"148",172.988163388666
"149",171.804901672903
"150",169.570746267013
"151",167.27851438579
"152",164.932227328456
"153",162.535953805622
"154",160.093802383495
"155",157.60991387853
"156",155.088453716916
"157",152.359236147464
"158",149.170254044349
"159",146.766926422562
"160",144.484264622381
"161",141.891286748411
"162",139.215458848387
"163",136.737752396975
"164",134.066103034442
"165",131.394218761354
"166",128.726093438836
"167",126.065663281344
"168",123.416799907729
"169",120.699178566038
"170",118.16889635569
"171",115.577216026521
"172",112.926154903551
"173",110.113624363693
"174",107.479471502729
"175",105.130179366538
"176",103.080344420925
"177",100.695916983683
"178",97.9943094900082
"179",95.5839747695625
"180",93.7313791870962
"181",91.6382884888759
"182",89.4110530657429
"183",86.9509194924124
"184",85.0300621138762
"185",83.3001125075436
"186",81.5769745626023
"187",79.3758404311447
"188",77.5363299860696
"189",76.2180203981383
"190",74.6840140958519
"191",73.1325677541951
"192",71.6516475313304
"193",70.2418717876465
"194",68.1152145902922
"195",66.8726355706646
"196",65.6118308789301
"197",64.4650715280864
"198",64.0019172500956
"199",63.0970322993414
"200",62.2232975565712
"201",61.1567304195195
"202",60.5404469428613
"203",58.8316928069921
"204",59.0165487193721
"205",58.3925733588861
"206",57.8952073740041
"207",57.9366501675939
"208",57.5592608847829
"209",56.9378983571299
"210",56.4767294352747
"211",54.675518638803
"212",56.0610886690965
"213",54.7508355560361
"214",55.4136183723662
"215",55.3182605019414
"216",56.511027786364
"217",56.5917137170605
"218",56.4470250283348
"219",56.4274904689018
"220",56.8759251322469
"221",57.0491079273629
"222",57.1375524843855
"223",57.3202552462313
"224",57.6691058715889
"225",58.3798555579079
"226",58.7014426567462
"227",58.0586858090582
"228",58.9385424515231
"229",58.6015118332681
"230",59.1751094038899
"231",60.4191262951709
"232",60.7626679367935
"233",61.0989621984171
"234",61.4249561354773
"235",61.7376362976217
"236",62.0340356038753
"237",62.2263503740569
"238",62.374437828416
"239",62.7187078445972
"240",62.8977671111397
"241",62.668841057022
"242",62.9203387062059
"243",63.3393025218226
"244",63.483625152269
"245",63.1544991582009
"246",63.0518323484741
"247",63.3494817457785
"248",63.3327562993466
"249",63.0013846359544
"250",62.5418264276294
"251",62.4634060156315
"252",62.4205666445776
"253",62.0617714992708
"254",61.0264479156331
"255",60.7429704982734
"256",60.652982096914
"257",60.0697933563176
"258",59.2544197127368
"259",58.3005449210727
"260",57.7991098342396
"261",57.1558141199445
"262",56.2812643033842
"263",54.9164449757083
"264",53.9259492760715
"265",53.3103351042127
"266",52.2061246903102
"267",50.7877930046739
"268",49.4096919595969
"269",48.3926774939363
"270",47.2440399316946
"271",45.7886004585108
"272",44.4539689229159
"273",42.9872529713022
"274",41.4752615965676
"275",39.9200531727132
"276",38.3238216722618
"277",36.688892854697
"278",35.0177201784827
"279",33.3128804442809
"280",31.5770691775135
"281",29.8130957589192
"282",28.0238783122533
"283",26.2124383587458
"284",24.3818952483968
"285",22.5354603786216
"286",20.6764312111745
"287",18.8081850986826
"288",16.9341729324872
"289",15.0493245410093
"290",13.1696381798762
"291",11.2977977351799
"292",9.43676086577204
"293",7.58969662646183
"294",5.75993646205874
