"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",267.2
"39",163.6
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",82.8
"54",56.2
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",252.8
"92",170.4
"93",253.4
"94",48.2
"95",140.6
"96",126.6
"97",137.2
"98",298
"99",183.8
"100",119
"101",99.6
"102",150.2
"103",162.8
"104",139.6
"105",132.6
"106",129
"107",195.8
"108",29.6
"109",0
"110",1337.8
"111",3273
"112",3260.2
"113",832
"114",178.6
"115",227.4
"116",152.8
"117",3230
"118",3206.8
"119",3185.4
"120",1293
"121",607.2
"122",0
"123",139.4
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",25.8
"143",0
"144",31.5999999999999
"145",0
"146",0
"147",1028.2
"148",258.6
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",45.6
"158",203.8
"159",150
"160",59.2
"161",45.2
"162",49.6
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",22
"170",0
"171",0
"172",22.4
"173",94.8
"174",129.2
"175",98.6
"176",0
"177",0
"178",94.8
"179",126
"180",24.6
"181",0
"182",25
"183",126
"184",101.6
"185",43.4
"186",0
"187",98.6
"188",120
"189",22.8
"190",0
"191",0
"192",0
"193",0
"194",206.2
"195",200
"196",217.4
"197",223.8
"198",70.2
"199",50.8
"200",41.8
