"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0.0157118205707772
"13",1.1144657677532
"14",2.25225191662718
"15",3.41602726340385
"16",4.59385192285547
"17",5.77465191792348
"18",6.94806052989795
"19",8.10431573285424
"20",9.23419750097374
"21",10.3289932837455
"22",11.3804831862582
"23",12.3809387252867
"24",13.3231307121989
"25",14.2003430246246
"26",15.0063899023948
"27",15.7356350344312
"28",16.3830111603371
"29",16.944039242433
"30",17.4148465061716
"31",17.7921828246072
"32",18.0734350540636
"33",18.2566390264201
"34",18.3404889779122
"35",18.3243442517279
"36",18.2082331568094
"37",17.9928539015927
"38",17.6795725513834
"39",17.2704179834527
"40",16.7680738359648
"41",16.1758674664129
"42",15.497755952952
"43",14.7383091883006
"44",13.9026901310326
"45",12.9966322932938
"46",12.0264145573723
"47",10.998833426209
"48",9.92117282490147
"49",8.8011715815388
"50",7.64698872630667
"51",6.46716675773602
"52",5.27059303417368
"53",4.066459457048
"54",2.86422062025059
"55",1.67355060691625
"56",0.504298621053912
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1.08484687664905
"80",3.04140913599276
"81",5.19257720391352
"82",7.53806418055726
"83",10.0768285579894
"84",12.8070716168034
"85",15.7262380267956
"86",18.831019657808
"87",22.1173625931167
"88",25.5804773240188
"89",29.2148520906479
"90",33.0142693205314
"91",36.9718251031023
"92",41.0799516253254
"93",45.3304424808294
"94",49.7144807525695
"95",54.222669757054
"96",58.8450663266642
"97",0
"98",0
"99",3.19391981052001
"100",8.16408063137989
"101",13.1918606687761
"102",18.2648607081836
"103",23.370426564675
"104",28.4956970348347
"105",33.6276528571332
"106",38.7531664774942
"107",43.8590524131161
"108",48.932118004771
"109",53.9592143459092
"110",58.9272871758673
"111",63.8234275243489
"112",68.6349218951487
"113",73.349301778768
"114",77.9543922861496
"115",82.4383596992237
"116",86.7897577383067
"117",90.9975723515554
"118",95.0512648377159
"119",98.940813120227
"120",102.656750998317
"121",106.190205209104
"122",109.532930143733
