"","x"
"1",-5.50244247212149
"2",-9.56323975138863
"3",-12.5530846493348
"4",-14.7373703773064
"5",-16.3064949439032
"6",-17.3974854528152
"7",-18.109426321975
"8",-18.5144644140671
"9",-18.6656565752008
"10",-18.6025628595244
"11",-18.3552301874184
"12",-17.9470266622395
"13",-17.3966550703391
"14",-16.7195800905049
"15",-15.9290366496778
"16",-15.0367389786928
"17",-14.0533757468674
"18",-12.9889522633068
"19",-11.8530233248736
"20",-10.6548478667792
"21",-9.4034877047987
"22",-8.1078663297468
"23",-6.77679919816944
"24",-5.41900373940903
"25",-4.04309499792577
"26",-2.65757118673133
"27",-1.27079225437661
"28",0.109046270558171
"29",1.47394249314454
"30",2.81611918897808
"31",4.12805573729881
"32",5.40252024505279
"33",6.63260131673343
"34",7.81173904131731
"35",8.93375485305258
"36",9.99287998632859
"37",10.9837822928049
"38",11.9015912259759
"39",12.7419208276545
"40",13.5008905748158
"41",14.1751439654544
"42",14.7618647397564
"43",15.2587906487794
"44",15.6642246975212
"45",15.9770438031507
"46",16.196704822513
"47",16.3232479160023
"48",16.3572972275998
"49",16.3000588733958
"50",16.1533162432508
"51",15.919422632436
"52",15.6012912320972
"53",15.2023825191984
"54",14.72668909819
"55",14.1787180579757
"56",13.5634709187792
"57",12.8864212542142
"58",12.1534900841731
"59",11.3710191440489
"60",10.5457421452494
"61",9.68475415090174
"62",8.79547919905387
"63",7.88563631352198
"64",6.96320404976261
"65",6.03638372974563
"66",5.11356152574783
"67",4.2032695582288
"68",3.31414617748137
"69",2.45489560256522
"70",1.63424709407397
"71",0.860913839584084
"72",0.143551732159032
"73",-0.509281776983069
"74",-1.08916857057253
"75",-1.58787032191379
"76",-1.99736833739525
"77",-2.30990260863039
"78",-2.51800990110441
"79",-2.61456071011251
"80",-2.59279491939469
"81",-2.44635600321646
"82",-2.16932361868641
"83",-1.75624444180581
"84",-1.20216110808618
"85",-0.502639126521307
"86",0.346208355764844
"87",1.34769805182397
"88",2.50455640019428
"89",3.81890189125776
"90",5.29222993824254
"91",6.92540036566
"92",8.71862757683422
"93",10.6714734507656
"94",12.7828430069376
"95",15.0509828648438
"96",17.4734825130778
"97",20.0472783907857
"98",22.7686607722477
"99",25.6332834333124
"100",28.6361760664668
"101",31.7717593995055
"102",35.0338629611106
"103",38.4157454252549
"104",41.9101174551983
"105",45.509166957039
"106",49.2045866423446
"107",52.9876037893801
"108",56.8490120828746
"109",60.7792054032237
"110",64.7682134275122
"111",68.8057388967881
"112",72.8811963967114
"113",76.9837524920086
"114",81.1023670491556
"115",85.2258355763975
"116",89.34283240564
"117",93.4419545368771
"118",97.5117659627484
"119",102.430097831415
"120",106.46168669879
"121",109.431418420529
"122",113.270529486087
"123",117.519025150621
"124",121.896394795408
"125",125.383924018271
"126",128.803343794068
"127",132.082351645442
"128",135.256405154869
"129",138.156936491439
"130",141.056506933255
"131",143.795923339369
"132",146.309887887325
"133",148.623293595023
"134",150.833513593423
"135",152.909702138476
"136",154.840326575267
"137",157.486499576225
"138",162.248701082056
"139",159.055074864543
"140",161.184781169774
"141",160.858444252777
"142",161.297104912061
"143",161.614682680236
"144",161.700712973458
"145",161.593898150947
"146",161.356066118042
"147",161.280355403237
"148",160.622439597598
"149",159.770203728081
"150",158.767703528179
"151",157.612965075651
"152",156.206614791681
"153",154.608595430809
"154",152.947579824101
"155",151.026028159996
"156",149.061436221937
"157",146.917014119542
"158",144.670214193229
"159",141.115196732294
"160",138.609117051586
"161",136.00472080943
"162",133.312708756234
"163",130.544027836104
"164",127.709827325298
"165",124.8214141801
"166",121.890207778596
"167",118.927694243392
"168",115.945380534055
"169",112.954748499045
"170",109.967209077022
"171",106.994056836823
"172",104.046425043918
"173",101.135241438973
"174",98.2711849110954
"175",95.4646432445908
"176",92.7256721135042
"177",90.0639554929762
"178",87.4887676504521
"179",85.0089368731185
"180",82.6328110806367
"181",80.368225464282
"182",78.2224722850608
"183",76.2022729542897
"184",74.3137525104972
"185",72.5624165964222
"186",70.9531310293608
"187",69.4901040471954
"188",68.1768713011809
"189",67.0162836550157
"190",66.0104978379208
"191",65.1609699874548
"192",64.4684521056575
"193",63.9329914398709
"194",63.553932787317
"195",63.3299237102423
"196",63.2589226362346
"197",63.3382098062262
"198",63.564401020774
"199",63.9334641234937
"200",64.4407381490857
"201",65.0809550522535
"202",65.848263923046
"203",66.7362575837986
"204",67.7380014529195
"205",68.8460645513594
"206",70.0525525187072
"207",71.3491424975287
"208",72.7271197368561
"209",74.1774157586544
"210",75.690647924673
"211",77.2571602353734
"212",78.8670651876289
"213",80.5102865136109
"214",82.1766026197849
"215",83.8556905421966
"216",85.5371702322628
"217",87.2106489861288
"218",88.8657658302771
"219",90.4922356764879
"220",92.0798930604753
"221",93.618735280527
"222",95.0989647552452
"223",96.5110304230457
"224",97.8456680103636
"225",99.0939390005402
"226",100.247268141106
"227",101.297479333602
"228",102.236829757154
"229",103.058042084716
"230",103.754334659221
"231",104.319449505701
"232",104.74767806483
"233",105.033884543207
"234",105.17352678596
"235",105.162674587956
"236",104.998025370915
"237",104.676917165063
"238",104.197338845522
"239",103.557937585436
"240",102.758023499718
"241",101.797571465382
"242",100.677220116446
"243",99.3982680234937
"244",97.9626670799883
"245",96.3730131293252
"246",94.6325338783779
"247",92.7450741548146
"248",90.7150785767512
"249",88.5475717142842
"250",86.2481358330679
"251",83.8228863203239
"252",81.2784449034606
"253",78.6219107807811
"254",75.8608297925282
"255",73.0031617687496
"256",70.0572461980795
"257",67.0317663685295
"258",63.9357121377355
"259",60.7783414957522
"260",57.56914108844
"261",54.3177858737202
"262",51.0340980864432
"263",47.7280056903306
"264",44.4095004974108
"265",41.0885961365214
"266",37.7752860528389
"267",34.4795017200037
"268",31.2110712452184
"269",27.979678545731
"270",24.7948232724062
"271",21.6657816525878
"272",18.6015684202335
"273",15.6108999963732
"274",12.7021590772806
"275",9.88336078143314
"276",7.16212049937846
"277",4.54562358303002
"278",2.04059700274867
"279",-0.346716908139568
"280",-2.61058451097605
"281",-4.74580262083263
"282",-6.74771787640349
"283",-8.61224364064451
"284",-10.335874362918
"285",-11.9156973445442
"286",-13.3494018610416
"287",-14.6352856059205
"288",-15.7722584326104
"289",-16.7855288289458
"290",-17.6428162829011
"291",-18.3465928547275
"292",-18.8994391199866
"293",-19.3041759260018
"294",-19.5639530349826
"295",-19.6823063076343
"296",-19.6631917730225
"297",-19.5110025722179
"298",-19.2305730827844
"299",-18.8271733343346
"300",-18.3064959735757
"301",-17.6746374315422
"302",-16.9380745154582
"303",-16.1036373424941
"304",-15.1784793165315
"305",-14.1700446962849
"306",-13.086034195385
"307",-11.9343689791844
"308",-10.7231533697695
"309",-9.46063653327886
"310",-8.15517339733452
"311",-6.8151850277991
"312",-5.44911868077965
"313",-4.06540773599273
"314",-2.67243171012391
"315",-1.27847654274845
"316",0.108304657917475
"317",1.47993022710849
"318",2.82862773601492
"319",4.14687079237168
"320",5.4274146822226
"321",6.66333069178224
"322",7.84803895466547
"323",8.97533967660434
"324",10.0394425971553
"325",11.0349945558324
"326",11.9571050385517
"327",12.8013695892122
"328",13.5638909806785
"329",14.2412980492946
"330",14.8307621073295
"331",15.3300108584043
"332",15.7373397519116
"333",16.0516207236783
"334",16.2723082815964
"335",16.3994429066023
"336",16.4336517511673
"337",16.3761466293335
"338",16.2287193042264
"339",15.993734090854
"340",15.6741178038119
"341",15.2733470911921
"342",14.7954332075126
"343",14.2449042897674
"344",13.6267852117142
"345",12.9465751022183
"346",12.2102226238005
"347",11.4240991174519
"348",10.5949697292596
"349",9.72996264334814
"350",8.83653655408085
"351",7.92244651834332
"352",6.99570833598461
"353",6.06456161311919
