"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.681260501518711
"27",1.50731932939364
"28",2.30072940629426
"29",3.05638269015295
"30",3.76955572711396
"31",4.4359316910356
"32",5.05162130360085
"33",5.61318228318384
"34",6.1176370521224
"35",6.56248849256437
"36",6.94573358689962
"37",7.26587481438256
"38",7.52192920397569
"39",7.71343496687243
"40",7.8404556521027
"41",7.90358178612527
"42",7.90392997309302
"43",7.84313944703723
"44",7.72336608088143
"45",7.5472738701874
"46",7.31802392199422
"47",7.03926099111584
"48",6.71509761786612
"49",6.35009593239299
"50",5.94924720162243
"51",5.51794920524269
"52",5.06198153714735
"53",4.58747893830478
"54",4.10090277608849
"55",3.60901079364881
"56",3.1188252609129
"57",2.63759966623357
"58",2.17278409453119
"59",1.7319894439544
"60",1.32295063863027
"61",0.953488999905004
"62",0.631473942624383
"63",0.364784166422898
"64",0.161268514664143
"65",0.0287066756028223
"66",0
"67",0.00698192193331496
"68",0.132680226787696
"69",0.358977894064054
"70",0.692726134771495
"71",1.14047772529568
"72",1.70845149385535
"73",2.4024980236377
"74",3.22806673034698
"75",4.19017446636829
"76",5.29337579754136
"77",6.54173509167615
"78",7.93880055048906
"79",9.48758030856558
"80",11.1905207143632
"81",13.0494868991421
"82",15.0657457301139
"83",17.2399512340678
"84",19.5721325673071
"85",22.0616845969617
"86",24.7073611476565
"87",27.5072709561967
"88",30.4588763653781
"89",33.5589947763534
"90",36.8038028671676
"91",40.188843573221
"92",43.7090358135576
"93",47.3586869350404
"94",51.1315078347705
"95",55.0206307095051
"96",59.0186293694626
"97",0
"98",0
"99",0
"100",3.65059310917775
"101",8.06376262259245
"102",12.5309645278086
"103",17.0416299775176
"104",21.584875531847
"105",26.1495420130982
"106",30.7242347489517
"107",35.2973650422543
"108",39.8571926998369
"109",44.3918694478906
"110",48.8894830572056
"111",53.3381019980867
"112",57.7258204420575
"113",62.040803425501
"114",66.2713319892099
"115",70.4058481074328
"116",74.4329992204094
"117",78.3416821855504
