"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",825
"95",329.4
"96",0
"97",205.6
"98",0
"99",0
"100",0
"101",0
"102",0
"103",75.8
"104",119.4
"105",110.4
"106",0
"107",0
"108",40
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",503
"127",267.4
"128",0
"129",337.8
"130",0
"131",96
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",255
"144",683.4
"145",446.6
"146",1235.8
"147",222.2
"148",210
"149",204.8
"150",201
"151",199.2
"152",203.4
"153",210
"154",208.6
"155",207.6
"156",198.6
"157",178.4
"158",197.8
"159",201.8
"160",192.8
"161",181.6
"162",184.6
"163",183.6
"164",182.4
"165",179.2
"166",187.8
"167",210.8
"168",220.8
"169",236.4
"170",250
"171",245.6
"172",246.4
"173",256.6
"174",244.4
"175",242.4
"176",242
"177",222.4
"178",214
"179",252.2
"180",255
"181",242.2
"182",236.6
"183",225.4
"184",241.4
"185",239.2
"186",238.4
"187",238.6
"188",239.6
"189",226.6
"190",282.4
"191",204.8
"192",213
"193",218.4
"194",277
"195",198.2
"196",258.2
"197",290.4
"198",292.6
"199",294.6
"200",291
"201",267.8
