"","x"
"1",109.122534244193
"2",110.016828632514
"3",110.057257069819
"4",109.589953763792
"5",108.823853434511
"6",107.885417070861
"7",106.851527826542
"8",105.769264239306
"9",104.66778496022
"10",103.565471443486
"11",102.474220038153
"12",101.40202049442
"13",100.354504384565
"14",99.3358743166102
"15",98.3494609366045
"16",97.3980562000964
"17",96.4841121725414
"18",95.609859018634
"19",94.7773744403216
"20",93.9886239587943
"21",93.2454837024234
"22",92.5497527138058
"23",91.9031589944402
"24",91.3073618255484
"25",90.7639518935667
"26",90.2744501416133
"27",89.8403059031358
"28",89.4628946543789
"29",89.1435155902297
"30",88.8833891485067
"31",88.6836545598668
"32",88.5453674716136
"33",88.4694976762159
"34",88.4569269647229
"35",88.5084471187698
"36",88.6247580508401
"37",88.8064660999115
"38",89.0540824879631
"39",89.368021941702
"40",89.748601483069
"41",90.1960393914726
"42",90.7104543402005
"43",91.2918647090291
"44",91.9401880746536
"45",92.655240880195
"46",93.4367382846801
"47",94.2842941930374
"48",95.1974214668126
"49",96.1755323154549
"50",97.2179388676931
"51",98.3238539221743
"52",99.4923918762062
"53",100.722569831105
"54",102.013308872322
"55",103.363435522199
"56",104.77168336286
"57",106.236694826461
"58",107.757023149665
"59",109.331134488932
"60",110.957410192905
"61",112.634149227865
"62",114.359570751956
"63",116.131816833591
"64",117.948955309198
"65",119.808982775163
"66",121.709827708632
"67",123.649353711534
"68",125.625362872
"69",127.635599237113
"70",129.677752390706
"71",131.749461129751
"72",133.848317232676
"73",135.971869312789
"74",138.117626749816
"75",140.283063692423
"76",142.465623124449
"77",144.662720987469
"78",146.871750352195
"79",149.090085631116
"80",151.315086824739
"81",153.544103793678
"82",155.774480548847
"83",158.00355955192
"84",160.228686018254
"85",162.447212214433
"86",164.656501742614
"87",166.85393380388
"88",169.036907432846
"89",171.20284569581
"90",173.349199844819
"91",175.473453420109
"92",177.573126293448
"93",179.645778645056
"94",181.689014866882
"95",183.700487385156
"96",185.677900395296
"97",187.619013502407
"98",189.521645260791
"99",191.383676606071
"100",193.203054173752
"101",194.977793498217
"102",196.705982086437
"103",198.385782360854
"104",200.01543446618
"105",201.593258935098
"106",203.117659208108
"107",204.587124003053
"108",206.000229530124
"109",140.87651947856
"110",142.172995190804
"111",143.409384972369
"112",144.584633932367
"113",145.697783303573
"114",146.747971659052
"115",147.734435953419
"116",148.656512387052
"117",149.513637091876
"118",150.305346637699
"119",151.031278358395
"120",151.691170497592
"121",152.284862173835
"122",152.812293165544
"123",153.273503516438
"124",153.668632962399
"125",153.997920181123
"126",154.261701866198
"127",154.460411627611
"128",154.594578720993
"129",154.664826608216
"130",154.671871352316
"131",154.616519849976
"132",154.499667905126
"133",220.801420217425
"134",220.564599870362
"135",220.269478371882
"136",219.917284854259
"137",219.509325486646
"138",219.046980686128
"139",218.531702202622
"140",217.965010083312
"141",217.348489522533
"142",216.683787603213
"143",215.972609936195
"144",215.216717203947
"145",214.41792161533
"146",213.578083278278
"147",212.699106497361
"148",211.782936003378
"149",210.831553122206
"150",209.84697189027
"151",208.831235124086
"152",207.786410451387
"153",206.714586311452
"154",205.617867932256
"155",204.498373292136
"156",203.358229073673
"157",202.199566617495
"158",201.024517883707
"159",199.835211428622
"160",198.633768404437
"161",197.422298589445
"162",196.202896456312
"163",194.977637285846
"164",193.748573333632
"165",192.517730056754
"166",191.287102407737
"167",190.058651202681
"168",188.834299570431
"169",187.615929489452
"170",186.405378418906
"171",185.204436030243
"172",184.014841045421
"173",182.838278187656
"174",181.676375250377
"175",180.530700289841
"176",179.402758946614
"177",178.293991900864
"178",177.205772466162
"179",176.139404326209
"180",175.096119418637
"181",174.077075969724
"182",173.083356683602
"183",172.115967089199
"184",171.175834047882
"185",170.263804424431
"186",169.380643923677
"187",168.52703609479
"188",167.703581504912
"189",166.910797083459
"190",166.149115638135
"191",165.418885543315
"192",164.720370601164
"193",164.053750075501
"194",163.419118898088
"195",162.816488046689
"196",162.245785093919
"197",161.706854925564
"198",161.199460626725
"199",160.723284533824
"200",160.27792945018
"201",159.862920022547
"202",159.47770427571
