"","x"
"1",102.559141793472
"2",99.6747301114648
"3",97.6718213431255
"4",96.7901947649282
"5",96.4634981288306
"6",95.4397229748913
"7",94.8720574251577
"8",94.5040838920837
"9",94.6029603301412
"10",93.7080261817908
"11",93.70694740129
"12",93.6996608273118
"13",94.2457176980571
"14",93.7591794139946
"15",92.335069898103
"16",92.1780456490177
"17",93.0529603851105
"18",93.1359466964781
"19",92.4212301380995
"20",92.5490109391383
"21",93.3168777662289
"22",94.2812695905457
"23",94.118983109977
"24",94.3054577991683
"25",94.7057739006071
"26",95.5450374638139
"27",95.3209331388725
"28",96.065782432922
"29",97.4868025169178
"30",97.0086700523513
"31",95.9347603798481
"32",96.3842626523693
"33",97.3443041454248
"34",98.2205552301495
"35",98.2395500993314
"36",98.3233069459824
"37",98.7039315350841
"38",100.888687407079
"39",101.204350450203
"40",100.773309576325
"41",101.226947266717
"42",102.330884375909
"43",103.033135892269
"44",103.331637097241
"45",104.284884876812
"46",105.328588501571
"47",106.18930755341
"48",105.740525877501
"49",106.71491826357
"50",107.668490750384
"51",108.717947071076
"52",109.366342277446
"53",110.485888320678
"54",110.634334512311
"55",111.306387040735
"56",111.602481007257
"57",111.83081798853
"58",112.682675242953
"59",114.586841348203
"60",115.230222866065
"61",116.126995917617
"62",117.211116491236
"63",118.590340815324
"64",119.375696429054
"65",118.986799725837
"66",121.147616977227
"67",122.360299637962
"68",124.059178728901
"69",124.523472858278
"70",125.003057571573
"71",126.001148808365
"72",127.962432372415
"73",128.715635351646
"74",129.450319040056
"75",131.079371205918
"76",132.036283314383
"77",131.655497012202
"78",132.907186061256
"79",133.889638005052
"80",135.49622022577
"81",136.000796171339
"82",136.518421350474
"83",138.12335895901
"84",139.614433588167
"85",140.281736685289
"86",140.199259073729
"87",141.24467035888
"88",143.068087770544
"89",157.072805428579
"90",151.577778206154
"91",158.8359082859
"92",151.78264823003
"93",150.763428781297
"94",150.451850003595
"95",151.920406244016
"96",152.981847486381
"97",154.430228099988
"98",155.66206399469
"99",156.183832492938
"100",156.067769509457
"101",157.196887130155
"102",158.40905146368
"103",158.762049737005
"104",159.70439000245
"105",160.966034689038
"106",162.007374006878
"107",162.342008440863
"108",162.501548736669
"109",163.860036743944
"110",165.778563953165
"111",166.146198046119
"112",166.89033767409
"113",168.202102269548
"114",169.297176183597
"115",169.561508611489
"116",169.340534188239
"117",170.373687783248
"118",172.587864275217
"119",173.27804834455
"120",173.653410158333
"121",174.765282988348
"122",175.703484403974
"123",175.483351289961
"124",177.101800815488
"125",177.635718247591
"126",178.99131632139
"127",179.382328600234
"128",180.042816856786
"129",180.465245884281
"130",181.562685831449
"131",181.7156162251
"132",181.581736728554
"133",181.093382694494
"134",182.53814514951
"135",183.267893240257
"136",182.62263153072
"137",183.092161606207
