"","x"
"1",104.633442554473
"2",102.936577210742
"3",101.552509447294
"4",100.904624980598
"5",100.569219198077
"6",99.4169545720311
"7",98.6103775077096
"8",97.9343922943835
"9",97.6675283212144
"10",96.414392846964
"11",96.0047689168684
"12",95.5764506480421
"13",95.6733064510717
"14",94.7684722101514
"15",92.9557850175641
"16",92.3635540596533
"17",92.7663444223068
"18",92.4060421323861
"19",91.278141044033
"20",90.9657612377974
"21",91.2745818814797
"22",91.7776301566103
"23",91.1994007129559
"24",90.9639398131568
"25",90.9419198528999
"26",91.3512766681227
"27",90.7436558486541
"28",91.080200275555
"29",92.0792359779974
"30",91.2573283310596
"31",89.8724197952507
"32",89.9693663063889
"33",90.571810408603
"34",91.1070979410657
"35",90.8297547146139
"36",90.6297462722396
"37",90.7315204917618
"38",92.5895156311272
"39",92.6610358930297
"40",92.0292092983083
"41",92.2681084475063
"42",93.1520579264676
"43",93.6666858395174
"44",93.8103410863495
"45",94.6043573217398
"46",95.5046904399572
"47",96.2478155120737
"48",95.7472938650653
"49",96.6392308508218
"50",97.5308754913061
"51",98.5348908632427
"52",99.1719767523943
"53",100.283486206146
"54",100.478201601029
"55",101.197860309982
"56",101.574645822144
"57",101.905717713811
"58",102.85771413849
"59",104.844039959578
"60",105.633241296757
"61",106.685617555421
"62",107.937150805232
"63",109.491436535021
"64",110.490590662985
"65",110.37436112688
"66",112.734444587281
"67",114.196334784255
"68",116.143081172503
"69",116.914278196471
"70",117.714990848705
"71",119.03002767068
"72",121.287712383241
"73",122.392986328865
"74",123.492631392245
"75",125.466526874567
"76",126.80290172168
"77",126.859022187187
"78",128.499167183666
"79",129.888170712414
"80",131.886988082216
"81",132.829783298195
"82",133.791324556387
"83",135.807020142971
"84",137.717377455871
"85",138.836772022662
"86",139.235722769749
"87",140.724574074529
"88",142.964966900776
"89",156.955668850397
"90",152.136241087805
"91",159.61700920229
"92",153.290617593157
"93",152.781437615986
"94",152.950767564504
"95",154.832294528684
"96",156.315361399299
"97",158.165091635091
"98",159.798553674904
"99",160.738898663411
"100",161.055024455818
"101",162.562522549636
"102",164.139651110893
"103",164.876824057948
"104",166.170568455642
"105",167.759722425558
"106",169.123117929788
"107",169.790938389299
"108",170.275367108542
"109",171.901224544134
"110",174.051664961502
"111",174.689955874709
"112",175.674773937401
"113",177.190009858327
"114",178.478680441344
"115",178.948072925656
"116",178.931028869241
"117",180.105078322222
"118",182.399407839496
"119",183.20449552685
"120",183.686483369416
"121",184.859299903582
"122",185.844829788803
"123",185.69315034997
"124",187.295013118124
"125",187.830736816152
"126",189.139052529387
"127",189.496958657402
"128",190.094902990478
"129",190.443423736836
"130",191.423413517259
"131",191.472861432695
"132",191.22640200756
"133",190.619018157177
"134",191.857610473808
"135",192.388110858847
"136",191.574243058365
"137",191.818062167444
"138",192.705773579445
"139",193.438705492643
"140",193.697235984091
"141",194.135198405443
"142",194.482660707943
"143",195.547499898677
"144",195.256729645521
"145",193.114709063021
"146",192.711098475864
"147",193.830887458126
"148",193.643363620831
"149",193.218351306564
"150",192.795991450634
"151",193.19297526183
"152",192.789915215886
"153",191.986131988073
"154",191.670244083845
"155",198.008550611242
"156",191.53009870134
"157",191.125772827644
"158",191.759950597876
"159",190.959726590089
"160",190.248517762092
"161",188.09093618737
"162",188.379809349021
"163",188.046939914519
"164",187.787784690707
"165",186.806034467778
"166",185.928884900626
"167",184.370299260295
"168",184.632300471142
"169",183.520119868864
"170",182.165469432009
"171",182.500688139352
"172",182.920282944451
"173",182.320003801217
"174",181.374771091182
"175",180.530255752064
"176",180.771003797457
"177",178.607942640193
"178",177.347078250614
"179",176.588921271295
"180",176.438637106716
"181",175.612246412933
"182",174.22001126385
"183",172.91105990498
"184",173.290808232653
"185",172.694622952264
"186",171.374673866007
"187",170.563365966244
"188",170.608623011727
"189",169.959413027644
"190",168.967030101849
"191",167.472938712344
"192",166.808637773635
"193",165.619723677218
"194",164.406215571046
"195",162.958143351927
"196",162.177494156594
"197",162.716456484058
"198",162.103362959245
"199",160.84835056356
"200",160.089370990734
"201",162.741813421434
"202",162.173351353534
"203",158.81359716221
"204",158.525469966005
"205",158.623250670663
"206",157.685434051686
"207",155.789101623861
"208",154.841807221877
"209",154.058359197739
"210",153.748417525046
"211",153.075414239452
"212",150.935878687578
"213",151.469758259964
"214",151.424832822237
"215",150.044840246507
"216",150.812729723981
"217",155.144844757069
"218",147.584398299152
"219",147.79111213884
"220",146.836375790306
