"","x"
"1",104.04769535513
"2",101.851672003099
"3",100.021484129183
"4",98.914646533849
"5",98.1269160397679
"6",96.6170855050549
"7",95.44017316763
"8",94.3965291853221
"9",93.7387287972935
"10",92.1925786247256
"11",91.4281872171739
"12",90.6590411889131
"13",90.3822062416938
"14",89.2049025252754
"15",87.2136640546564
"16",86.3519543627299
"17",86.4149589939601
"18",85.7989664455252
"19",84.5007950155212
"20",83.9662919089657
"21",84.0189867733501
"22",84.2700370513206
"23",83.5561025804909
"24",83.177726326388
"25",83.0176308972556
"26",83.2754533785607
"27",82.6299465018993
"28",82.8717153731346
"29",83.7442741435143
"30",82.9815171312544
"31",81.7320978574706
"32",81.8628498428113
"33",82.4830577599795
"34",83.0704231125649
"35",82.9448628304533
"36",82.9189309935706
"37",83.1977038475328
"38",85.1088343800097
"39",85.4189729896913
"40",85.1167678324641
"41",85.6389055271331
"42",86.7793654814451
"43",87.6122198156229
"44",88.1358106454581
"45",89.282118164029
"46",90.5543281000628
"47",91.7116064778245
"48",91.7619821411415
"49",93.1110465592768
"50",94.4871488217463
"51",95.9925979833824
"52",97.1893597723953
"53",98.8447278169334
"54",99.6882501255296
"55",101.03510231556
"56",102.092452904155
"57",103.130713920508
"58",104.757481095885
"59",107.349177877831
"60",108.868188720688
"61",110.646370148729
"62",112.624275774153
"63",114.895405533331
"64",116.675669342882
"65",117.452596703389
"66",120.503224369392
"67",122.746414361907
"68",125.443285401287
"69",127.077129382507
"70",128.746567920462
"71",130.89281408188
"72",133.905507714904
"73",135.871147677381
"74",137.835089245592
"75",140.59907018837
"76",142.7819277154
"77",143.795673535651
"78",146.253211176518
"79",148.478196080664
"80",151.25506900109
"81",153.062037020752
"82",154.87869740699
"83",157.648730013587
"84",160.312508908563
"85",162.242925473907
"86",163.503027105294
"87",165.743839128779
"88",168.655255401246
"89",182.274735861531
"90",178.708126531114
"91",186.349020260787
"92",181.367703459287
"93",181.674443449948
"94",182.577954949624
"95",185.020606889629
"96",187.074919009142
"97",128.363253655695
"98",130.502496951852
"99",131.98152632829
"100",132.862329253877
"101",134.801167457371
"102",136.773405102083
"103",137.948090503442
"104",139.599140040713
"105",141.48752484906
"106",143.136955517925
"107",144.118063364415
"108",144.897816516454
"109",146.684941182764
"110",148.916033370391
"111",149.731794553536
"112",150.828373053788
"113",152.373373857176
"114",153.675710210443
"115",154.194283741872
"116",154.232818496984
"117",155.322410309976
"118",157.398475605028
"119",158.079374725943
"120",158.42962276899
"121",159.374863702983
"122",160.113903708427
"123",159.780064586122
"124",161.012156725166
"125",161.237056779862
"126",162.133488847824
"127",162.129388530147
"128",162.31188616116
"129",162.234886262405
"130",162.703082598868
"131",162.291545985248
"132",161.580300545525
"133",221.585791167665
"134",222.173242590508
"135",222.087394372926
"136",220.74846227453
"137",220.349825200682
"138",220.514834976365
"139",220.515595195391
"140",220.061476935119
"141",219.75036709636
"142",219.337047971171
"143",219.560058600359
"144",218.528560021665
"145",215.791399158877
"146",214.62615096875
"147",214.837834515044
"148",213.844098212146
"149",212.622674688096
"150",211.394044030987
"151",210.904919513639
"152",209.678578938481
"153",208.080805184423
"154",206.923970794336
"155",211.837455854134
"156",205.051178144173
"157",203.808405361203
"158",203.5143579094
"159",201.913271245404
"160",200.396864204184
"161",197.565028865356
"162",196.972043915282
"163",195.81874919423
"164",194.741099766708
"165",193.013472404012
"166",191.392012442691
"167",189.160418934872
"168",188.603416726669
"169",186.806162122754
"170",184.802614097605
"171",184.357439338909
"172",184.006241689608
"173",182.742077699022
"174",181.181836348928
"175",179.733126250419
"176",179.29535167953
"177",176.684742079179
"178",174.919439675417
"179",173.635485823605
"180",172.929479616544
"181",171.630081122284
"182",169.838443891028
"183",168.147501930567
"184",168.022955169418
"185",167.033122216851
"186",165.408474978108
"187",164.274107193155
"188",163.947782873195
"189",163.014011877046
"190",161.793529998741
"191",160.141692668228
"192",159.273777453592
"193",157.953551472736
"194",156.637286633459
"195",155.133187361979
"196",154.264305795367
"197",154.625649846016
"198",153.960993925904
"199",152.735596561419
"200",151.987683866174
"201",154.377726457575
"202",153.851823604486
"203",150.801555628682
"204",150.577511107769
"205",150.727782298704
"206",149.954286340187
"207",148.326681974148
"208",147.585287479026
"209",147.012681654482
"210",146.890695462943
"211",146.454950874166
"212",144.697434472586
"213",145.395841895602
"214",145.580913846488
"215",144.561460922689
"216",145.515455980477
"217",149.734633690534
"218",143.1103817368
"219",143.585373852078
"220",143.00932165191
"221",142.683199760617
"222",142.215376624198
"223",142.129193383813
"224",141.425586670337
"225",140.974501648263
"226",141.041602151246
"227",141.183658779012
"228",141.488321784511
"229",141.720026385167
"230",141.501121194253
"231",140.906773607918
"232",140.429060484129
"233",139.526410008422
"234",139.985347695429
"235",140.36651984256
"236",139.76928645967
"237",149.623587255232
"238",137.474050297668
"239",137.645815260584
"240",137.563609448069
"241",136.228585040818
"242",135.913115660146
"243",136.213340830318
"244",136.266388635105
"245",135.076715621386
"246",134.490619170814
"247",134.524463749282
"248",134.705945115871
"249",134.292691632031
"250",134.361449611463
"251",134.755504229923
"252",134.445369903926
"253",133.249479538618
"254",132.416596631019
"255",131.531077229943
"256",131.026761395616
"257",130.169616399378
"258",129.111008249241
"259",128.450504167057
"260",128.195965825849
"261",127.568372009339
"262",125.482737061768
"263",124.724916254676
"264",124.723781010019
"265",124.936382743034
"266",123.822097967695
"267",122.416723949895
"268",129.763105565173
"269",123.33688109786
"270",119.17777319108
"271",117.898720338361
"272",117.139781565366
"273",116.900392911736
"274",116.38529244484
"275",115.056917363208
"276",114.034436756666
"277",113.523648218581
"278",112.55309536723
"279",110.953949379859
"280",110.35931706762
"281",110.033678910853
"282",108.977684031643
"283",107.121074311178
"284",105.950373453311
"285",104.745855858716
"286",104.065077255713
"287",102.598166700921
"288",101.463296738757
"289",100.414357261948
"290",99.379056390326
"291",98.3577375259078
"292",97.355040204704
"293",96.3696714904181
"294",95.3953767228573
"295",94.4422742623069
"296",93.5106910816837
"297",92.6044850417674
"298",91.7155910136237
"299",90.8589233661086
"300",90.0302066767808
"301",89.2351722351897
"302",88.4647791013642
"303",87.7215138700639
"304",87.0223351390024
"305",86.3674008132174
"306",85.7459150531789
"307",85.1595416280436
"308",84.621217671779
"309",84.1311719333806
"310",83.6879290402332
"311",83.2839176533113
"312",82.9307496779313
"313",82.628912258492
"314",82.3813080280027
"315",82.1789042799703
"316",82.0368984399986
"317",81.9544388953184
