"","x"
"1",106.8
"2",106.8
"3",106.8
"4",106.8
"5",106.8
"6",106.8
"7",106.8
"8",106.8
"9",106.8
"10",106.8
"11",106.8
"12",106.8
"13",106.8
"14",106.8
"15",106.8
"16",106.8
"17",106.8
"18",106.8
"19",106.8
"20",106.8
"21",106.8
"22",106.8
"23",106.8
"24",106.8
"25",106.8
"26",106.8
"27",106.8
"28",106.8
"29",106.8
"30",106.8
"31",106.8
"32",106.8
"33",106.8
"34",106.8
"35",106.8
"36",106.8
"37",106.8
"38",106.8
"39",106.8
"40",106.8
"41",106.8
"42",106.8
"43",106.8
"44",106.8
"45",106.8
"46",106.8
"47",106.8
"48",106.8
"49",106.8
"50",106.8
"51",106.8
"52",106.8
"53",106.8
"54",106.8
"55",106.8
"56",106.8
"57",106.8
"58",106.8
"59",106.8
"60",106.8
"61",106.8
"62",106.8
"63",106.8
"64",106.8
"65",106.8
"66",106.8
"67",106.8
"68",106.8
"69",106.8
"70",106.8
"71",106.8
"72",106.8
"73",106.8
"74",106.8
"75",106.8
"76",106.8
"77",106.8
"78",106.8
"79",106.8
"80",106.8
"81",106.8
"82",106.8
"83",106.8
"84",106.8
"85",106.8
"86",106.8
"87",106.8
"88",106.8
"89",106.8
"90",106.8
"91",106.8
"92",106.8
"93",106.8
"94",106.8
"95",106.8
"96",106.8
"97",106.8
"98",106.8
"99",106.8
"100",106.8
"101",106.8
"102",106.8
"103",106.8
"104",106.8
"105",106.8
"106",106.8
"107",106.8
"108",106.8
"109",106.8
"110",106.8
"111",106.8
"112",106.8
"113",106.8
"114",106.8
"115",106.8
"116",106.8
"117",106.8
"118",106.8
"119",106.8
"120",106.8
"121",106.8
"122",106.8
"123",106.8
"124",106.8
"125",106.8
"126",106.8
"127",106.8
"128",106.8
"129",106.8
"130",106.8
"131",106.8
"132",106.8
"133",106.8
"134",106.8
"135",106.8
"136",106.8
"137",106.8
"138",106.8
"139",106.8
"140",106.8
"141",106.8
"142",106.8
"143",106.8
"144",106.8
"145",106.8
"146",106.8
"147",106.8
"148",106.8
"149",106.8
"150",106.8
"151",106.8
"152",106.8
"153",106.8
"154",106.8
"155",106.8
"156",106.8
"157",106.8
"158",106.8
"159",106.8
"160",106.8
"161",106.8
"162",106.8
"163",106.8
"164",106.8
"165",106.8
"166",106.8
"167",106.8
"168",106.8
"169",106.8
"170",106.8
"171",106.8
"172",106.8
"173",106.8
"174",106.8
"175",106.8
"176",106.8
"177",106.8
"178",106.8
"179",106.8
"180",106.8
"181",106.8
"182",106.8
"183",106.8
"184",106.8
"185",106.8
"186",106.8
"187",106.8
"188",106.8
"189",106.8
"190",106.8
"191",106.8
"192",106.8
"193",106.8
"194",106.8
"195",106.8
"196",106.8
"197",106.8
"198",106.8
"199",106.8
"200",106.8
"201",106.8
"202",106.8
"203",106.8
"204",106.8
"205",106.8
