"","x"
"1",1.3783030239235
"2",2.62180130877687
"3",3.73622073708212
"4",4.72692917600167
"5",5.59897684507741
"6",6.35713338210035
"7",7.00592183542851
"8",7.54964979391333
"9",7.99243784980737
"10",8.33824557550367
"11",8.59089518160045
"12",8.75409301150277
"13",8.83144901648268
"14",8.826494344741
"15",8.74269716848037
"16",8.58347686423693
"17",8.3522166536754
"18",8.05227480466147
"19",7.68699448564545
"20",7.25971236016465
"21",6.77376600255888
"22",6.23250021075342
"23",5.6392722871516
"24",4.99745635427115
"25",4.31044676770936
"26",3.58166068531303
"27",2.81453984802086
"28",2.01255162472567
"29",1.17918937063511
"30",0.317972145978227
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",1.2422300489514
"84",3.26962368314884
"85",5.38160298685479
"86",7.5765217629673
"87",9.85257110334792
"88",12.2077817745634
"89",14.6400269062244
"90",17.1470249777283
"91",19.7263430986068
"92",22.3754005770946
"93",25.0914727709545
"94",27.8716952140421
"95",30.7130680115318
"96",33.6124604961992
"97",36.5666161376379
"98",39.5721576957768
"99",42.6255926095975
"100",45.7233186114663
"101",48.8616295570645
"102",52.03672146046
"103",55.2446987234719
"104",58.48158054808
"105",61.7433075202795
"106",65.0257483534348
"107",68.3247067788685
"108",71.6359285711349
"109",74.9551086951502
"110",78.2778985621139
"111",81.5999133809267
"112",84.9167395916327
"113",88.2239423672288
"114",91.5170731700533
"115",94.7916773488476
"116",98.0433017624916
"117",101.267502416363
"118",104.459852097219
"119",107.615947992512
"120",110.731419280045
"121",113.801934673938
"122",116.823209912938
"123",119.791015177218
"124",122.701182419906
"125",125.549612599776
"126",128.332282801674
"127",131.045253231486
"128",133.684674072654
"129",136.246792191522
"130",138.727957679057
"131",141.124630216798
"132",143.433385255199
"133",145.6509199929
"134",147.774059145794
"135",149.799760495179
"136",151.725120204683
"137",153.547377896061
"138",155.263921474444
"139",156.872291694049
"140",158.37018645588
"141",159.755464829413
"142",161.026150790789
"143",162.180436670576
"144",163.216686304683
"145",164.13343788257
"146",164.929406487471
"147",165.603486323908
"148",166.154752628369
"149",166.582463259597
"150",166.886059965569
"151",167.065169324803
"152",167.119603360277
