"","x"
"1",1.3783030239235
"2",2.62180130877687
"3",3.73622073708212
"4",4.72692917600167
"5",5.59897684507741
"6",6.35713338210035
"7",7.00592183542851
"8",7.54964979391333
"9",7.99243784980737
"10",8.33824557550367
"11",8.59089518160045
"12",8.75409301150277
"13",8.83144901648268
"14",8.826494344741
"15",8.74269716848037
"16",8.58347686423693
"17",8.3522166536754
"18",8.05227480466147
"19",7.68699448564545
"20",7.25971236016465
"21",6.77376600255888
"22",6.23250021075342
"23",5.6392722871516
"24",4.99745635427115
"25",4.31044676770936
"26",3.58166068531303
"27",2.81453984802086
"28",2.01255162472567
"29",1.17918937063511
"30",0.317972145978227
"31",-0.567556160508901
"32",-1.47382826111002
"33",-2.39725541149733
"34",-3.33422982765361
"35",-4.28112754078797
"36",-5.23431165528758
"37",-6.19013597621958
"38",-7.14494897426627
"39",-8.09509805724506
"40",-9.03693411853988
"41",-9.96681633387524
"42",-10.881117178886
"43",-11.7762276409039
"44",-12.6485625992854
"45",-13.4945663494672
"46",-14.310718246745
"47",-15.0935384465468
"48",-15.8395937187158
"49",-16.5455033140262
"50",-17.2079448618458
"51",-17.8236602785261
"52",-18.3894616667466
"53",-18.9022371866794
"54",-19.3589568804602
"55",-19.7566784320674
"56",-20.0925528453192
"57",-20.3638300233003
"58",-20.56786423313
"59",-20.7021194405839
"60",-20.7641744996752
"61",-20.7517281829081
"62",-20.6626040385093
"63",-20.4947550615553
"64",-20.2462681665162
"65",-19.9153684493515
"66",-19.5004232279078
"67",-18.9999458499919
"68",-18.4125992591156
"69",-17.7371993085423
"70",-16.972717814897
"71",-16.1182853432475
"72",-15.1731937162003
"73",-14.1368982402107
"74",-13.0090196429529
"75",-11.789345716255
"76",-10.4778326597547
"77",-9.07460612109843
"78",-7.57996192915899
"79",-5.99436651741208
"80",-4.31845703527316
"81",-2.55304114584913
"82",-0.699096509224393
"83",1.2422300489514
"84",3.26962368314884
"85",5.38160298685479
"86",7.5765217629673
"87",9.85257110334792
"88",12.2077817745634
"89",14.6400269062244
"90",17.1470249777283
"91",19.7263430986068
"92",22.3754005770946
"93",25.0914727709545
"94",27.8716952140421
"95",30.7130680115318
"96",33.6124604961992
"97",36.5666161376379
"98",39.5721576957768
"99",42.6255926095975
"100",45.7233186114663
"101",48.8616295570645
"102",52.03672146046
"103",55.2446987234719
"104",58.48158054808
"105",61.7433075202795
"106",65.0257483534348
"107",68.3247067788685
"108",71.6359285711349
"109",74.9551086951502
"110",78.2778985621139
"111",81.5999133809267
"112",84.9167395916327
"113",88.2239423672288
"114",91.5170731700533
"115",94.7916773488476
"116",98.0433017624916
