"","x"
"1",1.38024749553127
"2",2.62552817272123
"3",3.74157643296681
"4",4.7337680224786
"5",5.60716046407441
"6",6.36653018146301
"7",7.01640654479048
"8",7.56110304902662
"9",8.00474582094724
"10",8.351299635915
"11",8.60459161227548
"12",8.76833273887669
"13",8.84613737990689
"14",8.84154089084423
"15",8.75801546975847
"16",8.59898435942429
"17",8.36783450764578
"18",8.06792778578586
"19",7.70261085869964
"20",7.27522379303154
"21",6.78910748511136
"22",6.24760998443222
"23",5.6540917838729
"24",5.01193014340868
"25",4.32452250999742
"26",3.59528909261153
"27",2.82767464797059
"28",2.02514952940262
"29",1.19121004838785
"30",0.329378195701585
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",1.23012872154174
"84",3.25797136327926
"85",5.37043620909255
"86",7.56587583859144
"87",9.84248002872216
"88",12.1982781421993
"89",14.6311418187117
"90",17.1387879647056
"91",19.7187820369377
"92",22.3685416144117
"93",25.0853402527243
"94",27.8663116142995
"95",30.7084538674244
"96",33.6086343464759
"97",36.5635944652074
"98",39.5699548744552
"99",42.6242208551544
"100",45.7227879370737
"101",48.8619477332404
"102",52.0378939795937
"103",55.2467287690062
"104",58.4844689684195
"105",61.7470528074818
"106",65.0303466267356
"107",68.3301517730799
"108",71.6422116299472
"109",74.9622187693593
"110",78.2858222127852
"111",81.6086347874983
"112",84.9262405649503
"113",88.234202367495
"114",91.528069329665
"115",94.8033845000866
"116",98.0556924700211
"117",101.280547014477
"118",104.47351873178
"119",107.630202667505
"120",110.746225908662
"121",113.817255134108
"122",116.839004107199
"123",119.807241096824
"124",122.717796213052
"125",125.566568643818
"126",128.349533779211
"127",131.062750210166
"128",133.702366588553
"129",136.264628335946
"130",138.745884188604
"131",141.142592566511
"132",143.451327754647
"133",145.668785884986
"134",147.79179070813
"135",149.817299143826
"136",151.742406600056
"137",153.564352050812
"138",155.280522863114
"139",156.888459364283
"140",158.385859140994
"141",159.7705810621
"142",161.040649017757
"143",162.194255367889
"144",163.229764093593
"145",164.14571364562
"146",164.940819484646
"147",165.613976308617
"148",166.164259963028
"149",166.590929030608
"150",166.893426097462
"151",167.071378693322
"152",167.124599904207
"153",167.053088656338
"154",166.85702967083
"155",166.536793089262
"156",166.092933770855
"157",165.526190262589
"158",164.837483444218
"159",164.027914850737
"160",163.098764675451
"161",162.05148945742
"162",160.887719457604
"163",159.609255728646
"164",158.218066883786
"165",156.716285570961
"166",155.1062046587
"167",153.390273140965
"168",151.571091768592
"169",149.651408415521
"170",147.634113188481
"171",145.522233289279
"172",143.318927639296
"173",141.027481276243
"174",138.651299533654
"175",136.193902013972
"176",133.658916366508
"177",131.050071881873
"178",128.37119291484
"179",125.62619214792
"180",122.819063708206
"181",119.953876150314
"182",117.034765318522
"183",114.065927101378
"184",111.051610092291
"185",107.99610816976
"186",104.903753011042
"187",101.778906553198
"188",98.6259534155174
"189",95.449293297404
"190",92.2533333658441
"191",89.04248064658
"192",85.8211344331069
"193",82.7094896491633
"194",79.4802856490818
"195",76.2536642940035
"196",73.0339188856062
"197",69.8252977950887
"198",66.631997271226
"199",63.4581543623723
"200",60.30783996545
"201",57.1850520147187
"202",54.09370882284
"203",51.0376425864634
"204",48.0205930682371
"205",45.0462014668023
"206",42.1180044859759
"207",39.2394286139264
"208",36.4137846227587
"209",33.6442622984867
"210",30.9339254109407
"211",28.2857069326794
"212",25.7024045155166
"213",23.1866762327637
"214",20.7410365947845
"215",18.3678528449406
"216",16.0693415424554
"217",13.8475654381892
"218",11.7044306487469
"219",9.64168413377878
"220",7.66091148074525
"221",5.76353500083604
"222",3.95081213913914
"223",2.22383420155145
"224",0.583525400324576
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0.0592393810829551
"268",0.953623980372013
"269",1.84418383974095
"270",2.72782598317028
"271",3.60151263567041
"272",4.46226765110478
"273",5.30718280238558
"274",6.13342392177302
"275",6.9382368793002
"276",7.71895338766674
"277",8.47299662228329
"278",9.19788664551065
"279",9.89124562452299
"280",10.5508028326241
"281",11.1743994242715
"282",11.759992974503
"283",12.3056617739199
"284",12.809608870858
"285",13.2701658528685
"286",13.6857963601387
"287",14.0550993240044
"288",14.3768119242394
"289",14.649812259355
"290",14.8731217246991
"291",15.045907093713
"292",15.1674822982801
"293",15.2373099046852
"294",15.2550022822933
"295",15.2203224626547
"296",15.1331846873432
"297",14.9936546434377
"298",14.8019493861658
"299",14.5584369488329
"300",14.2636356407694
"301",13.9182130346318
"302",13.5229846449989
"303",13.0789123008019
"304",12.5871022147231
"305",12.0488027532848
"306",11.4654019119329
"307",10.838424499992
"308",10.1695290409324
"309",9.46050439394499
"310",8.71326610335803
"311",7.92985248296373
"312",7.11242044283564
"313",6.26324106671973
"314",5.38469494857042
"315",4.47926729726848
"316",3.549542819014
"317",2.598200387319
"318",1.62800751094241
"319",0.641814610501891
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",1.24869700747497
"372",3.27510959072792
"373",5.38625451570083
"374",7.5804758796224
"375",9.85595563033952
"376",12.2107159044331
"377",14.6426216719885
"378",17.1493836835157
"379",19.728561713942
"380",22.3775680980341
"381",25.0936715510433
"382",27.8740012678328
"383",30.7155512932031
"384",33.6151851556211
"385",36.5696407560448
"386",39.5755355030583
"387",42.6293716850507
"388",45.7275420697184
"389",48.8663357207412
"390",52.0419440210516
"391",55.250466891735
"392",58.4879191952083
"393",61.7502373109774
"394",65.0332858719312
"395",68.3328646488332
"396",71.6447155703684
"397",74.9645298658499
"398",78.2879553174484
"399",81.6106036085851
"400",84.9280577549544
"401",88.2358796044629
"402",91.5296173922461
"403",94.8048133367986
"404",98.0570112631852
"405",101.281764239227
"406",104.474642210528
"407",107.631239620209
"408",110.747182999229
"409",113.818138513213
"410",116.839819451818
"411",119.807993646714
"412",122.718490804423
"413",125.567209740413
"414",128.350125500995
"415",131.063296359797
"416",133.702870675825
"417",136.265093600341
"418",138.746313620111
"419",141.142988924844
"420",143.451693586974
"421",145.669123542304
"422",147.792102360371
"423",149.817586793801
"424",151.742672096328
"425",153.564597099576
"426",155.280749039157
"427",156.888668121111
"428",158.386051820168
"429",159.77075890186
"430",161.040813160978
"431",162.194406869426
"432",163.22990392706
"433",164.145842709647
"434",164.940938608654
"435",165.614086258149
"436",166.164361444667
"437",166.591022696519
"438",166.893512549581
"439",167.07145848723
"440",167.124673552693
"441",167.053156632699
"442",166.85709241191
"443",166.536850998264
"444",166.092987219927
"445",165.526239595217
"446",164.837528977436
"447",164.02795687716
"448",163.098803465159
"449",162.051525259693
"450",160.887752502522
"451",159.609286228572
"452",158.218095034724
"453",156.716311553821
"454",155.106228640459
"455",153.390295275741
"456",151.571112198632
"457",149.651427272117
"458",147.634130592814
"459",145.522249353197
"460",143.318942466032
"461",141.027494961081
"462",138.651312164537
"463",136.193913672073
"464",133.658927126747
"465",131.050081813399
"466",128.371202081478
"467",125.626200608579
"468",122.819071517256
"469",119.953883357942
"470",117.034771971045
"471",114.065933241549
"472",111.05161575957
"473",107.996113400567
"474",104.903757838992
"475",101.778911009318
"476",98.6259575284439
"477",95.4492970935686
"478",92.2533368696427
"479",89.0424838805293
"480",85.8211374179898
"481",82.7094924041619
"482",79.4802881919014
"483",76.2536666409844
"484",73.0339210518316
"485",69.8252997944798
"486",66.6319991166315
"487",63.4581560656518
"488",60.3078415375494
"489",57.185053465741
"490",54.0937101621101
"491",51.0376438225884
"492",48.0205942091601
"493",45.0462025198558
"494",42.1180054579273
"495",39.2394295110217
"496",36.4137854507632
"497",33.6442630627215
"498",30.933926116317
"499",28.2857075837303
"500",25.7024051164264
"501",23.1866767873934
"502",20.7410371066987
"503",18.3678533174291
"504",16.0693419785547
"505",13.8475658407018
"506",11.7044310202595
"507",9.64168447667891
"508",7.66091179723652
"509",5.7635352929526
"510",3.95081240875778
"511",2.22383445040509
"512",0.58352563001246
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0.0592393884024958
"556",0.95362398712783
"557",1.84418384597646
"558",2.72782598892556
"559",3.60151264098243
"560",4.4622676560077
"561",5.30718280691089
"562",6.13342392594981
"563",6.93823688315523
"564",7.71895339122494
"565",8.47299662556745
"566",9.19788664854188
"567",9.89124562732077
"568",10.5508028352064
"569",11.1743994266549
"570",11.7599929767028
"571",12.3056617759503
"572",12.809608872732
"573",13.2701658545982
"574",13.6857963617352
"575",14.0550993254779
"576",14.3768119255995
"577",1.60686797233076
"578",3.06285027680737
"579",4.36945284857076
"580",5.52834141253181
"581",6.5413476084567
"582",7.41047436130506
"583",8.13790050401176
"584",8.72598466058087
"585",9.17726839805318
"586",9.49447865662069
"587",9.68052946788465
"588",9.73852297198666
"589",9.67174974508622
"590",9.48368844940109
"591",9.17800481877909
"592",8.75854999351527
"593",8.22935821887848
"594",7.5946439225466
"595",6.85879818688756
"596",6.02638463274457
"597",5.10213473209347
"598",4.09094256764155
"599",2.99785905811028
"600",1.82808566861207
"601",0.586967626167445
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",1.48840813590991
"660",5.17783991251428
"661",9.00893570237396
"662",12.97834041849
"663",17.0824199080405
"664",21.3172662774018
"665",25.6787037345256
"666",30.1622949388439
"667",34.7633478478719
"668",39.4769230487228
"669",44.2978415617906
"670",49.2206931029576
"671",54.2398447897709
"672",59.3494502761762
"673",64.5434592995644
"674",69.8156276230674
