"","x"
"1",1.27825220373227
"2",2.40880578214502
"3",3.4025212328113
"4",4.26917697415657
"5",5.01759397820816
"6",5.6557474036156
"7",6.19086654769758
"8",6.62952430010491
"9",6.97771715865782
"10",7.24093675855971
"11",7.42423376819293
"12",7.53227491689258
"13",7.56939384141487
"14",7.53963636732253
"15",7.44680077835377
"16",7.29447357026206
"17",7.08606113493153
"18",6.82481777517323
"19",6.51387040994648
"20",6.15624029333216
"21",5.754862037972
"22",5.3126002044859
"23",4.83226369222915
"24",4.31661814334201
"25",3.76839655108399
"26",3.19030824468428
"27",2.58504640614315
"28",1.95529425938853
"29",1.303730058736
"30",0.633030991557912
"31",-0.0541239007089775
"32",-0.755051688737458
"33",-1.46706432281719
"34",-2.18746812357838
"35",-2.91356392473218
"36",-3.64264780282774
"37",-4.37201233457206
"38",-5.09894832723371
"39",-5.82074697210803
"40",-6.5347023750176
"41",-7.23811442141193
"42",-7.92829193684999
"43",-8.60255610654779
"44",-9.25824412027926
"45",-9.89271301127143
"46",-10.5033436598544
"47",-11.087544934547
"48",-11.6427579449992
"49",-12.1664603827911
"50",-12.6561709275317
"51",-13.1094536970136
"52",-13.523922721391
"53",-13.8972464224546
"54",-14.2271520801103
"55",-14.5114302691169
"56",-14.7479392500299
"57",-14.9346092991316
"58",-15.0694469629104
"59",-15.150539223398
"60",-15.1760575613762
"61",-15.1442619051414
"62",-15.0535044531652
"63",-14.9022333596114
"64",-14.68899627228
"65",-14.412443713138
"66",-14.0713322921724
"67",-13.6645277458696
"68",-13.191007792178
"69",-12.6498647943616
"70",-12.0403082266952
"71",-11.3616669354866
"72",-10.6133911894451
"73",-9.79505451394642
"74",-8.90635530426767
"75",-7.94711821339256
"76",-6.91729531050566
"77",-5.81696700681665
"78",-4.6463427458704
"79",-3.40576145601392
"80",-2.09569176320633
"81",-0.716731962862569
"82",0.730390250066115
"83",2.2448182930726
"84",3.82556744992868
"85",5.47152586567851
"86",7.18145578159779
"87",8.95399500844453
"88",10.7876586358475
"89",12.6808409752017
"90",14.6318177329812
"91",16.6387484109155
"92",18.6996789290309
"93",20.8125444671111
"94",22.9751725197119
"95",25.1852861594325
"96",27.4405075027454
"97",29.7383613722873
"98",32.0762791491228
"99",34.4516028081341
"100",36.8615891293161
"101",39.303414077425
"102",41.7741773420891
"103",44.270907030187
"104",46.7905645019917
"105",49.3300493423019
"106",51.8862044575197
"107",54.4558212893774
"108",57.0356451358019
"109",59.6223805691784
"110",62.2126969420965
"111",64.8032339704738
"112",67.3906073838162
"113",69.9714146322212
"114",72.5422406396277
"115",75.0996635927181
"116",77.6402607547977
"117",80.1606142939338
"118",82.6573171145911
"119",85.1269786819943
"120",87.566230828449
"121",89.9717335308871
"122",92.3401806489434
"123",94.6683056129409
"124",96.952887051252
"125",99.1907543466049
"126",101.378793111041
"127",103.513950569365
"128",105.593240841115
"129",107.613750111232
"130",109.57264167985
"131",111.467160881833
"132",113.294639866907
"133",115.052502231532
"134",116.738267493894
"135",118.349555403717
"136",119.884090078877
"137",121.339703961144
"138",122.714341583689
"139",124.006063143371
"140",125.213047871151
"141",126.333597194385
"142",127.366137685114
"143",128.309223788876
"144",129.16154032897
"145",129.921904781535
"146",130.589269317207
"147",131.162722605574
"148",131.641491379094
"149",132.02494175356
"150",132.312580302695
"151",132.504054884872
"152",132.599155220456
"153",132.597813218707
"154",132.500103053653
"155",132.306240988818
"156",132.016584951161
"157",131.631633855033
"158",131.15202667744
"159",130.57854128637
"160",129.912093024373
"161",129.153733050086
"162",116.548696640016
"163",116.403773008333
"164",115.857147825725
"165",114.855028666707
"166",113.753452123881
"167",112.487797667897
"168",111.200260533711
"169",109.937183318614
"170",108.636748883757
"171",116.838862004269
"172",115.17533595329
"173",113.442188732089
"174",111.641983600958
"175",100.632831721246
"176",98.8449685232817
"177",97.0813048396513
"178",95.1140443227785
"179",93.241433407459
"180",91.4665005884463
"181",89.4084662462901
"182",87.4100480548598
"183",85.5039653966652
"184",83.5310469476195
"185",81.3173947725223
"186",79.2649444019837
"187",77.2589124282574
"188",81.0163727319028
"189",73.6578910764241
"190",71.4790739303779
"191",69.0427104660488
"192",66.551490064141
"193",64.1638010260625
"194",61.8829937430997
"195",59.6016674202264
"196",57.4707680231287
"197",55.3385452038664
"198",53.1196503817621
"199",50.6474898603752
"200",48.5231577686943
"201",46.0853609899765
"202",43.8169695274664
"203",41.3149416661607
"204",39.0989267508905
"205",36.7657424199257
"206",34.4657844262976
"207",32.275546070235
"208",30.1237932026095
"209",27.9761119236051
"210",25.7979942982901
"211",23.6286553401406
"212",21.6548501879087
"213",19.6941257151084
"214",17.6746520770839
"215",15.74595086488
"216",13.9466991501836
"217",14.5669900636626
"218",12.8469196990818
"219",11.1870738483201
"220",9.58874284453604
"221",5.65391999562097
"222",4.18199397093746
"223",2.77470714122811
"224",1.43284844793894
"225",2.55625280091844
"226",1.34710700521232
"227",0.204990219425265
"228",-3.30590341833128
"229",-1.87717204243246
"230",-2.81704333580275
"231",-3.68953578190318
"232",-4.49487651571927
"233",-5.23341620365082
"234",-5.90562747947014
"235",-6.51210315057873
"236",-7.05355417840447
"237",-7.53080743720554
"238",-7.9448032559719
"239",-8.29659274852339
"240",-8.58733493730538
"241",-8.81829367677407
"242",-8.99083438264199
"243",-9.10642057362124
"244",-9.16661023265666
"245",-11.5722254237115
"246",-9.12748117065396
"247",-11.4308890382762
"248",-8.88765141705277
"249",-8.69725852906456
"250",-8.46257615502268
"251",-8.18570809810753
"252",-7.86881796185379
"253",-7.51412425268956
"254",-7.12389538809344
"255",-6.70044462023844
"256",-6.24612488514519
"257",-5.76332358750702
"258",-5.25445733146288
"259",-4.72196660769437
"260",-4.16831044729981
"261",-3.59596105295387
"262",-3.00739841790213
"263",-2.40510494335271
"264",-1.79156006482836
"265",-1.16923489801461
"266",-0.540586914598725
"267",0.0919453414700769
"268",0.725947486954095
"269",1.35903447129029
"270",1.98885567742509
"271",2.61309994154343
"272",3.22950048187786
"273",3.83583972696228
"274",4.42995403389679
"275",5.00973828740445
"276",5.57315037069705
"277",6.11821549941908
"278",6.6430304102061
"279",7.145767395682
"280",7.62467817801631
"281",8.07809761348147
"282",8.50444722077825
"283",8.90223852624286
"284",9.27007621940557
"285",9.60666111274073
"286",9.91079289982985
"287",10.1813727065511
"288",10.4174054303133
"289",10.5708211131866
"290",10.6934707021573
"291",10.7842813941599
"292",10.8423312499148
"293",10.8668458131201
"294",10.8571949765519
"295",10.8128900444589
"296",10.7335809461139
"297",10.6190535603551
"298",10.4692271154402
"299",10.2841516326227
"300",10.0640053855575
"301",9.8090923510132
"302",9.51983962942764
"303",9.19679481663363
"304",8.8406233106244
"305",8.45210553954937
"306",8.03213409925099
"307",7.58171079059468
"308",7.10194354861969
"309",6.59404325716863
"310",6.05932044414605
"311",5.49918185393118
"312",4.91512689473005
"313",4.30874395981293
