"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0.0889590205668351
"14",0.384478322402955
"15",0.70068873063169
"16",1.03388028519373
"17",1.38040908567833
"18",1.73669562377933
"19",2.09922513358315
"20",2.46454973454644
"21",2.82929215704401
"22",3.19015085384292
"23",3.54390631297738
"24",3.88742839845875
"25",4.21768455521004
"26",4.53174872371263
"27",4.82681081821794
"28",5.1001866301369
"29",5.34932802545721
"30",5.57183331185446
"31",5.76545765763796
"32",5.92812345085864
"33",6.05793049288274
"34",6.15316592654103
"35",6.21231380464494
"36",6.23406421025332
"37",6.21732184561773
"38",6.16121401223889
"39",6.06509790996563
"40",5.92856718857472
"41",5.75145769078565
"42",5.53385233121277
"43",5.27608506133015
"44",4.97874387612881
"45",4.64267282377496
"46",4.26897298523787
"47",3.85900239652576
"48",3.41437489185138
"49",2.93695785173143
"50",2.42886884568895
"51",1.8924711648726
"52",1.33036824550643
"53",0.745396989631519
"54",0.14061999507314
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0.572414919988044
"91",2.13460821058575
"92",3.81064399129324
"93",5.60007019635647
"94",7.50206296359563
"95",9.51542406457239
"96",11.6385796965624
"97",13.8695806502499
"98",16.2061038616337
"99",18.6454553511652
"100",21.1845745476209
"101",23.8200399887059
"102",26.5480763848756
"103",29.3645630274133
"104",32.2650435163912
"105",35.2447367788277
"106",38.2985493421483
"107",41.4210888229624
"108",44.6066785862448
"109",47.8493735252345
"110",51.1429769077947
"111",54.4810582305951
"112",57.8569720183571
"113",61.2638775014801
"114",64.6947591017459
"115",68.1424476524297
"116",71.5996422760716
"117",75.0589328403989
"118",78.5128229104296
"119",81.9537531126629
"120",85.3741248254576
"121",88.7663241082611
"122",92.1227457812326
"123",95.4358175660584
"124",98.6980241983644
"125",101.901931422086
"126",105.040209776488
"127",108.105658087198
