"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",86
"108",106
"109",110
"110",114
"111",119
"112",98
"113",94
"114",112
"115",146.8
"116",171.4
"117",153.6
"118",151
"119",196.8
"120",139.2
"121",145.2
"122",154
"123",131.6
"124",232.4
"125",391.4
"126",812.6
"127",1069.8
"128",792.6
"129",510.2
"130",399.6
"131",445
"132",484
"133",588.2
"134",654.6
"135",641
"136",648.8
"137",583.6
"138",556.4
"139",587.4
"140",570.8
"141",556.4
"142",573
"143",734.2
"144",729.8
"145",427.4
"146",473.2
"147",383.4
"148",423.6
"149",444
"150",472
"151",484.6
"152",497.8
"153",405
"154",458.2
"155",397
"156",467.4
"157",499.8
"158",518.8
"159",486
"160",447
"161",442.4
"162",437
"163",409.4
"164",399.2
"165",454.6
"166",466.4
"167",414.6
"168",438.8
"169",471.2
"170",415.6
"171",458.8
"172",456
"173",429
"174",417.6
"175",318.6
"176",255.2
"177",271.6
"178",229.2
"179",245.6
"180",229.2
"181",243.2
"182",230.2
"183",205.2
"184",202.4
"185",216
"186",194
"187",180.4
"188",163.2
"189",155
"190",154
"191",129.8
"192",116
"193",113
"194",104
"195",101
"196",94.2
"197",82
"198",74
"199",72
"200",70
