"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0.115104426928059
"23",0.624878421231942
"24",1.14641750899025
"25",1.67543394777707
"26",2.2076489033612
"27",2.73880851948686
"28",3.26470070916718
"29",3.78117252743964
"30",4.2841479878262
"31",4.76964618718121
"32",5.23379960621433
"33",5.6728724557935
"34",6.08327894217458
"35",6.46160132759174
"36",6.80460766618878
"37",7.10926909910231
"38",7.37277659660791
"39",7.59255703963293
"40",7.76628853762557
"41",7.89191488472939
"42",7.96765906146593
"43",7.99203569465123
"44",7.96386239406052
"45",7.88226989039261
"46",7.74671090537046
"47",7.55696769130958
"48",7.31315818418965
"49",7.0157407211534
"50",6.66551728039687
"51",6.26363520860294
"52",5.81158740836278
"53",5.31121096541392
"54",4.76468420296291
"55",4.1745221578387
"56",3.54357048069997
"57",2.87499776997508
"58",2.17228635661676
"59",1.43922156407142
"60",0.679879475075048
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",1.11495138591077
"97",3.02432381763236
"98",5.06674021308817
"99",7.24072128767933
"100",9.54430255337222
"101",11.9750346844632
"102",14.5299857662937
"103",17.2057454301124
"104",19.9984308695779
"105",22.9036947266935
"106",25.9167348272935
"107",29.0323057385794
"108",32.2447321136855
"109",35.5479237808493
"110",38.9353925275179
"111",42.400270522655
"112",45.9353303136777
"113",49.5330063278394
"114",53.1854178015505
"115",56.8843930550993
"116",60.621495024521
"117",64.3880479570172
"118",68.1751651713317
"119",71.9737777799035
"120",75.7746642654301
"121",79.5684808007368
"122",83.3457921975364
"123",87.0971033668253
"124",90.812891171302
"125",94.4836365483012
"126",98.0998567803584
"127",101.652137789622
"128",105.131166331946
"129",108.52776196662
"130",111.832908678299
"131",115.037786028855
"132",118.133799718472
"133",121.112611437435
