"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0.4619590024288
"24",0.983241381640322
"25",1.51285198360305
"26",2.04651522946519
"27",2.57997552528675
"28",3.10901409567498
"29",3.62946642042692
"30",4.13724013628239
"31",4.62833326822777
"32",5.09885265729034
"33",5.54503245447966
"34",5.96325255347429
"35",6.35005683784274
"36",6.70217112203974
"37",7.01652066915998
"38",7.29024717244454
"39",7.52072509184672
"40",7.70557724157184
"41",7.84268952939337
"42",7.93022475373389
"43",7.96663536996139
"44",7.95067514308404
"45",7.88140961001484
"46",7.75822528081885
"47",7.58083751481468
"48",7.34929701407552
"49",7.06399488374037
"50",6.72566621557
"51",6.33539215836038
"52",5.89460044611693
"53",5.40506436228113
"54",4.86890012575213
"55",4.28856269194264
"56",3.66683996961011
"57",3.00684546169238
"58",2.3120093458183
"59",1.58606801752681
"60",0.833052126490945
"61",0.0572731431670879
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0.959582868709005
"97",2.85562487618681
"98",4.88540224790807
"99",7.04752058984278
"100",9.34009849080755
"101",11.7607675128905
"102",14.306674071303
"103",16.9744832084599
"104",19.7603842593528
"105",22.6600983975491
"106",25.66888804343
"107",28.7815681086124
"108",31.9925190429264
"109",35.2957016428526
"110",38.684673573014
"111",42.1526075451755
"112",45.6923110922947
"113",49.2962478684684
"114",52.9565603992083
"115",56.6650942003596
"116",60.4134231781669
"117",64.1928762175438
"118",67.9945648605106
"119",71.8094119720691
"120",75.6281812864944
"121",79.4415077231752
"122",83.2399283577144
"123",87.0139139310553
"124",90.7539007769245
"125",94.4503230458845
"126",98.0936451027982
"127",101.674393973502
"128",105.183191715995
"129",108.610787591465
"130",111.948089910992
"131",115.186197434805
"132",118.316430202488
"133",121.330359674573
