"","x"
"1",-0.74877539065788
"2",-1.4030628856832
"3",-1.96659755338376
"4",-2.44295821093163
"5",-2.83560965176673
"6",-3.14793996647491
"7",-3.38329325685559
"8",-3.54499802150823
"9",-3.63639147246802
"10",-3.66084002594729
"11",-3.62175619584784
"12",-3.52261210618125
"13",-3.36694982765842
"14",-3.15838873430702
"15",-2.90063006786341
"16",-2.59745889070891
"17",-2.25274360213082
"18",-1.87043318755349
"19",-1.45455236597039
"20",-1.00919479701212
"21",-0.538514505795482
"22",-0.0467156808132404
"23",0.4619590024288
"24",0.983241381640322
"25",1.51285198360305
"26",2.04651522946519
"27",2.57997552528675
"28",3.10901409567498
"29",3.62946642042692
"30",4.13724013628239
"31",4.62833326822777
"32",5.09885265729034
"33",5.54503245447966
"34",5.96325255347429
"35",6.35005683784274
"36",6.70217112203974
"37",7.01652066915998
"38",7.29024717244454
"39",7.52072509184672
"40",7.70557724157184
"41",7.84268952939337
"42",7.93022475373389
"43",7.96663536996139
"44",7.95067514308404
"45",7.88140961001484
"46",7.75822528081885
"47",7.58083751481468
"48",7.34929701407552
"49",7.06399488374037
"50",6.72566621557
"51",6.33539215836038
"52",5.89460044611693
"53",5.40506436228113
"54",4.86890012575213
"55",4.28856269194264
"56",3.66683996961011
"57",3.00684546169238
"58",2.3120093458183
"59",1.58606801752681
"60",0.833052126490945
"61",0.0572731431670879
"62",-0.736691499744653
"63",-1.54401463987126
"64",-2.35963693405759
"65",-3.17828565955761
"66",-3.99449469746954
"67",-4.80262562262341
"68",-5.59688981870909
"69",-6.37137153236176
"70",-7.12005177521706
"71",-7.83683297862677
"72",-8.5155643018095
"73",-9.15006749072152
"74",-9.7341631818738
"75",-10.2616975427172
"76",-10.7265691380761
"77",-11.1227559104397
"78",-11.4443421607291
"79",-11.6855454154561
"80",-11.8407430659755
"81",-11.9044986658039
"82",-11.8715877727552
"83",-11.7370232238931
"84",-11.4960797330445
"85",-11.1443177028374
"86",-10.6776061459157
"87",-10.0921446131281
"88",-9.38448403008624
"89",-8.55154634751318
"90",-7.59064291523737
"91",-6.49949149453945
"92",-5.27623182876567
"93",-3.91943969770556
"94",-2.42813938713086
"95",-0.801814511120608
"96",0.959582868709005
"97",2.85562487618681
"98",4.88540224790807
"99",7.04752058984278
"100",9.34009849080755
"101",11.7607675128905
"102",14.306674071303
"103",16.9744832084599
"104",19.7603842593528
"105",22.6600983975491
"106",25.66888804343
"107",28.7815681086124
"108",31.9925190429264
"109",35.2957016428526
"110",38.684673573014
"111",42.1526075451755
"112",45.6923110922947
"113",49.2962478684684
"114",52.9565603992083
"115",56.6650942003596
"116",60.4134231781669
"117",64.1928762175438
"118",67.9945648605106
"119",71.8094119720691
"120",75.6281812864944
"121",79.4415077231752
"122",83.2399283577144
"123",87.0139139310553
"124",90.7539007769245
"125",94.4503230458845
"126",98.0936451027982
"127",101.674393973502
"128",105.183191715995
"129",108.610787591465
"130",111.948089910992
"131",115.186197434805
"132",118.316430202488
"133",121.330359674573
"134",124.219838068468
"135",126.977026774659
"136",129.594423742598
"137",132.06488972961
"138",134.381673310478
"139",136.538434550168
"140",138.529267247327
"141",140.34871966171
"142",141.991813644632
"143",143.454062097765
"144",144.731484692151
"145",145.820621786132
"146",146.718546487951
"147",147.422874816123
"148",147.931773918119
"149",148.243968315587
"150",148.358744152112
"151",148.27595142739
"152",147.996004209645
"153",147.51987882609
"154",146.849110039214
"155",145.98578522462
"156",144.932536574015
"157",141.557315119053
"158",140.134244029196
"159",138.532307694747
"160",136.756201362699
"161",134.81109785091
"162",132.702628822444
"163",130.436864458643
"164",128.02029161138
"165",125.459790520892
"166",122.762610191076
"167",119.936342519352
"168",116.988895282915
"169",113.928464087574
"170",110.76350338926
"171",107.50269670176
"172",104.154926107196
"173",100.72924118831
"174",97.2348275035947
"175",93.680974727886
"176",90.0770445819947
"177",86.4324386755298
"178",82.7565663870339
"179",79.0588129050754
"180",75.3485075529343
"181",73.770108753712
"182",70.0623083408565
"183",66.3692988661687
"184",62.6998793051579
"185",59.0626428054608
"186",55.4659491706408
"187",51.9178984172497
"188",48.4263055026699
"189",44.9986763161643
"190",41.6421850201325
"191",38.3636528227814
"192",35.1695282573205
"193",32.0658690363881
"194",29.0583255437611
"195",26.1521260185009
"196",23.3520634795775
"197",20.6624844317409
"198",18.0872793859639
"199",15.6298752202489
"200",13.2932293989515
"201",11.0798260611038
"202",8.99167398050841
"203",7.03030639269982
"204",5.19678267622333
"205",3.49169186811906
"206",1.91515798605215
"207",0.466847122206261
"208",-0.854023733073464
"209",-2.04867618684832
"210",-3.11875831403304
"211",-4.06633096485139
"212",-4.89385257758771
"213",-5.6041625707944
"214",-6.20046339463698
"215",-6.68630132622344
"216",-7.06554609857433
"217",-7.34236945727059
"218",-7.52122274280826
"219",-7.60681360024011
"220",-7.60408192079571
"221",-7.51817512281661
"222",-7.35442288153922
"223",-7.11831141896385
"224",-6.81545746627613
"225",-6.45158201204456
"226",-6.03248394966716
"227",-5.5640137373159
"228",-5.05204718292082
"229",-4.50245946554233
"230",-3.92109950281136
"231",-3.31376477199684
"232",-2.68617668966757
"233",-2.04395665188841
"234",-1.39260283344308
"235",-0.737467840698435
"236",-0.0837373084666566
"237",0.563590473414851
"238",1.19972382306102
"239",1.82009574367349
"240",2.42038074506062
"241",2.9965103456895
"242",3.54468719758707
"243",4.06139778280715
"244",4.54342363678159
"245",4.98785106064751
"246",5.39207929155492
"247",5.75382710698565
"248",6.07113784622104
"249",6.34238283924865
"250",6.56626324057343
"251",6.74181027255567
"252",6.86838389001429
"253",6.94566988487235
"254",6.97367545655174
"255",6.95272328062115
"256",6.8834441148324
"257",6.76676798810781
"258",6.60391402426215
"259",6.39637895819762
"260",6.14592440799678
"261",5.8545629717322
"262",5.52454322286699
"263",5.15833368284288
"264",4.75860585380764
"265",4.32821639840409
"266",3.87018855710841
"267",3.38769289676837
"268",2.88402748671258
"269",2.36259760108534
"270",1.82689504790779
"271",1.28047722673572
"272",0.726946017703506
"273",0.169926605198456
"274",-0.386953660609304
"275",-0.940086261643537
"276",-1.48590226740545
"277",-2.02089274767712
"278",-2.54162874391931
"279",-3.04478070312919
"280",-3.52713728067137
"281",-3.98562342174659
"282",-4.41731763472218
"283",-4.81946837350387
"284",-5.18950945045351
"285",-5.52507440602858
"286",-5.82400976633219
"287",-6.08438712507896
"288",-6.30451399207946
"289",-6.48294335621313
"290",-6.61848191695327
"291",-6.71019694480838
"292",-6.75742173752658
"293",-6.75975964553923
"294",-6.71708664686829
"295",-6.62955245856276
"296",-6.49758017862682
"297",-6.32186445932944
"298",-6.10336821970983
"299",-5.84331791198251
"300",-5.54319736337431
"301",-5.20474022165642
"302",-4.82992103924097
"303",-4.42094503716703
"304",-3.98023659656971
"305",-3.51042653128174
"306",-3.01433820104426
"307",-2.49497253035372
"308",-1.95549200323942
"309",-1.3992037092233
"310",-0.829541520330045
"311",-0.250047483274353
"312",0.335647485153578
"313",0.923843507995148
"314",1.510792168732
"315",2.09271734533439
"316",2.66583635827174
"317",3.22638133122591
"318",3.77062066191966
"319",4.29488049961141
"320",4.79556612541368
"321",5.26918313165218
"322",5.71235829703127
"323",6.12186005537138
"324",6.49461845715022
"325",6.82774452500842
"326",7.11854890675488
"327",7.36455973221783
"328",7.56353958353216
"329",7.71350149211457
"330",7.81272387962561
"331",7.85976436466536
"332",7.85347236174586
"333",7.79300040422798
"334",7.67781412837801
"335",7.50770086146125
"336",7.28277676282479
"337",7.00349247320375
"338",6.67063723399054
"339",6.2853414448959
"340",5.84907763529253
"341",5.36365983151805
"342",4.83124130950892
"343",4.2543107293023
"344",3.6356866551474
"345",2.97851047218525
"346",2.28623771784821
"347",1.56262785327125
"348",0.811732507064154
"349",0.0378822307337875
"350",-0.754328188161431
"351",-1.56005580242009
"352",-2.37422691205327
"353",-3.1915557362908
"354",-4.00656427951821
"355",-4.8136033142945
"356",-5.60687439928021
"357",-6.38045284491539
"358",-7.12831153506463
"359",-7.84434550859814
"360",-8.52239720102376
"361",-9.15628224285555
"362",-9.73981570840397
"363",-10.2668387061114
"364",-10.7312451994629
"365",-11.1270089458748
"366",-11.4482104398032
"367",-11.689063745652
"368",-11.8439431058717
"369",-11.9074092099449
"370",-11.8742350107496
"371",-11.7394309760724
"372",-11.4982696648035
"373",-11.1463095195825
"374",-10.6794177703785
"375",-10.0937923466365
"376",-9.38598269924801
"377",-8.55290943762744
"378",-7.59188269163848
"379",-6.50061911296216
"380",-5.27725743572674
"381",-3.92037252180416
"382",-2.42898782208881
"383",-0.80258619131106
"384",0.958880999566987
"385",2.85498650254607
"386",4.88482162556586
"387",7.04699249425299
"388",9.33961817006951
"389",11.7603306449903
"390",14.3062767252235
"391",16.9741218088083
"392",19.7600555541886
"393",22.6597994291237
"394",25.6686161215706
"395",28.7813207865162
"396",31.9922940951441
"397",35.2954970452629
"398",38.6844874846103
"399",42.1524382915003
"400",45.6921571503726
"401",49.2961078531013
"402",52.9564330505132
"403",56.6649783724292
"404",60.4133178287601
"405",64.1927803987078
"406",67.9944777100497
"407",71.8093327057874
"408",75.6281091911397
"409",79.4414421500201
"410",83.2398687167194
"411",87.0138596855606
"412",90.7538514388187
"413",94.4502781712143
"414",98.0936042877732
"415",101.674356850861
"416",105.183157951702
"417",108.610756881702
"418",111.948061979428
"419",115.186172030106
"420",118.316407096058
"421",121.330338658497
"422",124.219818953638
"423",126.977009389076
"424",129.594407929825
"425",132.06487534736
"426",134.381660229336
"427",136.538422652429
"428",138.529256425932
"429",140.348709819287
"430",141.991804692617
"431",143.454053955605
"432",144.731477286583
"433",145.820615050517
"434",146.718540361683
"435",147.422869244076
"436",147.931768850154
"437",148.243963706102
"438",148.35873995963
"439",148.275947614186
"440",147.996000741408
"441",147.519875671612
"442",146.84910717011
"443",145.985782615072
"444",144.932534200544
"445",141.557312960301
"446",140.134242065739
"447",138.532305908916
"448",136.756199738425
"449",134.811096373578
"450",132.702627478761
"451",130.436863236518
"452",128.020290499816
"453",125.459789509887
"454",122.762609271533
"455",119.936341682997
"456",116.988894522222
"457",113.928463395698
"458",110.763502759975
"459",107.502696129404
"460",104.15492558662
"461",100.729240714828
"462",97.2348270729468
"463",93.6809743361973
"464",90.0770442257409
"465",86.4324383515047
"466",82.7565660923221
"467",79.0588126370252
"468",75.3485073091335
"469",73.770108531967
"470",70.062308139172
"471",66.3692986827298
"472",62.699879138314
"473",59.0626426537111
"474",55.4659490326189
"475",51.9178982917142
"476",48.4263053884912
"477",44.9986762123148
"478",41.6421849256779
"479",38.3636527368718
"480",35.1695281791828
"481",32.0658689653192
"482",29.0583254791219
"483",26.152125959709
"484",23.3520634261043
"485",20.6624843831052
"486",18.0872793417282
"487",15.629875180015
"488",13.2932293623574
"489",11.0798260278202
"490",8.99167395023589
"491",7.03030636516623
"492",5.19678265118034
"493",3.49169184534161
"494",1.9151579653353
"495",0.466847103363582
"496",-0.854023750211516
"497",-2.04867620243596
"498",-3.11875832821052
"499",-4.06633097774628
"500",-4.8938525893158
"501",-5.60416258146172
"502",-6.20046340433927
"503",-6.686301335048
"504",-7.06554610660056
"505",-7.34236946457072
"506",-7.52122274944797
"507",-7.60681360627916
"508",-7.60408192628843
"509",-7.51817512781227
"510",-7.35442288608307
"511",-7.11831142309664
"512",-6.81545747003504
"513",-6.45158201546341
"514",-6.03248395277673
"515",-5.56401374014415
"516",-5.05204718549321
"517",-4.50245946788201
"518",-3.92109950493929
"519",-3.31376477393234
"520",-2.68617669142797
"521",-2.04395665348956
"522",-1.39260283489938
"523",-0.737467842022987
"524",-0.0837373096713812
"525",0.563590472319113
"526",1.19972382206441
"527",1.82009574276704
"528",2.42038074423618
"529",2.99651034493964
"530",3.54468719690505
"531",4.06139778218683
"532",4.54342363621738
"533",4.98785106013435
"534",5.39207929108818
"535",5.75382710656113
"536",6.07113784583486
"537",6.34238283889747
"538",6.56626324025402
"539",6.74181027226515
"540",6.86838388975006
"541",6.94566988463202
"542",6.97367545633315
"543",6.95272328042234
"544",6.88344411465157
"545",6.76676798794324
"546",6.60391402411256
"547",6.39637895806157
"548",6.14592440787303
"549",5.85456297161965
"550",5.52454322276462
"551",5.15833368274977
"552",4.75860585372296
"553",4.32821639832706
"554",3.87018855703823
"555",3.38769289670465
"556",2.88402748665463
"557",2.36259760103263
"558",1.82689504785984
"559",1.28047722669211
"560",0.726946017663845
"561",0.169926605162383
"562",-0.386953660642114
"563",-0.940086261673468
"564",-1.48590226743259
"565",-2.02089274770181
"566",-2.54162874394177
"567",-3.04478070314961
"568",-3.52713728068995
"569",-3.98562342176349
"570",-4.41731763473755
"571",-4.81946837351785
"572",-5.18950945046629
"573",-5.52507440604015
"574",-5.8240097663427
"575",-6.08438712508852
"576",-6.30451399208816
"577",-1.00302672824617
"578",-1.86875756539925
"579",-2.59820842082914
"580",-3.19287229068045
"581",-3.65472822773946
"582",-3.98624692180469
"583",-4.19039290243281
"584",-4.27062338968804
"585",-4.23088383227512
"586",-4.07560018611018
"587",-3.80966799991988
"588",-3.43843838779306
"589",-2.96770098166526
"590",-2.40366396945297
"591",-1.75293133688928
"592",-1.02247744299878
"593",-0.21961907052655
"594",0.648014896542603
"595",1.57251600604693
"596",2.54573080942161
"597",3.55929729148282
"598",4.60468296945583
"599",5.67322446518429
"600",6.75616834800758
"601",7.84471304019436
"602",8.93005157211082
"603",10.0034149704925
"604",11.0561160603346
"605",12.0795934589828
"606",13.0654555400422
"607",14.0055241447374
"608",14.891877819311
"609",15.7168943589975
"610",16.4732924420073
"611",17.1541721408117
"612",17.753054102799
"613",18.2639171980983
"614",18.681234438962
"615",19.0000069825765
"616",19.2157960375003
"617",19.3247525030356
"618",19.3236441807425
"619",19.2098804079235
"620",18.9815339742079
"621",18.6373601942968
"622",18.1768130224649
"623",17.6000581074592
"624",16.9079826999688
"625",16.1022023387953
"626",15.185064256154
"627",14.159647457151
