"","x"
"1",1.50996558013917
"2",2.86659124653113
"3",4.07819109060111
"4",5.15244845834953
"5",6.09648178640758
"6",6.91690465449981
"7",7.61988052216147
"8",8.21117257813883
"9",8.69618909488313
"10",9.08002464764118
"11",9.36749752758356
"12",9.56318365095111
"13",9.67144724112009
"14",9.69646853758011
"15",9.64226876490488
"16",9.51273257569706
"17",9.31162816405567
"18",9.04262523019758
"19",8.70931096233979
"20",8.31520418869088
"21",7.86376784030143
"22",7.35841985448516
"23",6.80254263844727
"24",6.19949120356929
"25",5.55260007241339
"26",4.8651890528627
"27",4.14056796683259
"28",3.38204041462432
"29",2.5929066501818
"30",1.77646563721029
"31",0.93601635128006
"32",0.0748583886163274
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1.64904101109677
"87",3.46314510416364
"88",5.34371777553044
"89",7.28889249229265
"90",9.29667176708338
"91",11.3649301893883
"92",13.4914177010817
"93",15.6737631106042
"94",17.9094778397341
"95",20.1959598964264
"96",22.5304980667477
"97",23.5152030677577
"98",25.9373051579343
"99",28.3987194358214
"100",30.8963438330483
"101",33.4269910316355
"102",35.9873938006642
"103",38.5742104918826
"104",41.1840306842428
"105",43.8133809670626
"106",46.458730851239
"107",49.1164987976721
"108",51.7830583518375
"109",54.4547443732213
"110",57.1278593481487
"111",59.7986797743581
"112",62.4634626055422
"113",65.118451743936
"114",67.7598845689443
"115",70.3839984897166
"116",72.987037509522
"117",75.5652587897539
"118",78.1149392013732
"119",80.6323818516277
"120",83.1139225739094
"121",85.5559363686881
"122",87.954843783533
"123",90.3071172203465
"124",92.6092871580645
"125",94.8579482792267
"126",97.0497654890019
"127",99.1814798154417
"128",101.249914179961
"129",103.251979027273
"130",105.18467780428
"131",107.045112277688
"132",108.830487680407
"133",110.538117677148
"134",112.165429139915
"135",113.709966724485
"136",115.16939723932
"137",116.541513798747
"138",117.824239752639
"139",119.015632385254
"140",120.113886376314
"141",121.117337017855
"142",122.024463180836
"143",122.833890025946
"144",123.544391453556
"145",124.15489228823
"146",124.664470193702
"147",125.072357314751
"148",125.377941642896
"149",125.580768103362
"150",125.680539361294
"151",125.677116345695
"152",125.570518490142
"153",125.3609236898
"154",125.048667974851
"155",124.634244900935
"156",124.118304657761
"157",123.501652897554
"158",122.785249285546
"159",121.970205775225
"160",121.057784611584
"161",120.049396066105
"162",118.94659590773
"163",117.751082614567
"164",116.464694331538
"165",115.089405579694
"166",113.627323723337
"167",112.080685201591
"168",110.451851531459
"169",108.743305089869
"170",106.957644682593
"171",105.097580908341
"172",103.165931326705
"173",101.165615438992
"174",99.0996494913484
"175",96.9711411098798
"176",94.783283777813
"177",92.5393511650209
"178",90.2426913205096
"179",87.8967207387247
"180",85.5049183107591
"181",83.0708191717611
"182",80.5980084560317
"183",78.0901149714705
"184",75.5508048051679
"185",72.9837748720778
"186",70.3927464187965
"187",67.7814584945569
"188",65.1536614016058
"189",62.5131101371554
"190",59.8635578391219
"191",57.2087492478413
"192",54.5524141959244
"193",53.2933343890821
"194",50.6450439855088
"195",48.0062627468169
"196",45.3805967575251
"197",42.7716054858246
"198",40.1827956926429
"199",37.6176154510208
"200",35.0794482868501
"201",32.5716074517961
"202",30.0973303389617
"203",27.659773051582
"204",25.2620051347412
"205",22.9070044797842
"206",20.5976524107734
"207",18.3367289619772
"208",16.1269083550227
"209",13.9707546839521
"210",11.8707178160324
"211",9.82912951574252
"212",7.84819979894723
"213",5.93001352381799
"214",4.07652722460946
"215",2.28956619394083
"216",0.570821818746447
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0.00906636228299513
"268",0.942804137170593
"269",1.86732733228477
"270",2.77993090255049
"271",3.67796455856137
"272",4.55883824614108
"273",5.42002749577401
"274",6.25907863152513
"275",7.0736138293393
"276",7.86133601490819
"277",8.62003359160438
"278",9.34758498931233
"279",10.0419630253384
"280",10.7012390689427
"281",11.3235870014224
"282",11.9072869640677
"283",12.4507288867297
"284",12.9524157901603
"285",13.4109668557252
"286",13.8251202565428
"287",14.1937357445611
"288",14.5157969885631
"289",14.790413658567
"290",15.0168232525849
"291",15.1943926621981
"292",15.322619473916
"293",15.4011330037936
"294",15.4296950633031
"295",15.4082004549715
"296",15.3366771968216
"297",15.2152864751767
"298",15.0443223259165
"299",14.8242110447973
"300",14.5555103279713
"301",14.238908144366
"302",13.8752213421005
"303",13.4653939916314
"304",13.0104954688316
"305",12.5117182817064
"306",11.9703756449515
"307",11.3878988070425
"308",10.7658341350251
"309",10.1058399626502
"310",9.40968320794784
"311",8.6792357667892
"312",7.91647068941662
"313",7.12345814734285
"314",6.3023611984305
"315",5.45543135835107
"316",4.5850039870032
"317",3.693493498827
"318",2.78338840629758
"319",1.85724620620202
"320",0.917688118615287
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",1.6559564435367
"375",3.46947200729778
"376",5.34950623541565
"377",7.29418833247422
"378",9.30151691135058
"379",11.3693629936583
"380",13.4954732570388
"381",15.6774735234985
"382",17.9128724825381
"383",20.199065642362
"384",22.5333395020254
"385",23.5178026862081
"386",25.9396835390787
"387",28.4008954077866
"388",30.8983346216165
"389",33.4288123966103
"390",35.9890601606304
"391",38.5757350383494
"392",41.1854254860718
"393",43.8146570660112
"394",46.4598983493683
"395",49.1175669373202
"396",51.7840355887848
"397",54.4556384436296
"398",57.1286773298031
"399",59.7994281426977
"400",62.4641472849218
"401",65.1190781545255
"402",67.7604576696373
"403",70.3845228173854
"404",72.9875172149345
"405",75.5656976704318
"406",78.1153407316551
"407",80.6327492101726
"408",83.1142586688607
"409",85.5562438606951
"410",87.9551251068137
"411",90.3073746019584
"412",92.6095226355333
"413",94.8581637166774
"414",97.0499625919153
"415",99.181660144156
"416",101.250079162023
"417",103.252129968742
"418",105.184815900063
"419",107.045238620999
"420",108.830603271428
"421",110.538223430939
"422",112.16552589366
"423",113.710055244122
"424",115.169478225603
"425",116.541587892793
"426",117.824307541004
"427",119.015694404574
"428",120.113943117556
"429",121.117388930204
"430",122.024510675249
"431",122.833933478405
"432",123.544431208048
"433",124.154928659465
"434",124.664503469609
"435",125.072387758753
"436",125.377969495998
"437",125.580793586061
"438",125.680562675319
"439",125.67713767561
"440",125.5705380048
"441",125.360941543688
"442",125.048684309305
"443",124.634259845266
"444",124.118318330274
"445",123.501665406484
"446",122.785260729919
"447",121.970216245639
"448",121.057794190926
"449",120.049404830209
"450",118.946603925976
"451",117.75108995043
"452",116.464701043092
"453",115.089411720069
