"","x"
"1",1.50996558013917
"2",2.86659124653113
"3",4.07819109060111
"4",5.15244845834953
"5",6.09648178640758
"6",6.91690465449981
"7",7.61988052216147
"8",8.21117257813883
"9",8.69618909488313
"10",9.08002464764118
"11",9.36749752758356
"12",9.56318365095111
"13",9.67144724112009
"14",9.69646853758011
"15",9.64226876490488
"16",9.51273257569706
"17",9.31162816405567
"18",9.04262523019758
"19",8.70931096233979
"20",8.31520418869088
"21",7.86376784030143
"22",7.35841985448516
"23",6.80254263844727
"24",6.19949120356929
"25",5.55260007241339
"26",4.8651890528627
"27",4.14056796683259
"28",3.38204041462432
"29",2.5929066501818
"30",1.77646563721029
"31",0.93601635128006
"32",0.0748583886163274
"33",-0.803708061754003
"34",-1.69638282951646
"35",-2.59986690862922
"36",-3.51086409039989
"37",-4.42608304036741
"38",-5.3422397778644
"39",-6.25606051950655
"40",-7.16428485003
"41",-8.06366918590444
"42",-8.95099049898877
"43",-9.82305026920145
"44",-10.6766786367473
"45",-11.508738725905
"46",-12.3161311137283
"47",-13.0957984182812
"48",-13.844729982202
"49",-14.5599666284957
"50",-15.2386054664989
"51",-15.8778047269329
"52",-16.4747886058971
"53",-17.0268520985332
"54",-17.5313658039359
"55",-17.9857806836911
"56",-18.3876327572027
"57",-18.7345477177146
"58",-19.0242454536647
"59",-19.2545444607146
"60",-19.4233661304847
"61",-19.5287389027041
"62",-19.5688022681443
"63",-19.5418106103594
"64",-19.4461368748989
"65",-19.2802760552959
"66",-19.0428484857631
"67",-18.7326029311563
"68",-18.3484194653848
"69",-17.889312130068
"70",-17.3544313658517
"71",-16.7430662094116
"72",-16.0546462497823
"73",-15.2887433382593
"74",-14.4450730467272
"75",-13.5234958698776
"76",-12.5240181673752
"77",-11.4467928426402
"78",-10.2921197555086
"79",-9.060445866626
"80",-7.75236511203084
"81",-6.36861800695916
"82",-4.91009097849808
"83",-3.37781542728637
"84",-1.77296651904032
"85",-0.0968617072431043
"86",1.64904101109677
"87",3.46314510416364
"88",5.34371777553044
"89",7.28889249229265
"90",9.29667176708338
"91",11.3649301893883
"92",13.4914177010817
"93",15.6737631106042
"94",17.9094778397341
"95",20.1959598964264
"96",22.5304980667477
"97",23.5152030677577
"98",25.9373051579343
"99",28.3987194358214
"100",30.8963438330483
"101",33.4269910316355
"102",35.9873938006642
"103",38.5742104918826
"104",41.1840306842428
"105",43.8133809670626
"106",46.458730851239
"107",49.1164987976721
"108",51.7830583518375
"109",54.4547443732213
"110",57.1278593481487
"111",59.7986797743581
"112",62.4634626055422
"113",65.118451743936
"114",67.7598845689443
"115",70.3839984897166
"116",72.987037509522
"117",75.5652587897539
"118",78.1149392013732
"119",80.6323818516277
"120",83.1139225739094
"121",85.5559363686881
"122",87.954843783533
"123",90.3071172203465
"124",92.6092871580645
"125",94.8579482792267
"126",97.0497654890019
"127",99.1814798154417
"128",101.249914179961
"129",103.251979027273
"130",105.18467780428
"131",107.045112277688
"132",108.830487680407
"133",110.538117677148
"134",112.165429139915
"135",113.709966724485
"136",115.16939723932
"137",116.541513798747
"138",117.824239752639
"139",119.015632385254
"140",120.113886376314
"141",121.117337017855
"142",122.024463180836
"143",122.833890025946
"144",123.544391453556
"145",124.15489228823
"146",124.664470193702
"147",125.072357314751
"148",125.377941642896
"149",125.580768103362
"150",125.680539361294
"151",125.677116345695
"152",125.570518490142
"153",125.3609236898
"154",125.048667974851
"155",124.634244900935
"156",124.118304657761
"157",123.501652897554
"158",122.785249285546
"159",121.970205775225
"160",121.057784611584
"161",120.049396066105
"162",118.94659590773
"163",117.751082614567
"164",116.464694331538
"165",115.089405579694
"166",113.627323723337
"167",112.080685201591
"168",110.451851531459
"169",108.743305089869
"170",106.957644682593
"171",105.097580908341
"172",103.165931326705
"173",101.165615438992
"174",99.0996494913484
"175",96.9711411098798
"176",94.783283777813
"177",92.5393511650209
"178",90.2426913205096
"179",87.8967207387247
"180",85.5049183107591
"181",83.0708191717611
"182",80.5980084560317
"183",78.0901149714705
"184",75.5508048051679
"185",72.9837748720778
"186",70.3927464187965
"187",67.7814584945569
"188",65.1536614016058
"189",62.5131101371554
"190",59.8635578391219
"191",57.2087492478413
"192",54.5524141959244
"193",53.2933343890821
"194",50.6450439855088
"195",48.0062627468169
"196",45.3805967575251
"197",42.7716054858246
"198",40.1827956926429
"199",37.6176154510208
"200",35.0794482868501
"201",32.5716074517961
"202",30.0973303389617
"203",27.659773051582
"204",25.2620051347412
"205",22.9070044797842
"206",20.5976524107734
"207",18.3367289619772
"208",16.1269083550227
"209",13.9707546839521
"210",11.8707178160324
"211",9.82912951574252
"212",7.84819979894723
"213",5.93001352381799
"214",4.07652722460946
"215",2.28956619394083
"216",0.570821818746447
"217",-1.07815082541394
"218",-2.65593511749698
"219",-4.16125476787481
"220",-5.59297542581323
"221",-6.95010601485752
"222",-8.23179979397625
"223",-9.43735514283749
"224",-10.5662160701134
"225",-11.6179724442423
"226",-12.5923599466006
"227",-13.4892597475695
"228",-14.3086979065038
"229",-15.0508444971419
"230",-15.7160124605117
"231",-16.3046561879093
"232",-16.8173698370378
"233",-17.2548853849021
"234",-17.6180704215544
"235",-17.9079256892757
"236",-18.125582372266
"237",-18.2722991423815
"238",-18.3494589669268
"239",-18.3585656849569
"240",-18.3012403589818
"241",-18.179217409393
"242",-17.9943405393422
"243",-17.7485584581959
"244",-17.4439204120727
"245",-17.082571530333
"246",-16.6667479972364
"247",-16.1987720583147
"248",-15.6810468713131
"249",-15.1160512118523
"250",-14.5063340442288
"251",-13.8545089680275
"252",-13.163248551453
"253",-12.4352785624923
"254",-11.6733721092184
"255",-10.8803437007052
"256",-10.0590432401753
"257",-9.21234996212379
"258",-8.34316632526155
"259",-7.45441187320249
"260",-6.54901707487398
"261",-5.62991715666008
"262",-4.70004593830177
"263",-3.76232968455943
"264",-2.81968098461289
"265",-1.87499267110877
"266",-0.931131790687575
"267",0.00906636228299513
"268",0.942804137170593
"269",1.86732733228477
"270",2.77993090255049
"271",3.67796455856137
"272",4.55883824614108
"273",5.42002749577401
"274",6.25907863152513
"275",7.0736138293393
"276",7.86133601490819
"277",8.62003359160438
"278",9.34758498931233
"279",10.0419630253384
"280",10.7012390689427
"281",11.3235870014224
"282",11.9072869640677
"283",12.4507288867297
"284",12.9524157901603
"285",13.4109668557252
"286",13.8251202565428
"287",14.1937357445611
"288",14.5157969885631
"289",14.790413658567
"290",15.0168232525849
"291",15.1943926621981
"292",15.322619473916
"293",15.4011330037936
"294",15.4296950633031
"295",15.4082004549715
"296",15.3366771968216
"297",15.2152864751767
"298",15.0443223259165
"299",14.8242110447973
"300",14.5555103279713
"301",14.238908144366
"302",13.8752213421005
"303",13.4653939916314
"304",13.0104954688316
"305",12.5117182817064
"306",11.9703756449515
"307",11.3878988070425
"308",10.7658341350251
"309",10.1058399626502
"310",9.40968320794784
"311",8.6792357667892
"312",7.91647068941662
"313",7.12345814734285
"314",6.3023611984305
"315",5.45543135835107
"316",4.5850039870032
"317",3.693493498827
"318",2.78338840629758
"319",1.85724620620202
"320",0.917688118615287
"321",-0.032606311224974
"322",-0.990904737672515
"323",-1.9544276553396
"324",-2.92035414472859
"325",-3.88582771167526
"326",-4.84796220926508
"327",-5.80384783071744
"328",-6.750557161595
"329",-7.6851512795711
"330",-8.60468588989468
"331",-9.50621748461388
"332",-10.3868095135725
"333",-11.2435385551602
"334",-12.0735004747945
"335",-12.8738165591293
"336",-13.6416396140228
"337",-14.3741600143665
"338",-15.0686116939547
"339",-15.7222780636909
"340",-16.3324978465524
"341",-16.8966708178908
"342",-17.4122634398206
"343",-17.8768143786444
"344",-18.2879398944815
"345",-18.6433390925042
"346",-18.9407990254482
"347",-19.1781996373382
"348",-19.353518538671
"349",-19.4648356036145
"350",-19.5103373801145
"351",-19.4883213041571
"352",-19.3971997098001
"353",-19.2355036269744
