"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0.119195294921911
"24",0.529615729621812
"25",0.94529701849062
"26",1.36300485685293
"27",1.77953649543574
"28",2.19173017144694
"29",2.59647547757256
"30",2.99072449864885
"31",3.37150355642431
"32",3.73592541245016
"33",4.08120178790901
"34",4.40465606725106
"35",4.70373605998061
"36",4.9760267019347
"37",5.2192625840242
"38",5.43134020273183
"39",5.6103298327627
"40",5.75448692818121
"41",5.86226296417932
"42",5.9323156373629
"43",5.96351834813794
"44",5.95496889445562
"45",5.90599731185224
"46",5.8161728004216
"47",5.68530968507801
"48",5.51347236122564
"49",5.30097918374418
"50",5.04840526302137
"51",4.756584137619
"52",4.42660829903195
"53",4.05982854988623
"54",3.65785218280587
"55",3.22253997305319
"56",2.75600198388958
"57",2.26059218940444
"58",1.73890192529993
"59",1.1937521837777
"60",0.628184774239382
"61",0.0454523769579136
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0.842387901930843
"97",2.28010449930403
"98",3.81929672991831
"99",5.45895442401741
"100",7.19770042128394
"101",9.03379038007657
"102",10.9651140048612
"103",12.9891976962605
"104",15.1032086223473
"105",17.3039602040061
"106",19.5879190013928
"107",21.9512129827633
"108",24.3896411512522
"109",26.8986844995636
"110",29.4735182570395
"111",32.1090253881915
"112",34.799811296575
"113",37.5402196828311
"114",40.3243495008864
"115",43.1460729516721
"116",45.9990544493313
"117",48.8767704907607
"118",51.7725303554658
"119",54.679497559148
"120",57.5907119811739
"121",60.4991125831442
"122",63.3975606331622
"123",66.2788633481396
"124",69.1357978645676
"125",71.9611354466269
"126",74.7476658393344
"127",77.488221673614
"128",80.1757028297554
"129",82.8031006656673
"130",85.3635220166783
"131",87.8502128743398
"132",90.2565816527789
