"","x"
"1",-0.702842843546569
"2",-1.30396563415626
"3",-1.81114425907409
"4",-2.23132601834519
"5",-2.57075711713104
"6",-2.835093994906
"7",-3.02950030963682
"8",-3.15873117853903
"9",-3.22720608739302
"10",-3.23907171440813
"11",-3.19825576935861
"12",-3.10851282164334
"13",-2.97346297980452
"14",-2.79662418791967
"15",-2.5814388194206
"16",-2.33129517477396
"17",-2.04954442474032
"18",-1.73951348443548
"19",-1.40451425410428
"20",-1.04784961947984
"21",-0.672816567029354
"22",-0.282706736571691
"23",0.119195294921911
"24",0.529615729621812
"25",0.94529701849062
"26",1.36300485685293
"27",1.77953649543574
"28",2.19173017144694
"29",2.59647547757256
"30",2.99072449864885
"31",3.37150355642431
"32",3.73592541245016
"33",4.08120178790901
"34",4.40465606725106
"35",4.70373605998061
"36",4.9760267019347
"37",5.2192625840242
"38",5.43134020273183
"39",5.6103298327627
"40",5.75448692818121
"41",5.86226296417932
"42",5.9323156373629
"43",5.96351834813794
"44",5.95496889445562
"45",5.90599731185224
"46",5.8161728004216
"47",5.68530968507801
"48",5.51347236122564
"49",5.30097918374418
"50",5.04840526302137
"51",4.756584137619
"52",4.42660829903195
"53",4.05982854988623
"54",3.65785218280587
"55",3.22253997305319
"56",2.75600198388958
"57",2.26059218940444
"58",1.73890192529993
"59",1.1937521837777
"60",0.628184774239382
"61",0.0454523769579136
"62",-0.550992477809179
"63",-1.15750946763482
"64",-1.77028353005036
"65",-2.38533886157576
"66",-2.99855381165486
"67",-3.60567661514326
"68",-4.20234190287992
"69",-4.78408792602215
"70",-5.34637442624763
"71",-5.88460108064159
"72",-6.39412644710438
"73",-6.87028733345399
"74",-7.30841851105955
"75",-7.70387269184447
"76",-8.05204068584778
"77",-8.34837165523459
"78",-8.58839337970802
"79",-8.76773244770443
"80",-8.88213428754771
"81",-8.92748295289699
"82",-8.8998205773603
"83",-8.79536641403879
"84",-8.61053537703135
"85",-8.3419560035479
"86",-7.98648775725511
"87",-7.541237595794
"88",-7.00357572806523
"89",-6.37115048985834
"90",-5.64190226968848
"91",-4.81407642030457
"92",-3.88623509520441
"93",-2.85726795364563
"94",-1.72640168203541
"95",-0.493208284223682
"96",0.842387901930843
"97",2.28010449930403
"98",3.81929672991831
"99",5.45895442401741
"100",7.19770042128394
"101",9.03379038007657
"102",10.9651140048612
"103",12.9891976962605
"104",15.1032086223473
"105",17.3039602040061
"106",19.5879190013928
"107",21.9512129827633
"108",24.3896411512522
"109",26.8986844995636
"110",29.4735182570395
"111",32.1090253881915
"112",34.799811296575
"113",37.5402196828311
"114",40.3243495008864
"115",43.1460729516721
"116",45.9990544493313
"117",48.8767704907607
"118",51.7725303554658
"119",54.679497559148
"120",57.5907119811739
"121",60.4991125831442
"122",63.3975606331622
"123",66.2788633481396
"124",69.1357978645676
"125",71.9611354466269
"126",74.7476658393344
"127",77.488221673614
"128",80.1757028297554
"129",82.8031006656673
"130",85.3635220166783
"131",87.8502128743398
"132",90.2565816527789
"133",92.5762219526171
"134",94.802934734295
"135",96.9307498148386
"136",98.9539466046447
"137",100.867074003747
"138",102.664969380237
"139",104.342776557042
"140",105.895962737108
"141",107.320334301128
"142",108.612051416374
"143",109.767641399812
"144",110.784010783556
"145",111.658456035812
"146",112.388672895723
"147",112.972764285986
"148",113.409246772717
"149",113.69705554772
"150",113.835547914192
"151",113.824505262741
"152",113.664133530581
"153",113.355062142732
"154",112.898341440035
"155",112.295438604743
"156",111.5482321004
"157",110.659004648518
"158",109.630434770343
"159",108.465586927632
"160",107.167900301847
"161",105.741176256494
"162",93.3816852932966
"163",92.5609376462322
"164",91.1612369540375
"165",89.6079299935677
"166",87.6133036156321
"167",85.3726518547819
"168",83.3918469886616
"169",81.3494202925128
"170",79.0735238688121
"171",85.441078107955
"172",82.9333646257776
"173",80.3643736734368
"174",77.7409852164396
"175",67.3117655344908
"176",64.6867390490962
"177",62.2869770606014
"178",59.5592230853835
"179",57.1743113472018
"180",54.4496307954494
"181",51.8576502273746
"182",49.4311133623513
"183",46.9785272126831
"184",44.5927460330846
"185",42.2544094849138
"186",39.6681334480574
"187",37.4693519102234
"188",39.2069995048416
"189",33.598313315482
"190",31.3165521831883
"191",28.8540874236508
"192",26.4098050841691
"193",24.0314442608506
"194",22.0681576654385
"195",20.2308720578993
"196",18.454322366871
"197",16.6384296694018
"198",14.9931114689841
"199",13.1762314585416
"200",11.448734115377
"201",10.0712105124313
"202",8.44185226831718
"203",6.90674393566536
"204",5.46679763575681
"205",4.12257306126279
"206",2.87428115248379
"207",1.80799352522854
"208",0.664626675291715
"209",-0.168699611509333
"210",-1.08102640349824
"211",-1.81517270736996
"212",-2.63148404382084
"213",-3.14406059213194
"214",-3.74311693973828
"215",-4.08639057786163
"216",-4.52149981396713
"217",-4.36183951486099
"218",-4.55890156026796
"219",-4.68510286614864
"220",-4.74406037517804
"221",-4.73955060087851
"222",-4.67549084725389
"223",-4.55592008364297
"224",-4.38497955874737
"225",-4.16689323841659
"226",-3.90594815201915
"227",-3.60647473212106
"228",-3.27282723172417
"229",-2.9093643024824
"230",-2.52042981612387
"231",-2.11033400977765
"232",-1.68333503401945
"233",-1.24362098024038
"234",-0.79529246141537
"235",-0.342345817497399
"236",0.111342986474319
"237",0.56203370488738
"238",1.00613633771919
"239",1.44022478132177
"240",1.86104955097422
"241",2.26554952674102
"242",2.6508626787601
"243",3.01433573284337
"244",3.35353274218702
"245",3.66624253603459
"246",3.95048502128928
"247",4.20451631831444
"248",4.42683271746643
"249",4.61617344824832
"250",4.77152225833672
"251",4.89210780508839
"252",4.97740286745993
"253",5.0271223915468
"254",5.04122038814225
"255",5.01988570581602
"256",4.96353670798967
"257",4.87281488731504
"258",4.7485774553389
"259",4.59188894991827
"260",4.40401190713434
"261",4.18639664851931
"262",3.94067023822747
"263",3.66862466835089
"264",3.37220433387745
"265",3.05349286179965
"266",2.71469936159336
"267",2.35814416669514
"268",1.98624413868855
"269",1.60149760766437
"270",1.20646902364871
"271",0.803773395066222
"272",0.396060590942159
"273",-0.0140004160631728
"274",-0.423737288659139
"275",-0.830489969155396
"276",-1.23162615275776
"277",-1.62455651477771
"278",-2.00674961794828
"279",-2.37574642770715
"280",-2.72917436531749
"281",-3.06476083101062
"282",-3.38034613195537
"283",-3.67389575277734
"284",-3.9435119095482
"285",-4.18744433162343
"286",-4.4041002194223
"287",-4.59205333019036
"288",-4.75005214794154
"289",-4.84673301807223
"290",-4.91589297120125
"291",-4.95650881094623
"292",-4.96779058335971
"293",-4.94917917391951
"294",-4.90034351959174
"295",-4.82117734731166
"296",-4.71179536471314
"297",-4.57252884229008
"298",-4.40392053850835
"299",-4.20671893080624
"300",-3.98187172601326
"301",-3.73051863355168
"302",-3.4539833939267
"303",-3.15376506351326
"304",-2.83152856455092
"305",-2.48909451659901
"306",-2.12842837252234
"307",-1.75162888838225
"308",-1.36091596243145
"309",-0.958617883770614
"310",-0.54715803612485
"311",-0.129041106655606
"312",0.293161146245719
"313",0.716824508640889
"314",1.13928724948626
"315",1.55786531834334
"316",1.96986773652298
"317",2.37261211387852
"318",2.76344022191513
"319",3.13973355273552
"320",3.49892879258985
"321",3.83853313842065
"322",4.15613938581446
"323",4.44944071715468
"324",4.71624511952449
"325",4.9544893630247
"326",5.16225247163589
"327",5.3377686205557
"328",5.47943939607669
"329",5.58584535652331
"330",5.65575683551372
"331",5.68814393186321
"332",5.6821856337599
"333",5.63727802842092
"334",5.55304155225769
"335",5.42932724062096
"336",5.26622194044409
"337",5.06405245353649
"338",4.82338858288195
"339",4.54504505903761
"340",4.23008232860265
"341",3.87980619169383
"342",3.495766280418
"343",3.07975337544065
"344",2.63379556289288
"345",2.16015323901628
"346",1.66131297508982
"347",1.13998026029536
"348",0.599071145234955
"349",0.0417028137906785
"350",-0.528816884106729
"351",-1.10900090147587
"352",-1.69519542311533
"353",-2.28359320788511
"354",-2.87024779378967
"355",-3.45108851115407
"356",-4.02193624534351
"357",-4.57851988687073
"358",-5.11649340338964
"359",-5.63145346499461
"360",-6.11895755144555
"361",-6.57454246744277
"362",-6.99374318988463
"363",-7.37211196916399
"364",-7.70523760501624
"365",-7.98876481622188
"366",-8.21841362258985
"367",-8.3899986571292
"368",-8.49944832613704
"369",-8.54282373510197
"370",-8.51633729885
"371",-8.4163709552319
"372",-8.23949390286865
"373",-7.98247978503298
"374",-7.64232324364722
"375",-7.2162557695958
"376",-6.70176077810682
"377",-6.09658784080811
"378",-5.39876600922141
"379",-4.60661616790225
"380",-3.71876235914696
"381",-2.73414202516299
"382",-1.6520151178076
"383",-0.471972030446669
"384",0.806059688881093
"385",2.18180987896827
"386",3.65466159259649
"387",5.22364823518476
"388",6.88745203549756
"389",8.64440386361313
"390",10.4924844058969
"391",12.4293267012208
"392",14.4522200371207
"393",16.5581151990306
"394",18.7436310601856
"395",21.0050624942821
"396",23.338389587526
"397",25.7392881213333
"398",28.203141291682
"399",30.7250526259667
"400",33.2998600532261
"401",35.9221510787764
"402",38.5862790096571
"403",41.2863801728619
"404",44.0163920641363
"405",46.7700723611618
"406",49.541018731257
"407",52.3226893603189
"408",55.1084241265927
"409",57.8914663400574
"410",60.6649849657121
"411",63.422097246876
"412",66.15589164279
"413",68.8594509933293
"414",71.5258758224944
"415",74.1483076915874
"416",76.7199525125667
"417",79.2341037320242
"418",81.684165296552
"419",84.0636743109475
"420",86.3663233017461
"421",88.5859819999696
"422",90.7167185587415
"423",92.7528201235005
"424",94.6888126749895
"425",96.5194800679551
"426",98.2398821915582
"427",99.8453721808899
"428",101.33161261264
"429",102.694590621916
"430",103.930631881401
"431",105.036413388493
"432",106.008975010713
"433",106.845729744553
"434",107.544472647971
"435",108.103388411961
"436",108.521057541979
"437",108.79646112547
"438",108.928984167331
"439",108.91841748076
"440",108.764958126658
"441",108.469208400469
"442",108.032173371048
"443",107.455256981877
"444",106.740256730592
"445",105.889356948379
"446",104.905120706316
"447",103.7904803811
"448",102.548726917882
"449",101.183497833012
"450",100.164607488578
"451",98.5279672257506
"452",96.8006768346602
"453",94.9695031552533
"454",93.0522291412317
"455",91.0460814971653
"456",88.9351426476132
"457",86.7393766788864
"458",84.4724985203682
"459",81.7583787876753
"460",79.3587532995892
"461",76.9004915357294
"462",74.3901769198844
"463",72.1688775169613
"464",69.5707910546865
"465",66.9296464296207
"466",64.276362469701
"467",61.5890849218626
"468",58.9042601457878
"469",56.2084886177348
"470",53.5072414042034
"471",50.8155494560284
"472",48.1360603836571
"473",45.476109648032
"474",42.8547603097924
"475",40.2507654765034
"476",37.5170911658035
"477",35.1457553658952
"478",32.682178814735
"479",30.2827495188699
"480",27.9438211508913
"481",25.6679729360199
"482",23.4444906497749
"483",21.2898557779296
"484",19.2105798544771
"485",17.2143428840338
"486",15.2951238521415
"487",13.4703509653986
"488",11.7311081554086
"489",10.0681411819222
"490",8.50901187954515
"491",7.04007010912319
"492",5.6621886774934
"493",4.37590315333649
"494",3.1814153849596
"495",2.074882690632
"496",1.06700189979398
"497",0.140287186900246
"498",-0.689614093487442
"499",-1.43521927928466
"500",-2.08703916184174
"501",-2.66372694861064
"502",-3.15075822287297
"503",-3.56544042909782
"504",-3.89559107474167
"505",-4.17383459068679
"506",-4.36240282636501
"507",-4.48316457701589
"508",-4.53958088709051
"509",-4.53526549403099
"510",-4.47396685738041
"511",-4.35954985797127
"512",-4.19597724753277
"513",-3.98729092964994
"514",-3.73759315324976
"515",-3.45102769968303
"516",-3.13176114402285
"517",-2.78396427040283
"518",-2.41179372007817
"519",-2.01937394943085
"520",-1.61077957333465
"521",-1.19001816718476
"522",-0.761013598473196
"523",-0.327589956067742
"524",0.10654385765272
"525",0.537808809928846
"526",0.962769637674084
"527",1.37814790988051
