"","x"
"1",1.4100709531386
"2",2.64794360296518
"3",3.72901015565033
"4",4.66691392693224
"5",5.47376400123199
"6",6.16032492991612
"7",6.73618433585589
"8",7.20990095951806
"9",7.5891353884062
"10",7.8807654522909
"11",8.09098803738165
"12",8.22540886991243
"13",8.28912164045711
"14",8.28677768193159
"15",8.22264727426784
"16",8.10067352502995
"17",7.92451966589883
"18",7.69761050831398
"19",7.42316871615648
"20",7.1042464778822
"21",6.74375309381714
"22",6.34447893539154
"23",5.90911618101032
"24",5.44027668724519
"25",4.94050731337775
"26",4.41230298140607
"27",3.85811772189352
"28",3.28037392800754
"29",2.6814700153319
"30",2.06378666316014
"31",1.42969179365645
"32",0.781544428198189
"33",0.121697545139094
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0.557182131556936
"86",1.85800476593328
"87",3.21036998487016
"88",4.61303673212832
"89",6.06466337248962
"90",7.56380962045291
"91",9.10893865849109
"92",10.6984194412308
"93",12.3305291815449
"94",14.0034560141988
"95",15.7153018323342
"96",17.4640852917435
"97",18.0689126296688
"98",19.8853103797552
"99",21.7322347588444
"100",23.607404677069
"101",25.5084731463547
"102",27.4330311678134
"103",29.3786117430408
"104",31.3426940019772
"105",33.3227074397637
"106",35.3160362548138
"107",37.3200237801185
"108",39.3319769996288
"109",41.3491711413835
"110",43.3688543389054
"111",45.3882523522491
"112",47.4045733399716
"113",49.4150126731886
"114",51.4167577827982
"115",53.4069930308852
"116",55.3829045972648
"117",57.3416853720972
"118",59.2805398454822
"119",61.1966889849465
"120",63.0873750917506
"121",64.9498666269851
"122",66.7814629984697
"123",68.5794992995422
"124",70.3413509909114
"125",72.0644385168466
"126",73.7462318471018
"127",75.3842549361042
"128",76.9760900910893
"129",78.5193822410317
"130",80.0118430984089
"131",81.451255206025
"132",82.8354758613421
"133",84.1624409109897
"134",85.4301684083632
"135",86.6367621274832
"136",87.7804149265458
"137",88.8594119548818
"138",89.872133697329
"139",90.8170588503298
"140",91.6927670243763
"141",92.4979412677512
"142",93.2313704068476
"143",93.8919511986895
"144",94.4786902916317
"145",94.9907059905712
"146",95.4272298233703
"147",95.7876079055635
"148",96.0713021007967
"149",96.2778909748301
"150",96.4070705413223
"151",96.4586547980035
"152",96.4325760522356
"153",96.3288850353561
"154",96.1477508055919
"155",95.8894604397304
"156",95.5544185141275
"157",95.143146376027
"158",94.6562812065604
"159",94.0945748771818
"160",93.4588926016845
"161",92.7502113863237
"162",83.0362220134448
"163",82.8885395897908
"164",82.2884544579582
"165",81.5847317401424
"166",80.5366157207442
"167",79.3024682214199
"168",78.2972589198161
"169",77.2520173086739
"170",76.0213681484366
"171",81.9392551336231
"172",80.5219103506136
"173",79.0511863611896
"174",77.5292874271318
"175",69.5456820848767
"176",67.999580087577
"177",66.623086902534
"178",64.9555196260822
"179",63.5480481382199
"180",61.833213696295
"181",60.198398630119
"182",58.6676336505261
"183",57.0797266998277
"184",55.5086533384504
"185",53.9357862788318
"186",52.1145090862976
"187",50.5677590667129
"188",52.226850821565
"189",47.7639569323748
"190",45.9994957507667
"191",44.0326970803933
"192",42.0266798642177
"193",41.1986895934083
"194",39.4788445049112
"195",37.8064627293758
"196",36.1272622776977
"197",34.3584284972856
"198",32.6736231175535
"199",30.7904456329095
"200",28.9252245622301
"201",27.2942392389326
"202",25.4011814720842
"203",23.533473023306
"204",21.6934604430768
"205",19.8834248188761
"206",18.1055780143639
"207",16.4333124560293
"208",14.6549306045545
"209",13.0930558402163
"210",11.4289480273698
"211",9.87818176828999
"212",8.22872252746662
"213",6.8028449963553
"214",5.28144933848517
"215",3.95099355363298
"216",2.52781009125748
"217",1.58317211561809
"218",0.334436058802751
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0.100269326786327
"269",0.772706155677364
"270",1.43834088590764
"271",2.09518110451573
"272",2.74127610524097
"273",3.37472093514304
"274",3.99366034208739
"275",4.59629261542789
"276",5.1808733124292
"277",5.74571886319448
"278",6.28921004709961
"279",6.80979533398911
"280",7.30599408364848
"281",7.77639959734678
"282",8.21968201552859
"283",8.63459105603594
"284",9.01995858754858
"285",9.37470103325212
"286",9.69782160007299
"287",9.98841232915693
"288",10.2456559636156
"289",10.418591448106
"290",10.5629588241947
"291",10.6776738943091
"292",10.761811046732
"293",10.814596515079
"294",10.8354023281199
"295",10.8237408464207
