"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0.171207021712206
"25",0.587889822256209
"26",1.00853142394525
"27",1.42992329301126
"28",1.84888614910609
"29",2.26228057703953
"30",2.6670184482328
"31",3.06007499228721
"32",3.43850136838821
"33",3.79943759474306
"34",4.14012570202659
"35",4.4579229840109
"36",4.75031522529386
"37",5.01492979242269
"38",5.24954848079899
"39",5.45212001563346
"40",5.62077211095169
"41",5.75382299627437
"42",5.84979232616245
"43",5.90741139335623
"44",5.92563257177259
"45",5.9036379211777
"46",5.84084689094723
"47",5.73692306595637
"48",5.59177990332773
"49",5.40558541450419
"50",5.17876575289753
"51",4.91200767319971
"52",4.60625983431491
"53",4.26273292377135
"54",3.8828985873885
"55",3.46848715389876
"56",3.02148415013069
"57",2.54412560824305
"58",2.03889217233626
"59",1.50850201753823
"60",0.955902600354477
"61",0.384261264658041
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0.524036251166446
"97",1.93809350852521
"98",3.45552049098187
"99",5.07549492697875
"100",6.79682234019746
"101",8.6179350042585
"102",10.5368923343629
"103",12.5513827239767
"104",14.6587268287783
"105",16.8558822941875
"106",19.1394499168911
"107",21.5056812248897
"108",23.9504874547608
"109",26.4694498990575
"110",29.0578315910977
"111",31.7105902888381
"112",34.4223927141266
"113",37.1876299983741
"114",40.0004342806326
"115",42.8546963992211
"116",45.7440846134157
"117",48.6620642873611
"118",51.6019184642495
"119",54.5567692550065
"120",57.5195999622007
"121",60.4832778567059
"122",63.4405775217721
"123",66.3842046766396
"124",69.3068203896639
"125",72.2010655891078
"126",75.0595857783295
"127",77.8750558610324
"128",80.6402049815748
"129",83.3478412850404
"130",85.9908765018848
"131",88.5623502624439
"132",91.0554540474771
"133",93.4635546821669
