"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",56
"110",62
"111",63
"112",45
"113",40
"114",55
"115",92
"116",115.4
"117",97.4
"118",94
"119",149
"120",81.2
"121",91
"122",98.4
"123",74
"124",181.6
"125",365.4
"126",849.4
"127",1160
"128",817.4
"129",487.6
"130",365
"131",420.4
"132",462.2
"133",578.8
"134",655.6
"135",637
"136",647.6
"137",572
"138",546.4
"139",577
"140",554.8
"141",539.6
"142",561.8
"143",742
"144",746.4
"145",390.4
"146",446.8
"147",349.6
"148",393.2
"149",416.4
"150",449.6
"151",460.8
"152",476.4
"153",367.4
"154",434.4
"155",363.6
"156",445.2
"157",479.6
"158",506.2
"159",463.6
"160",417.4
"161",417.2
"162",407.2
"163",377.4
"164",367
"165",430
"166",443.6
"167",383.6
"168",409.8
"169",447.6
"170",385
"171",437.2
"172",431.2
"173",400.4
"174",388
"175",277.2
"176",203.4
"177",220.8
"178",174.4
"179",192
"180",171.2
"181",190
"182",175.6
"183",151.2
"184",150
"185",162.8
"186",140.8
"187",126
"188",107
"189",99
"190",95.6
"191",74
"192",61
"193",52
"194",43.6
"195",40
"196",37
"197",22
"198",19
"199",13
"200",10
"201",10
