"","x"
"1",4.95662150702757
"2",0.772042547897855
"3",-9.10958418141128
"4",-19.1505157614788
"5",-23.1981046234836
"6",-16.2309048026029
"7",4.12236799965778
"8",36.7235850172352
"9",76.9805632104581
"10",117.825656345742
"11",151.376946024648
"12",170.855792050065
"13",172.262255941451
"14",155.370490885801
"15",123.783562096037
"16",84.0340624504387
"17",43.9674673403471
"18",10.8326045304917
"19",-10.4220192756678
"20",-18.2056538565675
"21",-14.4313622135335
"22",-3.73058810681414
"23",8.03476390348839
"24",15.5472534748697
"25",15.6063488378875
"26",8.06700898071438
"27",-4.11259847439572
"28",-15.7276259667033
"29",-20.8534562226028
"30",-14.624841957067
"31",5.22250645233236
"32",37.4771698588354
"33",77.4967619780851
"34",118.179247810153
"35",151.619152964195
"36",171.021701602384
"37",172.37590247694
"38",155.448337729747
"39",123.836886476639
"40",84.070589166518
"41",43.9924878088925
"42",10.8497433240497
"43",-10.4102793578445
"44",-18.1976121195554
"45",-14.4258536967666
"46",-3.72681482289237
"47",8.03734856868175
"48",15.5490239470367
"49",5.26868698946153
"50",-3.08766247776082
"51",-19.5943864657325
"52",-35.5108551878119
"53",-41.2770989483985
"54",-29.2930135432249
"55",3.74073520734193
"56",55.576680994672
"57",118.634422357774
"58",181.648438130877
"59",232.3381431858
"60",260.411288806197
"61",260.117627770285
"62",231.684095467711
"63",181.255350045919
"64",119.356420261642
"65",58.2826440063717
"66",9.10246068506837
"67",-20.9437136739565
"68",-29.9761143696951
"69",-21.5566355154353
"70",-3.32514715528974
"71",15.4157160567607
"72",26.4951504470254
"73",25.2788479348031
"74",12.0247839248006
"75",-8.18088325133374
"76",-26.8909367341715
"77",-34.7670036032924
"78",-24.3763380978241
"79",7.45399840149469
"80",58.3810807770386
"81",120.752413388338
"82",183.248026760771
"83",233.546214300342
"84",261.323670771483
"85",260.806693869589
"86",232.20450479985
"87",181.648383273429
"88",119.653254135262
"89",58.5068244124065
"90",9.27177038627266
"91",-20.815844448323
"92",-29.8795425917768
"93",-21.4837007788394
"94",-3.27006402523886
"95",15.4573169640624
"96",26.5265690589802
"97",10.5006306140858
"98",4.96446863602509
"99",-11.6164553175881
"100",-30.1223932881421
"101",-39.7819254341925
"102",-31.2525002974929
"103",0.558155721462237
"104",54.7250170393774
"105",124.106425321718
"106",196.80506583774
"107",258.934788512404
"108",297.984939414908
"109",305.908082394406
"110",281.123938703088
"111",228.914492969479
"112",160.107398283303
"113",88.3944886122271
"114",26.9894555544894
"115",-14.5016061001826
"116",-32.1860038317237
"117",-28.434071803054
"118",-10.7588373254308
"119",10.641104746454
"120",25.9869310800305
"121",28.8157208476089
"122",17.8725926938082
"123",-2.51905723946418
"124",-23.7107217376235
"125",-35.2631023906473
"126",-28.0677205504357
"127",2.8027273587062
"128",56.3069480471261
"129",125.221339932486
"130",197.590836255801
"131",259.488584421021
"132",298.375244141774
"133",306.183161674414
"134",281.317809299782
"135",229.051129244888
"136",160.203696907622
"137",88.4623580342967
"138",27.0372886204822
"139",-14.467894273376
"140",-32.1622443832534
"141",-28.4173265998096
"142",-10.7470356275906
"143",10.6494223565706
"144",25.992793171993
"145",6.84384813445449
"146",0.854182757811428
"147",-13.14569828314
"148",-27.434890935415
"149",-33.4655890221058
"150",-24.2879876173393
"151",3.35429710001239
"152",47.8528967207653
"153",102.833676378193
"154",158.53050075082
"155",204.094278252881
"156",230.2436073765
"157",231.567081256872
"158",207.87489937882
"159",164.245696498924
"160",109.757269241249
"161",55.2357268241005
"162",10.614270083054
"163",-17.4080592049041
"164",-26.8019289910984
"165",-20.3772528588668
"166",-4.66667799633533
"167",12.1531034082736
"168",22.7229180302702
"169",22.6675705114543
"170",11.8734624793159
"171",-5.47212295820553
"172",-22.0911879207315
"173",-29.7443559983874
"174",-21.696605727522
"175",5.15887640371926
"176",49.1095646307185
"177",103.708791277639
"178",159.139910827394
"179",204.518657544863
"180",230.539135445999
"181",231.772880270896
"182",208.018213123077
"183",164.345496925037
"184",109.826767984051
"185",55.2841241650666
"186",10.6479728885745
"187",-17.3845893390544
"188",-26.7855851112792
"189",-20.3658713533542
"190",-4.65875217522277
"191",12.1586227695074
"192",22.7267615876753
"193",5.23751858819584
"194",-1.27606666966396
"195",-15.2341693329875
"196",-29.277515976323
"197",-35.0774438223406
"198",-25.7743011386326
"199",1.90354252649275
"200",46.432442633388
"201",101.548189192083
"202",157.575350392332
"203",203.701345733456
"204",230.609542916682
"205",232.7853305896
"206",209.891375069534
"207",166.851426044117
"208",112.621348839125
"209",57.9710556704473
"210",12.8596945518081
"211",-15.910058449262
"212",-26.1518308966715
"213",-20.5028950018512
"214",-5.3491101264794
"215",11.2194782229512
"216",21.851958739631
"217",22.105393278638
"218",11.744514229404
"219",-5.18337573506996
"220",-21.5191484556256
"221",-29.0886364709805
"222",-21.151445441732
"223",5.47199840435852
"224",49.1869905118372
"225",103.674468533725
"226",159.216659252514
"227",204.968298161463
"228",231.587523657402
"229",233.540249486376
"230",210.474108979294
"231",167.301247622348
"232",112.96857327356
"233",58.2390837369148
"234",13.0665896815566
"235",-15.7503528062007
"236",-26.0285515693301
"237",-20.4077337272811
"238",-5.27565362429772
"239",11.2761804659291
"240",21.8957281033121
"241",13.4463617149228
"242",3.82762100579164
"243",-19.3823022502635
"244",-43.1893303249942
"245",-54.097766088244
"246",-41.6416486431977
"247",-1.35212859622128
"248",63.7293526090714
"249",143.47080014142
"250",222.948663690204
"251",286.058060261767
"252",319.505441645953
"253",316.143313878838
"254",276.77355326378
"255",209.946572765018
"256",129.810938468881
"257",52.5811151348005
"258",-7.44717281638609
"259",-41.2904110198908
"260",-47.1998519350293
"261",-30.6308790733503
"262",-2.30131269315438
"263",25.1084199469746
"264",40.6999318190622
"265",38.5193447255409
"266",19.2737028283736
"267",-9.86682323570591
"268",-37.3273685720717
"269",-50.4865347944589
"270",-39.4169682363848
"271",0.0183742904186576
"272",64.5736438414374
"273",143.990921399097
"274",223.269081707492
"275",286.255452128158
"276",319.627043886823
"277",316.218226311934
"278",276.819702681686
"279",209.975002875817
"280",129.828452691957
"281",52.5919046815638
"282",-7.44052597176996
"283",-41.2863162655586
"284",-47.1973293827494
"285",-30.6293250680331
"286",-2.30035535619641
"287",25.1090097094682
"288",40.7002951392037
"289",22.243448391871
"290",8.87737708326311
"291",-23.1551658953468
"292",-54.7895343991135
"293",-67.6651425842295
"294",-48.2323515875661
"295",8.66584988335615
"296",98.071367703691
"297",205.719767270513
"298",311.29188199505
"299",393.321949968858
"300",434.506548979479
"301",426.033313265967
"302",369.796146956665
"303",277.916110326178
"304",169.695807092507
"305",66.8102472403281
"306",-12.0016066128272
"307",-55.3560745045843
"308",-61.6115772884398
"309",-38.6286618170899
"310",-1.01384323591153
"311",34.3699438959439
"312",53.3840836556006
"313",48.7201168365687
"314",22.0088935190034
"315",-16.6423856238301
"316",-51.5594195016739
"317",-66.0631167495345
"318",-47.4378019023322
"319",9.05991918525696
"320",98.266812516755
"321",205.816701172163
"322",311.339957874587
"323",393.345793950725
"324",434.518374773968
"325",426.039178453085
"326",369.799055887643
"327",277.917553055842
"328",169.696522636773
"329",66.8106021256608
"330",-12.0014306019145
"331",-55.3559872092285
"332",-61.6115339929473
"333",-38.6286403440155
"334",-1.01383258600556
"335",34.3699491779308
"336",53.3840862752843
"337",13.332013778475
"338",2.52360974234307
"339",-19.630980536502
"340",-39.537564325663
"341",-44.6321752891432
"342",-26.1365023748068
"343",18.6067184649729
"344",85.149681033522
"345",162.734091533102
"346",236.747099256161
"347",292.242022606821
"348",317.622733173815
"349",307.533567746321
"350",264.198653688497
"351",196.85992117229
"352",119.462838498936
"353",47.199291376339
"354",-7.18494098978463
"355",-36.3543920261656
"356",-39.8562371028334
"357",-23.739829418117
"358",1.54042435026771
"359",24.3444773190822
"360",35.2972101804746
"361",30.0229777399867
"362",10.4162527172429
"363",-15.8987926728843
"364",-37.7727275918042
"365",-43.7976383336111
"366",-25.7418755423145
"367",18.7933253442616
"368",85.2379216814727
"369",162.775817818759
"370",236.766830331976
"371",292.251352825092
"372",317.627145146777
"373",307.535654032499
"374",264.199640228998
"375",196.860387676919
"376",119.463059094613
"377",47.1993956892426
"378",-7.18489166342411
"379",-36.3543687012484
"380",-39.8562260731982
"381",-23.739824202542
"382",1.54042681655251
"383",24.3444784853124
"384",35.2972107319489
"385",1.81752932366756
"386",-6.98379018277096
"387",-19.3815395410271
"388",-27.5824268717943
"389",-24.7557081361045
"390",-6.80829361924418
"391",26.3965949458883
"392",70.7830775925329
"393",118.892182028735
"394",161.615399818968
"395",190.398427967244
"396",199.347855055975
"397",186.692941510418
"398",155.221057087925
"399",111.574024987434
"400",64.5916827030888
"401",23.1385031721242
"402",-6.0174495093221
"403",-19.7220933574472
"404",-18.9628937723168
"405",-8.28666184587452
"406",5.71479166729199
"407",16.4252175188457
"408",19.1719741686179
"409",12.6009222008705
"410",-0.918605610675671
"411",-15.9701397791439
"412",-25.6636644339752
"413",-23.6764885928771
"414",-6.20128005699841
"415",26.7380133969
"416",70.9751104661643
"417",119.000192080464
"418",161.676150726112
"419",190.43259768256
"420",199.367074019109
"421",186.703751332523
"422",155.227137137776
"423",111.577444748262
"424",64.5936061682588
"425",23.1395850367476
"426",-6.01684100801848
"427",-19.721751102207
"428",-18.9627012687861
"429",-8.28655357109885
"430",5.71485256709471
"431",16.4252517723083
"432",19.1719934346851
"433",6.58263407089169
"434",8.54004332763441
"435",5.69868346993687
"436",-0.502683873097283
"437",-7.38959080654058
"438",-11.7994343642592
"439",-10.992346902308
"440",-3.47334418569393
"441",10.5030492613756
"442",28.8897364560797
"443",48.2858660552788
"444",64.7482558174736
"445",74.7653773197545
"446",76.1389476374532
"447",68.5412223884275
"448",53.6010157658495
"449",34.4956518898299
"450",15.1563393680571
"451",-0.703915689165028
"452",-10.4848840067077
"453",-13.2832813430282
"454",-10.0176533793963
"455",-3.06848377393483
"456",4.46229859217727
"457",9.66701052873533
"458",10.6719889913284
"459",7.1723013551289
"460",0.515892589022862
"461",-6.68554261357908
"462",-11.312790625231
"463",-10.6559748597362
"464",-3.24084114096178
"465",10.6637572244882
"466",29.000819084858
"467",48.3626472562678
"468",64.8013275973744
"469",74.8020609582696
"470",76.1643036616382
"471",68.5587486750363
"472",53.613130075256
"473",34.5040253973316
"474",15.1621272033788
"475",-0.6999150911236
"476",-10.4821187613613
"477",-13.2813699833398
"478",-10.0163322323005
"479",-3.06757058650122
"480",4.46292979463126
"481",12.465998768628
"482",13.7015393090536
"483",5.61511262818793
"484",-7.27496719323422
"485",-18.7783439439626
"486",-22.6319558518025
"487",-14.2554396874752
"488",7.85898936589862
"489",41.5317703723929
"490",81.2502403378434
"491",119.421033446883
"492",148.20514122136
"493",161.460239336405
"494",156.282149361153
"495",133.740386911301
"496",98.6141065650414
"497",58.1979431592909
"498",20.4919940019395
"499",-7.74882712408102
"500",-22.5964895943416
"501",-23.7543114096188
"502",-14.3855220746295
"503",-0.0289505887229711
"504",13.0914936882549
"505",19.8965116492165
"506",17.9189741551725
"507",8.00885811616414
"508",-5.91631728629386
"509",-18.0071969782968
"510",-22.1942657304417
"511",-14.0070140943441
"512",7.99999157799036
"513",41.611800869912
"514",81.2956643098375
"515",119.446815333735
"516",148.219774589171
"517",161.468544991252
"518",156.286863511944
"519",133.743062584453
"520",98.6156252323752
"521",58.198805129472
"522",20.4924832417991
"523",-7.7485494397186
"524",-22.5963319853414
"525",-23.754221953386
"526",-14.3854713007678
"527",-0.0289217703282067
"528",13.0915100450938
"529",20.7529072889933
"530",20.8370361315001
"531",7.6329446924071
"532",-11.0478047068734
"533",-26.1718873969637
"534",-29.1271065350949
"535",-13.9921555162526
"536",20.6427195589031
"537",70.9638111153188
"538",128.595967193428
"539",182.502783784045
"540",221.644925359168
"541",237.706525418598
"542",227.175534605628
"543",192.230872963555
"544",140.202416050353
"545",81.7455471763748
"546",28.2099660842919
"547",-11.1074769514499
"548",-31.1098539425265
"549",-31.8952759823697
"550",-18.3586690291156
"551",1.46774071192633
"552",18.8668558262354
"553",27.0044666026998
"554",22.908499135868
"555",8.31932688333619
"556",-10.8203709988945
"557",-26.0965269167405
"558",-29.1021357335812
"559",-13.983881405918
"560",20.6454611970437
"561",70.9647195609872
"562",128.596268208183
"563",182.502883525709
"564",221.644958408709
"565",237.70653636961
"566",227.175538234261
"567",192.230874165908
"568",140.202416448754
"569",81.7455473083856
"570",28.2099661280338
"571",-11.1074769369559
"572",-31.1098539377239
"573",-31.8952759807783
"574",-18.3586690285883
"575",1.46774071210105
"576",18.8668558262933
"577",21.3136820355571
"578",15.8819106062112
"579",-2.61385621640062
"580",-23.241565281796
"581",-35.4933429998703
"582",-30.7666081688035
"583",-4.53677150806471
"584",42.1820625176298
"585",102.742226655531
"586",166.256444883349
"587",220.154953749636
"588",253.251498488112
"589",258.519133573177
"590",234.847706877641
"591",187.320819391575
"592",125.939495203372
"593",63.1287194024052
"594",10.6822729704695
"595",-23.0541844972729
"596",-35.0303828198518
"597",-27.9005918608529
"598",-8.91283904121569
"599",12.3969427636633
"600",27.0631968426883
"601",29.3149213083846
"602",18.2474785128103
"603",-1.91447561673084
"604",-23.0347932750276
"605",-35.4322108169027
"606",-30.7485344273295
"607",-4.53142800297441
"608",42.1836423259219
"609",102.742693726152
"610",166.256582972867
"611",220.154994575828
"612",253.251510558383
"613",258.519137141755
"614",234.847707932692
"615",187.320819703501
"616",125.939495295592
"617",63.1287194296703
"618",10.6822729785305
"619",-23.0541844948897
"620",-35.0303828191472
"621",-27.9005918606446
"622",-8.9128390411541
"623",12.3969427636815
"624",27.0631968426937
"625",12.4158103547252
"626",8.76026554722096
"627",-4.71173116351244
"628",-20.004021118394
"629",-28.5856051264169
"630",-23.3738159435342
"631",-0.661886716590362
"632",38.6850968950929
"633",89.1772575111178
"634",141.861359312923
"635",186.425002337444
"636",213.708910054578
"637",217.975679894605
"638",198.341898660923
"639",158.998122840083
"640",108.15944132117
"641",56.0230681424951
"642",12.2695283141706
"643",-16.2388609342791
"644",-26.9654179667474
"645",-22.0310840956924
"646",-7.30570371463989
"647",9.47471681238418
"648",21.039173660562
"649",22.7190173960323
"650",13.8059045560871
"651",-2.24080411082633
"652",-18.7939701240665
"653",-27.9930245371676
"654",-23.0836201117872
"655",-0.519773352954878
"656",38.7546919957607
"657",89.2113393026752
"658",141.878049690617
"659",186.433175872191
"660",213.712912760298
"661",217.97764008118
"662",198.342858594448
"663",158.998592934299
"664",108.15967153354
"665",56.0231808810348
"666",12.2695835239681
"667",-16.2388338971919
"668",-26.9654047262698
"669",-22.0310776116268
"670",-7.30570053929321
"671",9.47471836740031
"672",21.0391744220773
"673",14.9754540709059
"674",13.4116792609891
"675",-0.490158468964714
"676",-19.0504478897609
"677",-32.8475453059534
"678",-33.1896636665044
"679",-14.5699762200794
"680",23.6178131687232
"681",76.613383135883
"682",135.239189090615
"683",188.045469785948
"684",224.10492338419
"685",235.731303764991
"686",220.410444086546
