"","x"
"1",7.0200929139915
"2",1.72713021282526
"3",0
"4",0
"5",0
"6",0
"7",6.07770526962117
"8",47.900458483164
"9",99.3591365188458
"10",151.357659488816
"11",176.246394374635
"12",200.566285511271
"13",201.741418474722
"14",70.8244297342758
"15",52.0985105744881
"16",39.5023292342072
"17",27.3524548303632
"18",12.7389425275226
"19",0
"20",0
"21",0
"22",0
"23",10.9682398243369
"24",20.3483392854132
"25",17.2734176841928
"26",9.42851624027353
"27",0
"28",0
"29",0
"30",0
"31",4.55719990374226
"32",29.2750020444476
"33",59.8807879487777
"34",90.8852733615133
"35",105.703201180824
"36",120.211578267352
"37",120.879445831526
"38",151.244287678117
"39",118.032843247554
"40",72.211302600503
"41",43.6687382287185
"42",7.63589400408279
"43",0
"44",0
"45",0
"46",0
"47",6.5692188078743
"48",12.186317774631
"49",8.55529306951016
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",72.1903059830978
"57",131.902355760977
"58",213.517036774235
"59",170.998730628328
"60",258.498922746003
"61",240.698257196945
"62",210.008779471152
"63",202.102233764822
"64",149.504285234177
"65",69.8955478668632
"66",14.6451239689017
"67",0
"68",0
"69",0
"70",0
"71",21.3841596065076
"72",38.6760578141293
"73",35.8401675816763
"74",20.6762795636185
"75",0
"76",0
"77",0
"78",0
"79",5.44295803605565
"80",56.7983456501085
"81",129.374678098286
"82",197.294281339159
"83",288.751818019201
"84",306.924862728887
"85",313.759586212477
"86",283.36362875014
"87",214.217143357138
"88",139.936027850103
"89",67.7974976840139
"90",10.9096533516017
"91",0
"92",0
"93",0
"94",0
"95",15.5415390831366
"96",28.0191825535303
"97",13.0190983362551
"98",2.90465584360753
"99",0
"100",0
"101",0
"102",0
"103",10.6039885504977
"104",87.5700320413083
"105",157.96901650866
"106",258.212738060591
"107",349.331627319117
"108",381.69774891066
"109",389.230681858622
"110",320.252173526064
"111",250.686882467786
"112",189.872842458358
"113",83.1036597550852
"114",18.0113682335732
"115",0
"116",0
"117",0
"118",0
"119",22.1175133291273
"120",39.145499597857
"121",35.7090257321572
"122",18.3480360645756
"123",0
"124",0
"125",0
"126",0
"127",10.4210478257727
"128",73.1593397639662
"129",154.595795397774
"130",231.372326652612
"131",310.281336232856
"132",347.540470168995
"133",346.670408795839
"134",316.848819761438
"135",253.619503425108
"136",170.996332574978
"137",78.6817488201425
"138",14.8372308956422
"139",0
"140",0
"141",0
"142",0
"143",18.2061021542712
"144",32.2212833441016
"145",5.28158950822716
"146",0
"147",0
"148",0
"149",0
"150",0
"151",5.45450164076277
"152",45.4891012651239
"153",94.6303575380836
"154",144.239071881699
"155",178.414019107
"156",201.636112513194
"157",202.818874996299
"158",181.807178722887
"159",143.08607237279
"160",94.6619323545949
"161",52.4106304634661
"162",12.4413131845887
"163",0
"164",0
"165",0
"166",0
"167",10.2181638360284
"168",19.1735925811574
"169",18.5877959436007
"170",9.6825932210536
"171",0
"172",0
"173",0
"174",0
"175",6.86759198105453
"176",43.1178381931036
"177",87.883057212659
"178",133.184690723888
"179",164.385097304282
"180",185.578827559521
"181",186.56596890845
"182",167.192860000094
"183",131.571595826531
"184",87.0513254924309
"185",48.2119544177314
"186",11.4763000292198
"187",0
"188",0
"189",0
"190",0
"191",9.39562232746052
"192",17.6197875332409
"193",4.62686639575839
"194",0
"195",0
"196",0
"197",0
"198",0
"199",3.07390343156666
"200",59.8848894550732
"201",80.4739714525156
"202",61.2679571181304
"203",0
"204",0
"205",103.160358957109
"206",171.640744724188
"207",73.1101719815717
"208",93.1405802902549
"209",37.474940886382
"210",9.81635020898379
"211",0
"212",0
"213",0
"214",0
"215",16.5118657130593
"216",28.6095665936548
"217",25.4856747016362
"218",14.99831131808
"219",0.37194374994365
"220",0
"221",0
"222",0
"223",7.52557166566686
"224",40.4332480885551
"225",100.26967813071
"226",176.118775993965
"227",277.609562751465
"228",310.575331890932
"229",261.208216756077
"230",202.522378396116
"231",186.718155352057
"232",111.000856013127
"233",49.052886095594
"234",6.33653283215792
"235",0
"236",0
"237",0
"238",0
"239",10.0461791614263
"240",17.2741221442456
"241",12.2157911319566
"242",0.787421921423295
"243",0
"244",0
"245",0
"246",0
"247",12.0959267623495
"248",62.2338389545635
"249",128.150931011939
"250",196.993640883131
"251",427.464088969419
"252",641.659609654471
"253",540.947078540932
"254",347.504997112283
"255",246.312623933054
"256",191.428839871352
"257",0
"258",0
"259",0
"260",0
"261",0
"262",10.8769943085264
"263",28.6634621008928
"264",34.1598470292848
"265",29.2245076520007
"266",6.2299578691471
"267",0
"268",0
"269",0
"270",0
"271",15.7805996471419
"272",80.9671734754461
"273",156.350828701534
"274",226.645449849187
"275",449.497103591941
"276",522.833733616145
"277",475.434688299403
"278",377.849132795372
"279",294.281158789852
"280",222.171025227526
"281",0
"282",0
"283",0
"284",0
"285",0
"286",14.1479154212308
"287",37.2831156403642
"288",44.4323690645505
"289",16.8571248584554
"290",4.35744306370847
"291",0
"292",0
"293",0
"294",0
"295",12.6129617649407
"296",86.1195693605312
"297",173.836202954918
"298",267.313940757408
"299",393.65227326952
"300",417.372661424746
"301",401.951248270096
"302",355.076248642377
"303",272.116890242679
"304",180.204775086652
"305",32.841410688933
"306",0
"307",0
"308",0
"309",0
"310",4.04615918662132
