"","x"
"1",6.11049109398995
"2",4.10063037402371
"3",0
"4",0
"5",0
"6",0
"7",1.63220618251377
"8",37.3287125277452
"9",83.0393408081151
"10",130.818827471003
"11",142.777148518826
"12",168.026735594138
"13",172.651279440877
"14",155.71710962993
"15",120.825619062089
"16",75.2121576445031
"17",56.6288144240985
"18",16.4174968011647
"19",0
"20",0
"21",0
"22",0
"23",7.42533922350132
"24",17.3966114687083
"25",18.9618741981727
"26",11.3960149332438
"27",0
"28",0
"29",0
"30",0
"31",1.7004546453376
"32",37.3425560014663
"33",83.0380621950704
"34",130.815227299775
"35",142.774441345321
"36",168.025186907096
"37",172.650513011213
"38",155.716768891704
"39",120.825481957163
"40",75.2121084462738
"41",56.6287995080038
"42",16.4174936870648
"43",0
"44",0
"45",0
"46",0
"47",7.42533938699527
"48",17.3966115417058
"49",5.2513904149519
"50",0
"51",0
"52",0
"53",0
"54",0
"55",3.48545730747843
"56",56.4188883755975
"57",121.273559904746
"58",186.495431720398
"59",230.224958569972
"60",260.028865850442
"61",260.628935695576
"62",232.054191042425
"63",180.473904439603
"64",116.652871658507
"65",62.4363467330092
"66",11.0293825554356
"67",0
"68",0
"69",0
"70",0
"71",15.202357106011
"72",26.8956573477783
"73",25.9805133630169
"74",12.5643701828447
"75",0
"76",0
"77",0
"78",0
"79",6.03987953857837
"80",58.215956585911
"81",122.537819792783
"82",187.384854286063
"83",230.850678411417
"84",260.469067543998
"85",260.938623063871
"86",232.272059959069
"87",180.627177933129
"88",116.76070146819
"89",62.5122063457114
"90",11.0827507367967
"91",0
"92",0
"93",0
"94",0
"95",15.2115540028603
"96",26.9021274791372
"97",9.66008163620302
"98",3.99469611000287
"99",0
"100",0
"101",0
"102",0
"103",1.82042025462557
"104",54.8483606809984
"105",122.279819087268
"106",192.509706635134
"107",262.160762772716
"108",299.130295112778
"109",305.864113948363
"110",281.041228884068
"111",229.955249970769
"112",163.194274210148
"113",83.9670240237234
"114",25.0763075318187
"115",0
"116",0
"117",0
"118",0
"119",10.8791786784007
"120",25.2807565006632
"121",27.4925066095145
"122",16.4810620849619
"123",0
"124",0
"125",0
"126",0
"127",3.92125988557358
"128",56.319264229282
"129",123.309672683174
"130",193.230758963982
"131",262.665607794381
"132",299.483762518267
"133",306.11159426684
"134",281.214502309234
"135",230.07656741554
"136",163.279214658411
"137",84.0264951060958
"138",25.1179462294105
"139",0
"140",0
"141",0
"142",0
"143",10.8861844118175
"144",25.2856615671848
"145",4.08722194913442
"146",0
"147",0
"148",0
"149",0
"150",0
"151",6.88808316773568
"152",47.4856259723604
"153",95.7547306452425
"154",142.954248185117
"155",214.773771744864
"156",233.811064708435
"157",231.12240494155
"158",207.401753926337
"159",167.75181538308
"160",120.407581459825
"161",39.7487355175152
"162",3.82335963647182
"163",0
"164",0
"165",0
"166",0
"167",12.7744719674026
"168",20.1499432685872
"169",18.0518124148041
"170",7.11410555308438
"171",0
"172",0
"173",0
"174",0
"175",9.03779063619924
"176",49.0580888272661
"177",96.9049519908524
"178",143.795609327894
"179",215.389208569474
"180",234.261242956312
"181",231.451700243289
"182",207.642626061451
"183",167.928007952994
"184",120.536462376991
"185",39.8430090207477
"186",3.89231859181762
"187",0
"188",0
"189",0
"190",0
"191",12.7889129190264
"192",20.1605065011396
"193",3.78136200045029
"194",0.0251557928970279
"195",0
"196",0
"197",0
"198",0
"199",4.28608819506176
"200",49.3465009890708
"201",105.911280531765
"202",164.010523471933
"203",201.884040624958
"204",230.573185266702
"205",233.651463344122
"206",210.525108354175
"207",166.122359670625
"208",109.657149506294
"209",62.7943085690498
"210",15.0984723835266
"211",0
"212",0
"213",0
"214",0
"215",10.9751768902137
"216",22.3542946646456
"217",23.0036752703554
"218",12.5050715390114
"219",0
"220",0
"221",0
"222",0
"223",3.94232588675954
"224",49.0299449238664
"225",105.69811915628
"226",163.893655266975
"227",201.832382106033
"228",230.557450101731
"229",233.651705148083
"230",210.530286234691
"231",166.127533223208
"232",109.660771285066
"233",62.7963585105072
"234",15.0994152483438
"235",0
"236",0
"237",0
"238",0
"239",10.9751156859327
"240",22.3542588975508
"241",5.83242527698833
"242",0
"243",0
"244",0
"245",0
"246",0
"247",12.7302506910481
"248",64.8660333267272
"249",123.365576543226
"250",176.391695464299
"251",319.324573062726
"252",330.898557198908
"253",315.221681805201
"254",275.736631196819
"255",221.018996237569
"256",162.615505751138
"257",5.49127603226355
"258",0
"259",0
"260",0
"261",0
"262",9.11101393004049
"263",27.3335251788299
"264",33.4956361142824
"265",25.4058107090838
"266",5.98983889248045
"267",0
"268",0
"269",0
"270",0
"271",12.5754856757249
"272",64.8169005269647
"273",123.359846304587
"274",176.39725638143
"275",319.329880418725
"276",330.901412097294
"277",315.222753339417
"278",275.73686045122
"279",221.018952953278
"280",162.615427434992
"281",5.49122613450356
"282",0
"283",0
"284",0
"285",0
"286",9.11101475368574
"287",27.3335255893009
"288",33.4956362562076
"289",19.8969626617161
"290",13.1460918039112
"291",0
"292",0
"293",0
"294",0
"295",15.7466297405973
"296",98.145309344602
"297",194.097374675033
"298",284.968603937936
"299",411.918222357278
"300",440.902678055709
"301",425.568927358065
"302",369.283536348344
"303",284.179486413172
"304",188.108975114381
"305",40.3085070098669
"306",0
"307",0
"308",0
"309",0
"310",5.50797408973143
"311",35.8547531874349
"312",49.6769983115036
"313",41.7552015383454
"314",14.9518794299474
"315",0
"316",0
"317",0
"318",0
"319",16.0299145824815
"320",98.2788713316164
"321",194.113077414401
"322",284.94734719145
"323",411.901715298294
"324",440.897567731499
"325",425.569632680346
"326",369.285141617344
"327",284.180297199037
"328",188.109096801322
"329",40.3083939561836
"330",0
"331",0
"332",0
"333",0
"334",5.50797898150903
"335",35.8547540714698
"336",49.6769977202671
"337",24.7182960376479
"338",23.5947158758857
"339",0
